Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,96.0,99.0,98.0,99.0,97.0,99.0,96.0,99.0,88.0,,99.0,,,West & Central Africa
2017,98.0,97.0,96.0,97.0,96.0,97.0,60.0,96.0,85.0,,96.0,,,West & Central Africa
2016,96.0,96.0,96.0,96.0,96.0,96.0,,93.0,92.0,,92.0,,,West & Central Africa
2015,94.0,97.0,93.0,94.0,93.0,94.0,,92.0,95.0,,95.0,,,West & Central Africa
2014,99.0,99.0,95.0,96.0,99.0,96.0,,93.0,79.0,,79.0,,,West & Central Africa
2013,94.0,93.0,93.0,93.0,94.0,93.0,,91.0,89.0,,89.0,,,West & Central Africa
2012,99.0,98.0,94.0,94.0,99.0,94.0,,91.0,94.0,,94.0,,,West & Central Africa
2011,99.0,99.0,90.0,90.0,99.0,90.0,,96.0,99.0,,99.0,,,West & Central Africa
2010,99.0,99.0,99.0,98.0,99.0,,,97.0,,,,,,West & Central Africa
2009,99.0,99.0,99.0,98.0,91.0,,,97.0,,,,,,West & Central Africa
2008,99.0,99.0,99.0,98.0,81.0,,,96.0,,,,,,West & Central Africa
2007,99.0,99.0,98.0,96.0,84.0,,,95.0,,,,,,West & Central Africa
2006,99.0,98.0,96.0,95.0,68.0,,,94.0,,,,,,West & Central Africa
2005,99.0,97.0,95.0,93.0,68.0,,,92.0,,,,,,West & Central Africa
2004,99.0,96.0,93.0,91.0,75.0,,,91.0,,,,,,West & Central Africa
2003,98.0,95.0,92.0,66.0,76.0,,,90.0,,,,,,West & Central Africa
2002,97.0,95.0,91.0,40.0,77.0,,,89.0,,,,,,West & Central Africa
2001,96.0,94.0,90.0,,,,,88.0,,,,,,West & Central Africa
2000,96.0,94.0,90.0,,,,,86.0,,,,,,West & Central Africa
1999,95.0,93.0,89.0,,,,,85.0,,,,,,West & Central Africa
1998,94.0,93.0,88.0,,,,,84.0,,,,,,West & Central Africa
1997,93.0,92.0,87.0,,,,,83.0,,,,,,West & Central Africa
1996,94.0,90.0,88.0,,,,,84.0,,,,,,West & Central Africa
1995,94.0,90.0,88.0,,,,,85.0,,,,,,West & Central Africa
1994,95.0,95.0,89.0,,,,,87.0,,,,,,West & Central Africa
1993,95.0,96.0,89.0,,,,,88.0,,,,,,West & Central Africa
1992,99.0,96.0,88.0,,,,,82.0,,,,,,West & Central Africa
1991,99.0,95.0,87.0,,,,,76.0,,,,,,West & Central Africa
1990,97.0,96.0,88.0,,,,,79.0,,,,,,West & Central Africa
1989,99.0,99.0,99.0,,,,,84.0,,,,,,West & Central Africa
1988,99.0,96.0,88.0,,,,,80.0,,,,,,West & Central Africa
1987,99.0,97.0,92.0,,,,,75.0,,,,,,West & Central Africa
1986,93.0,77.0,54.0,,,,,58.0,,,,,,West & Central Africa
1985,64.0,64.0,39.0,,,,,54.0,,,,,,West & Central Africa
1984,,56.0,31.0,,,,,,,,,,,West & Central Africa
1983,,47.0,23.0,,,,,,,,,,,West & Central Africa
1982,,,,,,,,,,,,,,West & Central Africa
1981,,,,,,,,,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
