Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,88.0,86.0,79.0,79.0,,79.0,78.0,71.0,,79.0,71.0,78.0,74.0,West & Central Africa
2017,91.0,93.0,86.0,86.0,,86.0,76.0,77.0,,84.0,77.0,83.0,78.0,West & Central Africa
2016,70.0,92.0,85.0,85.0,,85.0,79.0,78.0,,84.0,,80.0,78.0,West & Central Africa
2015,74.0,92.0,84.0,84.0,,84.0,31.0,79.0,,85.0,,73.0,77.0,West & Central Africa
2014,82.0,93.0,87.0,87.0,,87.0,,80.0,,87.0,,46.0,80.0,West & Central Africa
2013,82.0,95.0,89.0,89.0,,89.0,,83.0,,88.0,,,83.0,West & Central Africa
2012,81.0,94.0,85.0,85.0,,85.0,,82.0,,84.0,,,80.0,West & Central Africa
2011,80.0,90.0,82.0,82.0,,82.0,,76.0,,23.0,,,75.0,West & Central Africa
2010,83.0,92.0,84.0,84.0,,84.0,,79.0,,,,,79.0,West & Central Africa
2009,81.0,88.0,80.0,80.0,,80.0,,74.0,,,,,72.0,West & Central Africa
2008,91.0,93.0,84.0,84.0,,,,80.0,,,,,77.0,West & Central Africa
2007,89.0,90.0,82.0,82.0,,,,74.0,,,,,74.0,West & Central Africa
2006,96.0,87.0,81.0,81.0,,,,73.0,,,,,72.0,West & Central Africa
2005,90.0,85.0,80.0,79.0,,,,68.0,,,,,68.0,West & Central Africa
2004,83.0,80.0,73.0,,,,,64.0,,,,,59.0,West & Central Africa
2003,82.0,79.0,73.0,,,,,61.0,,,,,,West & Central Africa
2002,79.0,75.0,66.0,,,,,53.0,,,,,,West & Central Africa
2001,79.0,70.0,63.0,,,,,51.0,,,,,,West & Central Africa
2000,78.0,66.0,62.0,,,,,49.0,,,,,,West & Central Africa
1999,78.0,69.0,59.0,,,,,46.0,,,,,,West & Central Africa
1998,80.0,71.0,56.0,,,,,47.0,,,,,,West & Central Africa
1997,75.0,72.0,48.0,,,,,43.0,,,,,,West & Central Africa
1996,69.0,71.0,46.0,,,,,39.0,,,,,,West & Central Africa
1995,62.0,71.0,46.0,,,,,46.0,,,,,,West & Central Africa
1994,59.0,63.0,38.0,,,,,38.0,,,,,,West & Central Africa
1993,58.0,62.0,37.0,,,,,32.0,,,,,,West & Central Africa
1992,62.0,62.0,37.0,,,,,37.0,,,,,,West & Central Africa
1991,69.0,67.0,42.0,,,,,48.0,,,,,,West & Central Africa
1990,76.0,70.0,48.0,,,,,56.0,,,,,,West & Central Africa
1989,76.0,73.0,56.0,,,,,56.0,,,,,,West & Central Africa
1988,71.0,68.0,50.0,,,,,48.0,,,,,,West & Central Africa
1987,65.0,63.0,44.0,,,,,44.0,,,,,,West & Central Africa
1986,60.0,58.0,39.0,,,,,44.0,,,,,,West & Central Africa
1985,54.0,52.0,33.0,,,,,39.0,,,,,,West & Central Africa
1984,49.0,46.0,27.0,,,,,31.0,,,,,,West & Central Africa
1983,46.0,44.0,25.0,,,,,25.0,,,,,,West & Central Africa
1982,27.0,31.0,15.0,,,,,21.0,,,,,,West & Central Africa
1981,8.0,18.0,5.0,,,,,16.0,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
