Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,74.0,69.0,47.0,47.0,,47.0,47.0,49.0,,47.0,,,48.0,West & Central Africa
2017,74.0,69.0,47.0,47.0,,47.0,47.0,49.0,,47.0,,,48.0,West & Central Africa
2016,74.0,69.0,47.0,47.0,,47.0,47.0,49.0,,47.0,,,48.0,West & Central Africa
2015,74.0,69.0,47.0,47.0,,47.0,2.0,49.0,,47.0,,,48.0,West & Central Africa
2014,74.0,69.0,47.0,47.0,,47.0,,49.0,,47.0,,,48.0,West & Central Africa
2013,37.0,35.0,23.0,23.0,,23.0,,25.0,,23.0,,,24.0,West & Central Africa
2012,74.0,69.0,47.0,47.0,,47.0,,49.0,,47.0,,,48.0,West & Central Africa
2011,74.0,69.0,47.0,47.0,,47.0,,49.0,,8.0,,,48.0,West & Central Africa
2010,74.0,67.0,45.0,45.0,,45.0,,53.0,,,,,55.0,West & Central Africa
2009,74.0,65.0,42.0,42.0,,42.0,,56.0,,,,,62.0,West & Central Africa
2008,74.0,65.0,45.0,,,,,58.0,,,,,62.0,West & Central Africa
2007,74.0,65.0,48.0,,,,,59.0,,,,,62.0,West & Central Africa
2006,74.0,64.0,51.0,,,,,61.0,,,,,62.0,West & Central Africa
2005,74.0,64.0,54.0,,,,,62.0,,,,,62.0,West & Central Africa
2004,73.0,64.0,51.0,,,,,55.0,,,,,55.0,West & Central Africa
2003,72.0,65.0,47.0,,,,,49.0,,,,,48.0,West & Central Africa
2002,71.0,65.0,44.0,,,,,42.0,,,,,42.0,West & Central Africa
2001,70.0,65.0,40.0,,,,,35.0,,,,,35.0,West & Central Africa
2000,66.0,60.0,37.0,,,,,36.0,,,,,36.0,West & Central Africa
1999,62.0,55.0,33.0,,,,,37.0,,,,,37.0,West & Central Africa
1998,70.0,61.0,43.0,,,,,37.0,,,,,41.0,West & Central Africa
1997,78.0,66.0,43.0,,,,,42.0,,,,,42.0,West & Central Africa
1996,86.0,72.0,48.0,,,,,44.0,,,,,,West & Central Africa
1995,94.0,77.0,53.0,,,,,46.0,,,,,,West & Central Africa
1994,77.0,76.0,48.0,,,,,52.0,,,,,,West & Central Africa
1993,81.0,75.0,47.0,,,,,42.0,,,,,,West & Central Africa
1992,85.0,75.0,45.0,,,,,32.0,,,,,,West & Central Africa
1991,91.0,85.0,64.0,,,,,57.0,,,,,,West & Central Africa
1990,96.0,95.0,82.0,,,,,82.0,,,,,,West & Central Africa
1989,86.0,84.0,64.0,,,,,69.0,,,,,,West & Central Africa
1988,53.0,67.0,42.0,,,,,40.0,,,,,,West & Central Africa
1987,42.0,46.0,22.0,,,,,17.0,,,,,,West & Central Africa
1986,37.0,42.0,19.0,,,,,24.0,,,,,,West & Central Africa
1985,34.0,44.0,20.0,,,,,23.0,,,,,,West & Central Africa
1984,32.0,40.0,17.0,,,,,19.0,,,,,,West & Central Africa
1983,29.0,39.0,16.0,,,,,16.0,,,,,,West & Central Africa
1982,24.0,36.0,14.0,,,,,16.0,,,,,,West & Central Africa
1981,26.0,32.0,11.0,,,,,15.0,,,,,,West & Central Africa
1980,17.0,35.0,13.0,,,,,12.0,,,,,,West & Central Africa
