Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,59.0,55.0,41.0,41.0,,41.0,41.0,37.0,,,,,29.0,West & Central Africa
2017,59.0,55.0,41.0,41.0,,41.0,41.0,37.0,,,,,29.0,West & Central Africa
2016,59.0,55.0,41.0,41.0,,41.0,41.0,37.0,,,,,29.0,West & Central Africa
2015,70.0,57.0,42.0,42.0,,42.0,28.0,46.0,,,,,41.0,West & Central Africa
2014,58.0,58.0,36.0,36.0,,36.0,,45.0,,,,,34.0,West & Central Africa
2013,60.0,58.0,39.0,39.0,,39.0,,57.0,,,,,44.0,West & Central Africa
2012,62.0,57.0,40.0,40.0,,40.0,,63.0,,,,,51.0,West & Central Africa
2011,52.0,55.0,33.0,33.0,,33.0,,54.0,,,,,45.0,West & Central Africa
2010,58.0,55.0,39.0,39.0,,39.0,,46.0,,,,,41.0,West & Central Africa
2009,46.0,45.0,24.0,24.0,,24.0,,36.0,,,,,32.0,West & Central Africa
2008,30.0,47.0,19.0,17.0,,17.0,,27.0,,,,,33.0,West & Central Africa
2007,44.0,50.0,28.0,,,,,31.0,,,,,39.0,West & Central Africa
2006,56.0,58.0,40.0,,,,,39.0,,,,,40.0,West & Central Africa
2005,41.0,46.0,25.0,,,,,27.0,,,,,33.0,West & Central Africa
2004,41.0,35.0,21.0,,,,,16.0,,,,,24.0,West & Central Africa
2003,40.0,45.0,23.0,,,,,23.0,,,,,20.0,West & Central Africa
2002,46.0,45.0,25.0,,,,,25.0,,,,,23.0,West & Central Africa
2001,52.0,44.0,26.0,,,,,26.0,,,,,26.0,West & Central Africa
2000,49.0,45.0,36.0,,,,,28.0,,,,,28.0,West & Central Africa
1999,45.0,45.0,45.0,,,,,30.0,,,,,31.0,West & Central Africa
1998,45.0,47.0,35.0,,,,,20.0,,,,,13.0,West & Central Africa
1997,45.0,48.0,24.0,,,,,30.0,,,,,13.0,West & Central Africa
1996,39.0,44.0,20.0,,,,,22.0,,,,,,West & Central Africa
1995,43.0,41.0,18.0,,,,,26.0,,,,,,West & Central Africa
1994,43.0,41.0,18.0,,,,,24.0,,,,,,West & Central Africa
1993,34.0,35.0,13.0,,,,,19.0,,,,,,West & Central Africa
1992,34.0,31.0,10.0,,,,,25.0,,,,,,West & Central Africa
1991,40.0,41.0,18.0,,,,,28.0,,,,,,West & Central Africa
1990,59.0,44.0,20.0,,,,,32.0,,,,,,West & Central Africa
1989,59.0,44.0,20.0,,,,,32.0,,,,,,West & Central Africa
1988,38.0,36.0,14.0,,,,,17.0,,,,,,West & Central Africa
1987,32.0,36.0,14.0,,,,,16.0,,,,,,West & Central Africa
1986,24.0,31.0,10.0,,,,,12.0,,,,,,West & Central Africa
1985,15.0,21.0,3.0,,,,,7.0,,,,,,West & Central Africa
1984,8.0,21.0,3.0,,,,,10.0,,,,,,West & Central Africa
1983,,18.0,1.0,,,,,,,,,,,West & Central Africa
1982,,,,,,,,,,,,,,West & Central Africa
1981,,,,,,,,,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
