Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,81.0,79.0,75.0,75.0,,75.0,68.0,75.0,,73.0,,72.0,66.0,West & Central Africa
2017,76.0,75.0,69.0,69.0,,69.0,28.0,70.0,,66.0,,64.0,63.0,West & Central Africa
2016,80.0,76.0,71.0,71.0,,71.0,33.0,67.0,,67.0,,64.0,59.0,West & Central Africa
2015,85.0,85.0,80.0,80.0,,80.0,,80.0,,80.0,,80.0,80.0,West & Central Africa
2014,95.0,95.0,90.0,90.0,,90.0,,80.0,,85.0,,60.0,80.0,West & Central Africa
2013,92.0,90.0,85.0,85.0,,85.0,,80.0,,85.0,,,80.0,West & Central Africa
2012,92.0,90.0,85.0,62.0,,64.0,,80.0,,10.0,,,62.0,West & Central Africa
2011,95.0,90.0,82.0,70.0,,71.0,,83.0,,,,,74.0,West & Central Africa
2010,95.0,90.0,74.0,74.0,,74.0,,75.0,,,,,75.0,West & Central Africa
2009,90.0,92.0,78.0,75.0,,72.0,,63.0,,,,,66.0,West & Central Africa
2008,93.0,93.0,79.0,73.0,,,,69.0,,,,,67.0,West & Central Africa
2007,86.0,80.0,72.0,64.0,,,,59.0,,,,,63.0,West & Central Africa
2006,84.0,81.0,73.0,,,,,61.0,,,,,66.0,West & Central Africa
2005,73.0,73.0,62.0,,,,,54.0,,,,,54.0,West & Central Africa
2004,85.0,67.0,67.0,,,,,65.0,,,,,48.0,West & Central Africa
2003,60.0,62.0,50.0,,,,,50.0,,,,,,West & Central Africa
2002,51.0,50.0,41.0,,,,,37.0,,,,,,West & Central Africa
2001,53.0,44.0,31.0,,,,,35.0,,,,,,West & Central Africa
2000,50.0,45.0,33.0,,,,,34.0,,,,,,West & Central Africa
1999,39.0,46.0,29.0,,,,,23.0,,,,,,West & Central Africa
1998,34.0,46.0,26.0,,,,,21.0,,,,,,West & Central Africa
1997,29.0,47.0,23.0,,,,,18.0,,,,,,West & Central Africa
1996,51.0,62.0,37.0,,,,,42.0,,,,,,West & Central Africa
1995,58.0,74.0,50.0,,,,,38.0,,,,,,West & Central Africa
1994,61.0,78.0,55.0,,,,,47.0,,,,,,West & Central Africa
1993,63.0,82.0,60.0,,,,,55.0,,,,,,West & Central Africa
1992,75.0,86.0,67.0,,,,,60.0,,,,,,West & Central Africa
1991,89.0,90.0,74.0,,,,,64.0,,,,,,West & Central Africa
1990,90.0,92.0,79.0,,,,,75.0,,,,,,West & Central Africa
1989,90.0,92.0,79.0,,,,,75.0,,,,,,West & Central Africa
1988,88.0,89.0,72.0,,,,,73.0,,,,,,West & Central Africa
1987,87.0,89.0,72.0,,,,,69.0,,,,,,West & Central Africa
1986,86.0,88.0,71.0,,,,,69.0,,,,,,West & Central Africa
1985,89.0,77.0,54.0,,,,,67.0,,,,,,West & Central Africa
1984,80.0,77.0,53.0,,,,,52.0,,,,,,West & Central Africa
1983,90.0,74.0,50.0,,,,,59.0,,,,,,West & Central Africa
1982,91.0,72.0,47.0,,,,,55.0,,,,,,West & Central Africa
1981,,67.0,42.0,,,,,49.0,,,,,,West & Central Africa
1980,92.0,67.0,42.0,,,,,49.0,,,,,,West & Central Africa
