Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,98.0,95.0,82.0,82.0,,82.0,67.0,71.0,,81.0,71.0,59.0,73.0,West & Central Africa
2017,93.0,93.0,83.0,83.0,,83.0,,70.0,,82.0,,40.0,71.0,West & Central Africa
2016,95.0,96.0,85.0,85.0,,85.0,50.0,71.0,,80.0,,,62.0,West & Central Africa
2015,79.0,96.0,77.0,77.0,,77.0,27.0,65.0,,70.0,,,54.0,West & Central Africa
2014,84.0,93.0,73.0,73.0,,73.0,,59.0,,2.0,,,52.0,West & Central Africa
2013,90.0,89.0,75.0,75.0,,75.0,,69.0,,,,,61.0,West & Central Africa
2012,93.0,93.0,82.0,82.0,,82.0,,74.0,,,,,73.0,West & Central Africa
2011,74.0,75.0,62.0,62.0,,62.0,,49.0,,,,,49.0,West & Central Africa
2010,91.0,95.0,85.0,85.0,,85.0,,70.0,,,,,69.0,West & Central Africa
2009,95.0,95.0,81.0,81.0,,81.0,,67.0,,,,,24.0,West & Central Africa
2008,91.0,89.0,74.0,74.0,,,,63.0,,,,,50.0,West & Central Africa
2007,94.0,93.0,76.0,76.0,,,,67.0,,,,,68.0,West & Central Africa
2006,77.0,95.0,77.0,77.0,,,,73.0,,,,,67.0,West & Central Africa
2005,85.0,83.0,76.0,76.0,,,,84.0,,,,,83.0,West & Central Africa
2004,71.0,73.0,67.0,67.0,,,,78.0,,,,,73.0,West & Central Africa
2003,78.0,71.0,61.0,63.0,,,,70.0,,,,,65.0,West & Central Africa
2002,79.0,76.0,64.0,48.0,,,,71.0,,,,,67.0,West & Central Africa
2001,80.0,81.0,66.0,10.0,,,,71.0,,,,,67.0,West & Central Africa
2000,80.0,85.0,65.0,,,,,68.0,,,,,60.0,West & Central Africa
1999,74.0,77.0,58.0,,,,,57.0,,,,,48.0,West & Central Africa
1998,71.0,74.0,58.0,,,,,66.0,,,,,57.0,West & Central Africa
1997,73.0,77.0,58.0,,,,,68.0,,,,,59.0,West & Central Africa
1996,68.0,70.0,55.0,,,,,65.0,,,,,,West & Central Africa
1995,69.0,64.0,52.0,,,,,57.0,,,,,,West & Central Africa
1994,75.0,72.0,50.0,,,,,55.0,,,,,,West & Central Africa
1993,74.0,77.0,50.0,,,,,52.0,,,,,,West & Central Africa
1992,70.0,73.0,49.0,,,,,54.0,,,,,,West & Central Africa
1991,65.0,64.0,39.0,,,,,57.0,,,,,,West & Central Africa
1990,62.0,77.0,54.0,,,,,56.0,,,,,,West & Central Africa
1989,47.0,67.0,42.0,,,,,41.0,,,,,,West & Central Africa
1988,52.0,56.0,31.0,,,,,31.0,,,,,,West & Central Africa
1987,53.0,56.0,31.0,,,,,30.0,,,,,,West & Central Africa
1986,41.0,55.0,30.0,,,,,31.0,,,,,,West & Central Africa
1985,29.0,50.0,25.0,,,,,31.0,,,,,,West & Central Africa
1984,17.0,42.0,19.0,,,,,31.0,,,,,,West & Central Africa
1983,,,,,,,,,,,,,,West & Central Africa
1982,,,,,,,,,,,,,,West & Central Africa
1981,,,,,,,,,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
