Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,83.0,82.0,81.0,81.0,,81.0,79.0,80.0,,81.0,,,81.0,West & Central Africa
2017,80.0,82.0,81.0,81.0,,81.0,69.0,80.0,,79.0,,,76.0,West & Central Africa
2016,80.0,80.0,79.0,79.0,,79.0,57.0,77.0,,77.0,,,67.0,West & Central Africa
2015,74.0,82.0,81.0,81.0,,81.0,35.0,79.0,,73.0,,,66.0,West & Central Africa
2014,78.0,81.0,80.0,80.0,,80.0,,77.0,,61.0,,,65.0,West & Central Africa
2013,83.0,79.0,74.0,74.0,,74.0,,76.0,,31.0,,,64.0,West & Central Africa
2012,83.0,81.0,75.0,75.0,,75.0,,72.0,,13.0,,,65.0,West & Central Africa
2011,66.0,85.0,74.0,74.0,,74.0,,74.0,,9.0,,,51.0,West & Central Africa
2010,85.0,71.0,60.0,60.0,,60.0,,74.0,,,,,68.0,West & Central Africa
2009,85.0,82.0,72.0,72.0,,72.0,,72.0,,,,,70.0,West & Central Africa
2008,78.0,73.0,65.0,65.0,,,,64.0,,,,,57.0,West & Central Africa
2007,80.0,78.0,70.0,70.0,,,,68.0,,,,,61.0,West & Central Africa
2006,72.0,71.0,62.0,,,,,63.0,,,,,50.0,West & Central Africa
2005,72.0,68.0,60.0,,,,,61.0,,,,,42.0,West & Central Africa
2004,68.0,66.0,54.0,,,,,57.0,,,,,25.0,West & Central Africa
2003,61.0,53.0,41.0,,,,,49.0,,,,,5.0,West & Central Africa
2002,50.0,47.0,38.0,,,,,42.0,,,,,,West & Central Africa
2001,43.0,49.0,30.0,,,,,35.0,,,,,,West & Central Africa
2000,57.0,49.0,40.0,,,,,46.0,,,,,,West & Central Africa
1999,30.0,46.0,25.0,,,,,15.0,,,,,,West & Central Africa
1998,25.0,44.0,18.0,,,,,20.0,,,,,,West & Central Africa
1997,25.0,41.0,18.0,,,,,20.0,,,,,,West & Central Africa
1996,25.0,41.0,18.0,,,,,21.0,,,,,,West & Central Africa
1995,34.0,47.0,23.0,,,,,27.0,,,,,,West & Central Africa
1994,46.0,51.0,26.0,,,,,39.0,,,,,,West & Central Africa
1993,43.0,54.0,29.0,,,,,33.0,,,,,,West & Central Africa
1992,32.0,47.0,23.0,,,,,25.0,,,,,,West & Central Africa
1991,21.0,39.0,16.0,,,,,17.0,,,,,,West & Central Africa
1990,65.0,60.0,35.0,,,,,38.0,,,,,,West & Central Africa
1989,55.0,63.0,38.0,,,,,41.0,,,,,,West & Central Africa
1988,59.0,66.0,41.0,,,,,44.0,,,,,,West & Central Africa
1987,57.0,63.0,38.0,,,,,41.0,,,,,,West & Central Africa
1986,51.0,57.0,32.0,,,,,39.0,,,,,,West & Central Africa
1985,57.0,62.0,37.0,,,,,40.0,,,,,,West & Central Africa
1984,62.0,52.0,27.0,,,,,30.0,,,,,,West & Central Africa
1983,65.0,39.0,16.0,,,,,30.0,,,,,,West & Central Africa
1982,62.0,40.0,17.0,,,,,25.0,,,,,,West & Central Africa
1981,61.0,41.0,18.0,,,,,23.0,,,,,,West & Central Africa
1980,57.0,,,,,,,18.0,,,,,,West & Central Africa
