Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,63.0,44.0,25.0,25.0,,25.0,25.0,30.0,,,,,30.0,West & Central Africa
2017,63.0,44.0,25.0,25.0,,25.0,25.0,30.0,,,,,2.0,West & Central Africa
2016,59.0,40.0,19.0,19.0,,19.0,12.0,30.0,,,,,,West & Central Africa
2015,48.0,28.0,16.0,16.0,,16.0,,27.0,,,,,,West & Central Africa
2014,56.0,59.0,24.0,20.0,,20.0,,44.0,,,,,,West & Central Africa
2013,64.0,49.0,6.0,,,,,42.0,,,,,,West & Central Africa
2012,66.0,56.0,26.0,,,,,35.0,,,,,,West & Central Africa
2011,66.0,59.0,41.0,,,,,51.0,,,,,,West & Central Africa
2010,71.0,59.0,44.0,,,,,51.0,,,,,,West & Central Africa
2009,71.0,60.0,43.0,,,,,51.0,,,,,,West & Central Africa
2008,71.0,60.0,42.0,,,,,51.0,,,,,,West & Central Africa
2007,72.0,61.0,41.0,,,,,51.0,,,,,,West & Central Africa
2006,72.0,61.0,40.0,,,,,51.0,,,,,,West & Central Africa
2005,72.0,62.0,39.0,,,,,51.0,,,,,,West & Central Africa
2004,72.0,62.0,38.0,,,,,51.0,,,,,,West & Central Africa
2003,72.0,63.0,37.0,,,,,51.0,,,,,,West & Central Africa
2002,72.0,63.0,36.0,,,,,51.0,,,,,,West & Central Africa
2001,73.0,64.0,35.0,,,,,51.0,,,,,,West & Central Africa
2000,73.0,64.0,34.0,,,,,51.0,,,,,,West & Central Africa
1999,73.0,65.0,33.0,,,,,51.0,,,,,,West & Central Africa
1998,99.0,94.0,81.0,,,,,82.0,,,,,,West & Central Africa
1997,99.0,94.0,81.0,,,,,82.0,,,,,,West & Central Africa
1996,99.0,94.0,80.0,,,,,81.0,,,,,,West & Central Africa
1995,99.0,94.0,79.0,,,,,81.0,,,,,,West & Central Africa
1994,99.0,94.0,77.0,,,,,80.0,,,,,,West & Central Africa
1993,98.0,94.0,76.0,,,,,79.0,,,,,,West & Central Africa
1992,97.0,95.0,76.0,,,,,82.0,,,,,,West & Central Africa
1991,95.0,96.0,77.0,,,,,85.0,,,,,,West & Central Africa
1990,94.0,96.0,77.0,,,,,88.0,,,,,,West & Central Africa
1989,49.0,72.0,48.0,,,,,18.0,,,,,,West & Central Africa
1988,49.0,42.0,19.0,,,,,46.0,,,,,,West & Central Africa
1987,40.0,31.0,10.0,,,,,32.0,,,,,,West & Central Africa
1986,30.0,21.0,3.0,,,,,17.0,,,,,,West & Central Africa
1985,28.0,21.0,3.0,,,,,11.0,,,,,,West & Central Africa
1984,,,,,,,,,,,,,,West & Central Africa
1983,,,,,,,,,,,,,,West & Central Africa
1982,,,,,,,,,,,,,,West & Central Africa
1981,,,,,,,,,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
