Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,87.0,78.0,70.0,70.0,,70.0,70.0,59.0,,,,,59.0,West & Central Africa
2017,93.0,81.0,75.0,75.0,,75.0,75.0,63.0,,,,,63.0,West & Central Africa
2016,94.0,83.0,75.0,75.0,,75.0,74.0,64.0,,,,,64.0,West & Central Africa
2015,98.0,87.0,80.0,80.0,,80.0,,68.0,,,,,68.0,West & Central Africa
2014,91.0,77.0,70.0,70.0,,70.0,,61.0,,,,,60.0,West & Central Africa
2013,92.0,80.0,79.0,79.0,,79.0,,70.0,,,,,69.0,West & Central Africa
2012,97.0,86.0,82.0,82.0,,82.0,,71.0,,,,,71.0,West & Central Africa
2011,94.0,82.0,75.0,75.0,,75.0,,72.0,,,,,71.0,West & Central Africa
2010,94.0,82.0,67.0,67.0,,67.0,,62.0,,,,,61.0,West & Central Africa
2009,93.0,81.0,76.0,79.0,,,,63.0,,,,,67.0,West & Central Africa
2008,93.0,85.0,82.0,82.0,,,,67.0,,,,,70.0,West & Central Africa
2007,92.0,86.0,81.0,75.0,,,,62.0,,,,,65.0,West & Central Africa
2006,92.0,69.0,45.0,52.0,,,,55.0,,,,,55.0,West & Central Africa
2005,92.0,69.0,45.0,28.0,,,,55.0,,,,,42.0,West & Central Africa
2004,91.0,69.0,45.0,,,,,55.0,,,,,28.0,West & Central Africa
2003,91.0,69.0,45.0,,,,,55.0,,,,,15.0,West & Central Africa
2002,90.0,69.0,45.0,,,,,55.0,,,,,,West & Central Africa
2001,90.0,69.0,45.0,,,,,55.0,,,,,,West & Central Africa
2000,89.0,69.0,45.0,,,,,55.0,,,,,,West & Central Africa
1999,89.0,69.0,45.0,,,,,55.0,,,,,,West & Central Africa
1998,90.0,72.0,50.0,,,,,56.0,,,,,,West & Central Africa
1997,90.0,75.0,54.0,,,,,56.0,,,,,,West & Central Africa
1996,90.0,78.0,62.0,,,,,57.0,,,,,,West & Central Africa
1995,90.0,81.0,70.0,,,,,57.0,,,,,,West & Central Africa
1994,94.0,85.0,69.0,,,,,60.0,,,,,,West & Central Africa
1993,97.0,88.0,67.0,,,,,63.0,,,,,,West & Central Africa
1992,97.0,92.0,66.0,,,,,66.0,,,,,,West & Central Africa
1991,97.0,94.0,72.0,,,,,71.0,,,,,,West & Central Africa
1990,96.0,96.0,78.0,,,,,76.0,,,,,,West & Central Africa
1989,96.0,96.0,78.0,,,,,76.0,,,,,,West & Central Africa
1988,95.0,86.0,72.0,,,,,68.0,,,,,,West & Central Africa
1987,95.0,76.0,65.0,,,,,67.0,,,,,,West & Central Africa
1986,90.0,66.0,59.0,,,,,66.0,,,,,,West & Central Africa
1985,80.0,56.0,48.0,,,,,58.0,,,,,,West & Central Africa
1984,77.0,46.0,31.0,,,,,,,,,,,West & Central Africa
1983,80.0,36.0,14.0,,,,,,,,,,,West & Central Africa
1982,82.0,,,,,,,,,,,,,West & Central Africa
1981,,,,,,,,,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
