Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,94.0,94.0,93.0,93.0,,93.0,61.0,91.0,71.0,93.0,91.0,93.0,91.0,West & Central Africa
2017,94.0,93.0,92.0,92.0,,92.0,20.0,90.0,68.0,90.0,90.0,93.0,90.0,West & Central Africa
2016,98.0,99.0,95.0,95.0,,95.0,95.0,97.0,79.0,95.0,,95.0,97.0,West & Central Africa
2015,98.0,99.0,97.0,97.0,,97.0,71.0,97.0,81.0,97.0,,97.0,97.0,West & Central Africa
2014,96.0,98.0,96.0,96.0,,96.0,,96.0,73.0,96.0,,92.0,96.0,West & Central Africa
2013,98.0,99.0,97.0,97.0,,97.0,,96.0,53.0,96.0,,7.0,97.0,West & Central Africa
2012,98.0,99.0,98.0,98.0,,98.0,,95.0,56.0,98.0,,,95.0,West & Central Africa
2011,90.0,99.0,96.0,96.0,,96.0,,91.0,,95.0,,,91.0,West & Central Africa
2010,92.0,99.0,97.0,97.0,,97.0,,92.0,,99.0,,,92.0,West & Central Africa
2009,94.0,98.0,98.0,97.0,,99.0,,96.0,,,,,96.0,West & Central Africa
2008,95.0,96.0,96.0,98.0,,97.0,,92.0,,,,,95.0,West & Central Africa
2007,97.0,98.0,95.0,97.0,,94.0,,88.0,,,,,88.0,West & Central Africa
2006,97.0,98.0,95.0,95.0,,95.0,,89.0,,,,,89.0,West & Central Africa
2005,99.0,95.0,95.0,95.0,,95.0,,91.0,,,,,91.0,West & Central Africa
2004,99.0,96.0,87.0,95.0,,93.0,,92.0,,,,,84.0,West & Central Africa
2003,99.0,97.0,87.0,94.0,,91.0,,90.0,,,,,84.0,West & Central Africa
2002,99.0,96.0,87.0,92.0,,89.0,,90.0,,,,,85.0,West & Central Africa
2001,99.0,97.0,87.0,91.0,,87.0,,89.0,,,,,84.0,West & Central Africa
2000,99.0,97.0,80.0,91.0,,90.0,,89.0,,,,,85.0,West & Central Africa
1999,98.0,97.0,74.0,93.0,,94.0,,90.0,,,,,86.0,West & Central Africa
1998,99.0,98.0,85.0,92.0,,97.0,,90.0,,,,,86.0,West & Central Africa
1997,99.0,98.0,96.0,94.0,,,,91.0,,,,,87.0,West & Central Africa
1996,99.0,99.0,96.0,88.0,,,,94.0,,,,,,West & Central Africa
1995,99.0,99.0,96.0,87.0,,,,91.0,,,,,,West & Central Africa
1994,99.0,99.0,93.0,57.0,,,,89.0,,,,,,West & Central Africa
1993,98.0,99.0,90.0,56.0,,,,87.0,,,,,,West & Central Africa
1992,97.0,97.0,85.0,,,,,83.0,,,,,,West & Central Africa
1991,97.0,96.0,85.0,78.0,,,,87.0,,,,,,West & Central Africa
1990,98.0,98.0,92.0,,,,,86.0,,,,,,West & Central Africa
1989,98.0,96.0,87.0,,,,,85.0,,,,,,West & Central Africa
1988,96.0,96.0,82.0,,,,,80.0,,,,,,West & Central Africa
1987,97.0,95.0,85.0,,,,,88.0,,,,,,West & Central Africa
1986,96.0,93.0,73.0,,,,,62.0,,,,,,West & Central Africa
1985,92.0,90.0,78.0,,,,,75.0,,,,,,West & Central Africa
1984,98.0,91.0,70.0,,,,,79.0,,,,,,West & Central Africa
1983,96.0,88.0,62.0,,,,,70.0,,,,,,West & Central Africa
1982,91.0,91.0,80.0,,,,,71.0,,,,,,West & Central Africa
1981,96.0,87.0,76.0,,,,,70.0,,,,,,West & Central Africa
1980,85.0,89.0,63.0,,,,,69.0,,,,,,West & Central Africa
