Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,98.0,97.0,97.0,97.0,,97.0,55.0,92.0,83.0,96.0,92.0,94.0,91.0,West & Central Africa
2017,99.0,99.0,99.0,99.0,,99.0,,95.0,83.0,99.0,95.0,97.0,86.0,West & Central Africa
2016,94.0,94.0,93.0,93.0,,93.0,,89.0,75.0,93.0,89.0,94.0,88.0,West & Central Africa
2015,97.0,97.0,88.0,88.0,,88.0,,89.0,63.0,88.0,89.0,88.0,88.0,West & Central Africa
2014,99.0,99.0,98.0,98.0,,98.0,,92.0,67.0,99.0,92.0,98.0,92.0,West & Central Africa
2013,98.0,94.0,90.0,90.0,,90.0,,89.0,54.0,89.0,89.0,87.0,87.0,West & Central Africa
2012,98.0,92.0,92.0,92.0,,92.0,,88.0,52.0,43.0,,49.0,88.0,West & Central Africa
2011,98.0,94.0,91.0,91.0,,91.0,,91.0,,,,,91.0,West & Central Africa
2010,99.0,96.0,94.0,94.0,,94.0,,93.0,,,,,93.0,West & Central Africa
2009,99.0,96.0,94.0,94.0,,94.0,,93.0,,,,,93.0,West & Central Africa
2008,99.0,96.0,93.0,93.0,,93.0,,86.0,,,,,86.0,West & Central Africa
2007,99.0,96.0,94.0,94.0,,94.0,,95.0,,,,,94.0,West & Central Africa
2006,99.0,87.0,84.0,84.0,,84.0,,85.0,,,,,84.0,West & Central Africa
2005,99.0,88.0,84.0,84.0,,84.0,,83.0,,,,,82.0,West & Central Africa
2004,92.0,88.0,80.0,80.0,,80.0,,83.0,,,,,81.0,West & Central Africa
2003,92.0,87.0,80.0,80.0,,80.0,,80.0,,,,,77.0,West & Central Africa
2002,92.0,84.0,78.0,80.0,,80.0,,78.0,,,,,82.0,West & Central Africa
2001,94.0,81.0,79.0,,,,,78.0,,,,,87.0,West & Central Africa
2000,99.0,96.0,88.0,,,,,90.0,,,,,74.0,West & Central Africa
1999,98.0,86.0,79.0,,,,,81.0,,,,,60.0,West & Central Africa
1998,90.0,87.0,76.0,,,,,78.0,,,,,50.0,West & Central Africa
1997,88.0,88.0,71.0,,,,,73.0,,,,,40.0,West & Central Africa
1996,87.0,88.0,71.0,,,,,71.0,,,,,,West & Central Africa
1995,87.0,88.0,70.0,,,,,70.0,,,,,,West & Central Africa
1994,86.0,88.0,70.0,,,,,68.0,,,,,,West & Central Africa
1993,85.0,86.0,66.0,,,,,66.0,,,,,,West & Central Africa
1992,83.0,83.0,62.0,,,,,64.0,,,,,,West & Central Africa
1991,77.0,82.0,60.0,,,,,63.0,,,,,,West & Central Africa
1990,71.0,80.0,58.0,,,,,61.0,,,,,,West & Central Africa
1989,70.0,75.0,51.0,,,,,65.0,,,,,,West & Central Africa
1988,70.0,72.0,47.0,,,,,59.0,,,,,,West & Central Africa
1987,69.0,67.0,42.0,,,,,51.0,,,,,,West & Central Africa
1986,55.0,60.0,35.0,,,,,31.0,,,,,,West & Central Africa
1985,41.0,46.0,22.0,,,,,21.0,,,,,,West & Central Africa
1984,41.0,42.0,19.0,,,,,10.0,,,,,,West & Central Africa
1983,31.0,47.0,23.0,,,,,16.0,,,,,,West & Central Africa
1982,,47.0,23.0,,,,,21.0,,,,,,West & Central Africa
1981,,46.0,22.0,,,,,23.0,,,,,,West & Central Africa
1980,,27.0,7.0,,,,,16.0,,,,,,West & Central Africa
