Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,72.0,63.0,45.0,45.0,,45.0,45.0,48.0,,,,,43.0,West & Central Africa
2017,72.0,63.0,45.0,45.0,,45.0,45.0,48.0,,,,,43.0,West & Central Africa
2016,72.0,63.0,45.0,45.0,,45.0,45.0,48.0,,,,,43.0,West & Central Africa
2015,72.0,63.0,45.0,45.0,,45.0,8.0,48.0,,,,,43.0,West & Central Africa
2014,66.0,58.0,44.0,44.0,,44.0,,50.0,,,,,45.0,West & Central Africa
2013,71.0,64.0,50.0,50.0,,50.0,,54.0,,,,,51.0,West & Central Africa
2012,77.0,70.0,57.0,57.0,,57.0,,58.0,,,,,56.0,West & Central Africa
2011,82.0,76.0,63.0,63.0,,63.0,,62.0,,,,,62.0,West & Central Africa
2010,93.0,86.0,64.0,64.0,,64.0,,58.0,,,,,56.0,West & Central Africa
2009,91.0,76.0,57.0,57.0,,57.0,,53.0,,,,,52.0,West & Central Africa
2008,87.0,64.0,60.0,57.0,,,,55.0,,,,,47.0,West & Central Africa
2007,84.0,76.0,63.0,57.0,,,,57.0,,,,,45.0,West & Central Africa
2006,81.0,75.0,57.0,,,,,51.0,,,,,38.0,West & Central Africa
2005,80.0,75.0,59.0,,,,,51.0,,,,,39.0,West & Central Africa
2004,79.0,75.0,60.0,,,,,50.0,,,,,39.0,West & Central Africa
2003,80.0,71.0,57.0,,,,,48.0,,,,,28.0,West & Central Africa
2002,80.0,68.0,53.0,,,,,46.0,,,,,17.0,West & Central Africa
2001,81.0,64.0,50.0,,,,,44.0,,,,,,West & Central Africa
2000,81.0,61.0,46.0,,,,,42.0,,,,,,West & Central Africa
1999,82.0,57.0,43.0,,,,,40.0,,,,,,West & Central Africa
1998,76.0,72.0,56.0,,,,,52.0,,,,,,West & Central Africa
1997,76.0,72.0,47.0,,,,,56.0,,,,,,West & Central Africa
1996,77.0,72.0,48.0,,,,,61.0,,,,,,West & Central Africa
1995,78.0,77.0,54.0,,,,,61.0,,,,,,West & Central Africa
1994,75.0,77.0,53.0,,,,,58.0,,,,,,West & Central Africa
1993,70.0,77.0,53.0,,,,,55.0,,,,,,West & Central Africa
1992,65.0,76.0,52.0,,,,,52.0,,,,,,West & Central Africa
1991,60.0,61.0,36.0,,,,,42.0,,,,,,West & Central Africa
1990,50.0,40.0,17.0,,,,,35.0,,,,,,West & Central Africa
1989,31.0,40.0,17.0,,,,,27.0,,,,,,West & Central Africa
1988,31.0,39.0,16.0,,,,,27.0,,,,,,West & Central Africa
1987,27.0,37.0,15.0,,,,,28.0,,,,,,West & Central Africa
1986,23.0,37.0,15.0,,,,,28.0,,,,,,West & Central Africa
1985,18.0,37.0,15.0,,,,,29.0,,,,,,West & Central Africa
1984,14.0,37.0,15.0,,,,,29.0,,,,,,West & Central Africa
1983,10.0,37.0,15.0,,,,,30.0,,,,,,West & Central Africa
1982,7.0,37.0,15.0,,,,,34.0,,,,,,West & Central Africa
1981,4.0,,,,,,,15.0,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
