Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,91.0,89.0,88.0,88.0,,88.0,3.0,86.0,,88.0,,88.0,85.0,West & Central Africa
2017,91.0,89.0,88.0,88.0,,88.0,17.0,86.0,,88.0,,88.0,85.0,West & Central Africa
2016,91.0,89.0,88.0,88.0,,88.0,30.0,86.0,,88.0,,61.0,85.0,West & Central Africa
2015,92.0,90.0,88.0,88.0,,88.0,,85.0,,10.0,,,75.0,West & Central Africa
2014,93.0,92.0,88.0,88.0,,88.0,,84.0,,,,,53.0,West & Central Africa
2013,93.0,93.0,87.0,87.0,,87.0,,82.0,,,,,75.0,West & Central Africa
2012,94.0,94.0,87.0,87.0,,87.0,,81.0,,,,,75.0,West & Central Africa
2011,92.0,92.0,86.0,89.0,,89.0,,83.0,,,,,78.0,West & Central Africa
2010,93.0,93.0,83.0,82.0,,86.0,,76.0,,,,,74.0,West & Central Africa
2009,94.0,94.0,80.0,80.0,,80.0,,69.0,,,,,69.0,West & Central Africa
2008,93.0,91.0,77.0,,,,,71.0,,,,,37.0,West & Central Africa
2007,92.0,89.0,74.0,,,,,73.0,,,,,,West & Central Africa
2006,90.0,86.0,71.0,,,,,74.0,,,,,,West & Central Africa
2005,89.0,83.0,68.0,,,,,76.0,,,,,,West & Central Africa
2004,87.0,81.0,64.0,,,,,75.0,,,,,,West & Central Africa
2003,84.0,79.0,60.0,,,,,74.0,,,,,,West & Central Africa
2002,82.0,77.0,57.0,,,,,73.0,,,,,,West & Central Africa
2001,79.0,75.0,53.0,,,,,72.0,,,,,,West & Central Africa
2000,77.0,73.0,49.0,,,,,71.0,,,,,,West & Central Africa
1999,74.0,68.0,45.0,,,,,70.0,,,,,,West & Central Africa
1998,78.0,76.0,54.0,,,,,61.0,,,,,,West & Central Africa
1997,82.0,83.0,63.0,,,,,51.0,,,,,,West & Central Africa
1996,68.0,77.0,53.0,,,,,49.0,,,,,,West & Central Africa
1995,92.0,70.0,45.0,,,,,45.0,,,,,,West & Central Africa
1994,95.0,90.0,74.0,,,,,68.0,,,,,,West & Central Africa
1993,96.0,89.0,63.0,,,,,68.0,,,,,,West & Central Africa
1992,99.0,86.0,67.0,,,,,60.0,,,,,,West & Central Africa
1991,94.0,84.0,63.0,,,,,52.0,,,,,,West & Central Africa
1990,90.0,82.0,61.0,,,,,53.0,,,,,,West & Central Africa
1989,95.0,86.0,54.0,,,,,65.0,,,,,,West & Central Africa
1988,89.0,95.0,66.0,,,,,52.0,,,,,,West & Central Africa
1987,82.0,87.0,55.0,,,,,68.0,,,,,,West & Central Africa
1986,69.0,88.0,47.0,,,,,59.0,,,,,,West & Central Africa
1985,56.0,57.0,18.0,,,,,35.0,,,,,,West & Central Africa
1984,42.0,57.0,18.0,,,,,31.0,,,,,,West & Central Africa
1983,,45.0,9.0,,,,,27.0,,,,,,West & Central Africa
1982,,,,,,,,,,,,,,West & Central Africa
1981,,,,,,,,,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
