Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,83.0,82.0,71.0,71.0,,71.0,66.0,70.0,,68.0,,55.0,67.0,West & Central Africa
2017,81.0,80.0,70.0,70.0,,70.0,46.0,67.0,,65.0,,51.0,65.0,West & Central Africa
2016,77.0,78.0,69.0,69.0,,69.0,42.0,66.0,,63.0,,47.0,63.0,West & Central Africa
2015,76.0,75.0,67.0,67.0,,67.0,,62.0,,60.0,,35.0,61.0,West & Central Africa
2014,73.0,73.0,66.0,66.0,,66.0,,61.0,,57.0,,23.0,59.0,West & Central Africa
2013,70.0,69.0,64.0,64.0,,64.0,,62.0,,59.0,,,60.0,West & Central Africa
2012,77.0,75.0,65.0,65.0,,65.0,,67.0,,58.0,,,63.0,West & Central Africa
2011,84.0,80.0,66.0,66.0,,66.0,,72.0,,56.0,,,66.0,West & Central Africa
2010,82.0,81.0,73.0,72.0,,73.0,,78.0,,,,,69.0,West & Central Africa
2009,84.0,82.0,73.0,71.0,,73.0,,73.0,,,,,72.0,West & Central Africa
2008,86.0,85.0,74.0,74.0,,74.0,,71.0,,,,,74.0,West & Central Africa
2007,86.0,89.0,74.0,74.0,,44.0,,66.0,,,,,71.0,West & Central Africa
2006,86.0,91.0,78.0,90.0,,16.0,,68.0,,,,,72.0,West & Central Africa
2005,83.0,96.0,77.0,83.0,,1.0,,73.0,,,,,72.0,West & Central Africa
2004,76.0,94.0,69.0,73.0,,,,63.0,,,,,62.0,West & Central Africa
2003,74.0,91.0,63.0,79.0,,,,57.0,,,,,57.0,West & Central Africa
2002,82.0,87.0,61.0,,,,,56.0,,,,,28.0,West & Central Africa
2001,75.0,78.0,49.0,,,,,54.0,,,,,8.0,West & Central Africa
2000,69.0,61.0,43.0,,,,,49.0,,,,,11.0,West & Central Africa
1999,78.0,67.0,40.0,,,,,51.0,,,,,13.0,West & Central Africa
1998,79.0,73.0,52.0,,,,,54.0,,,,,10.0,West & Central Africa
1997,84.0,79.0,52.0,,,,,56.0,,,,,,West & Central Africa
1996,80.0,77.0,53.0,,,,,57.0,,,,,,West & Central Africa
1995,76.0,73.0,49.0,,,,,52.0,,,,,,West & Central Africa
1994,75.0,64.0,39.0,,,,,46.0,,,,,,West & Central Africa
1993,74.0,71.0,46.0,,,,,51.0,,,,,,West & Central Africa
1992,70.0,63.0,38.0,,,,,35.0,,,,,,West & Central Africa
1991,68.0,59.0,34.0,,,,,42.0,,,,,,West & Central Africa
1990,82.0,67.0,42.0,,,,,43.0,,,,,,West & Central Africa
1989,85.0,51.0,26.0,,,,,40.0,,,,,,West & Central Africa
1988,64.0,41.0,18.0,,,,,23.0,,,,,,West & Central Africa
1987,51.0,28.0,8.0,,,,,11.0,,,,,,West & Central Africa
1986,37.0,28.0,8.0,,,,,27.0,,,,,,West & Central Africa
1985,33.0,28.0,8.0,,,,,19.0,,,,,,West & Central Africa
1984,30.0,,,,,,,,,,,,,West & Central Africa
1983,26.0,,,,,,,,,,,,,West & Central Africa
1982,23.0,,,,,,,,,,,,,West & Central Africa
1981,19.0,,,,,,,,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
