Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,90.0,89.0,81.0,81.0,,81.0,68.0,78.0,,77.0,86.0,76.0,,West & Central Africa
2017,90.0,89.0,81.0,81.0,,81.0,68.0,78.0,,77.0,,76.0,,West & Central Africa
2016,86.0,86.0,74.0,74.0,,74.0,65.0,72.0,,73.0,,73.0,,West & Central Africa
2015,85.0,87.0,73.0,73.0,,73.0,6.0,70.0,,71.0,,56.0,,West & Central Africa
2014,93.0,95.0,81.0,81.0,,81.0,,75.0,,71.0,,5.0,,West & Central Africa
2013,95.0,95.0,80.0,80.0,,80.0,,80.0,,1.0,,,,West & Central Africa
2012,95.0,95.0,80.0,80.0,,80.0,,75.0,,,,,,West & Central Africa
2011,86.0,91.0,75.0,75.0,,75.0,,67.0,,,,,,West & Central Africa
2010,85.0,82.0,64.0,64.0,,64.0,,67.0,,,,,,West & Central Africa
2009,81.0,79.0,64.0,64.0,,64.0,,59.0,,,,,,West & Central Africa
2008,89.0,88.0,74.0,74.0,,,,65.0,,,,,,West & Central Africa
2007,92.0,92.0,75.0,74.0,,,,67.0,,,,,,West & Central Africa
2006,86.0,85.0,68.0,68.0,,,,62.0,,,,,,West & Central Africa
2005,91.0,85.0,71.0,42.0,,,,65.0,,,,,,West & Central Africa
2004,94.0,83.0,70.0,,,,,73.0,,,,,,West & Central Africa
2003,96.0,91.0,76.0,,,,,84.0,,,,,,West & Central Africa
2002,99.0,96.0,89.0,,,,,87.0,,,,,,West & Central Africa
2001,95.0,76.0,75.0,,,,,58.0,,,,,,West & Central Africa
2000,78.0,73.0,51.0,,,,,46.0,,,,,,West & Central Africa
1999,75.0,70.0,53.0,,,,,62.0,,,,,,West & Central Africa
1998,77.0,56.0,16.0,,,,,62.0,,,,,,West & Central Africa
1997,78.0,69.0,28.0,,,,,64.0,,,,,,West & Central Africa
1996,79.0,89.0,50.0,,,,,66.0,,,,,,West & Central Africa
1995,80.0,93.0,55.0,,,,,67.0,,,,,,West & Central Africa
1994,82.0,88.0,50.0,,,,,53.0,,,,,,West & Central Africa
1993,84.0,82.0,44.0,,,,,49.0,,,,,,West & Central Africa
1992,81.0,76.0,39.0,,,,,43.0,,,,,,West & Central Africa
1991,80.0,65.0,29.0,,,,,32.0,,,,,,West & Central Africa
1990,79.0,69.0,33.0,,,,,38.0,,,,,,West & Central Africa
1989,79.0,63.0,28.0,,,,,42.0,,,,,,West & Central Africa
1988,79.0,62.0,28.0,,,,,45.0,,,,,,West & Central Africa
1987,77.0,55.0,30.0,,,,,27.0,,,,,,West & Central Africa
1986,73.0,57.0,32.0,,,,,40.0,,,,,,West & Central Africa
1985,74.0,52.0,27.0,,,,,41.0,,,,,,West & Central Africa
1984,70.0,45.0,21.0,,,,,42.0,,,,,,West & Central Africa
1983,66.0,44.0,20.0,,,,,43.0,,,,,,West & Central Africa
1982,61.0,44.0,20.0,,,,,44.0,,,,,,West & Central Africa
1981,57.0,41.0,18.0,,,,,45.0,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
