Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,87.0,91.0,79.0,79.0,,79.0,79.0,77.0,48.0,79.0,,79.0,78.0,West & Central Africa
2017,92.0,95.0,85.0,85.0,,85.0,85.0,82.0,46.0,85.0,,85.0,82.0,West & Central Africa
2016,91.0,92.0,80.0,80.0,,80.0,62.0,76.0,31.0,76.0,,80.0,76.0,West & Central Africa
2015,94.0,93.0,84.0,84.0,,84.0,27.0,85.0,16.0,49.0,,47.0,84.0,West & Central Africa
2014,87.0,95.0,81.0,81.0,,81.0,,80.0,3.0,13.0,,19.0,79.0,West & Central Africa
2013,43.0,89.0,73.0,73.0,,73.0,,80.0,,,,,75.0,West & Central Africa
2012,85.0,87.0,71.0,71.0,,71.0,,75.0,,,,,73.0,West & Central Africa
2011,53.0,86.0,75.0,75.0,,75.0,,69.0,,,,,52.0,West & Central Africa
2010,81.0,83.0,70.0,70.0,,70.0,,67.0,,,,,64.0,West & Central Africa
2009,86.0,81.0,71.0,71.0,,71.0,,69.0,,,,,67.0,West & Central Africa
2008,78.0,76.0,67.0,,,,,66.0,,,,,47.0,West & Central Africa
2007,73.0,68.0,57.0,,,,,60.0,,,,,37.0,West & Central Africa
2006,69.0,63.0,51.0,,,,,53.0,,,,,32.0,West & Central Africa
2005,64.0,58.0,45.0,,,,,47.0,,,,,37.0,West & Central Africa
2004,61.0,56.0,43.0,,,,,45.0,,,,,32.0,West & Central Africa
2003,58.0,53.0,41.0,,,,,43.0,,,,,26.0,West & Central Africa
2002,56.0,51.0,39.0,,,,,41.0,,,,,21.0,West & Central Africa
2001,53.0,48.0,36.0,,,,,39.0,,,,,15.0,West & Central Africa
2000,50.0,46.0,34.0,,,,,37.0,,,,,10.0,West & Central Africa
1999,47.0,43.0,32.0,,,,,35.0,,,,,,West & Central Africa
1998,48.0,44.0,29.0,,,,,35.0,,,,,,West & Central Africa
1997,48.0,45.0,25.0,,,,,35.0,,,,,,West & Central Africa
1996,53.0,44.0,23.0,,,,,38.0,,,,,,West & Central Africa
1995,53.0,42.0,23.0,,,,,40.0,,,,,,West & Central Africa
1994,32.0,41.0,20.0,,,,,19.0,,,,,,West & Central Africa
1993,34.0,39.0,20.0,,,,,19.0,,,,,,West & Central Africa
1992,38.0,38.0,20.0,,,,,21.0,,,,,,West & Central Africa
1991,38.0,36.0,19.0,,,,,28.0,,,,,,West & Central Africa
1990,50.0,46.0,22.0,,,,,25.0,,,,,,West & Central Africa
1989,32.0,35.0,13.0,,,,,14.0,,,,,,West & Central Africa
1988,27.0,29.0,9.0,,,,,24.0,,,,,,West & Central Africa
1987,28.0,27.0,7.0,,,,,27.0,,,,,,West & Central Africa
1986,28.0,24.0,5.0,,,,,27.0,,,,,,West & Central Africa
1985,28.0,22.0,4.0,,,,,27.0,,,,,,West & Central Africa
1984,28.0,24.0,5.0,,,,,22.0,,,,,,West & Central Africa
1983,28.0,24.0,5.0,,,,,16.0,,,,,,West & Central Africa
1982,28.0,25.0,6.0,,,,,18.0,,,,,,West & Central Africa
1981,28.0,25.0,6.0,,,,,19.0,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
