Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,53.0,70.0,57.0,57.0,,57.0,57.0,65.0,,57.0,,,65.0,West & Central Africa
2017,53.0,70.0,57.0,57.0,,57.0,57.0,65.0,,57.0,,,65.0,West & Central Africa
2016,58.0,70.0,57.0,57.0,,57.0,57.0,65.0,,57.0,,,65.0,West & Central Africa
2015,58.0,55.0,45.0,42.0,,42.0,45.0,43.0,,36.0,,,41.0,West & Central Africa
2014,51.0,48.0,43.0,43.0,,43.0,,44.0,,,,,49.0,West & Central Africa
2013,50.0,50.0,43.0,43.0,,27.0,,42.0,,,,,47.0,West & Central Africa
2012,51.0,51.0,42.0,42.0,,10.0,,42.0,,,,,24.0,West & Central Africa
2011,57.0,56.0,48.0,46.0,,,,49.0,,,,,38.0,West & Central Africa
2010,62.0,60.0,54.0,49.0,,,,56.0,,,,,50.0,West & Central Africa
2009,76.0,73.0,63.0,63.0,,,,64.0,,,,,69.0,West & Central Africa
2008,65.0,63.0,53.0,41.0,,,,53.0,,,,,50.0,West & Central Africa
2007,53.0,52.0,42.0,42.0,,,,41.0,,,,,51.0,West & Central Africa
2006,52.0,49.0,40.0,27.0,,,,44.0,,,,,44.0,West & Central Africa
2005,49.0,48.0,36.0,18.0,,,,41.0,,,,,36.0,West & Central Africa
2004,45.0,46.0,33.0,,,,,37.0,,,,,21.0,West & Central Africa
2003,42.0,45.0,29.0,,,,,34.0,,,,,,West & Central Africa
2002,38.0,43.0,25.0,,,,,30.0,,,,,,West & Central Africa
2001,41.0,42.0,27.0,,,,,32.0,,,,,,West & Central Africa
2000,44.0,42.0,29.0,,,,,33.0,,,,,,West & Central Africa
1999,46.0,41.0,31.0,,,,,35.0,,,,,,West & Central Africa
1998,49.0,48.0,32.0,,,,,38.0,,,,,,West & Central Africa
1997,29.0,70.0,21.0,,,,,38.0,,,,,,West & Central Africa
1996,43.0,51.0,26.0,,,,,38.0,,,,,,West & Central Africa
1995,42.0,59.0,34.0,,,,,44.0,,,,,,West & Central Africa
1994,55.0,69.0,44.0,,,,,41.0,,,,,,West & Central Africa
1993,52.0,54.0,29.0,,,,,40.0,,,,,,West & Central Africa
1992,57.0,68.0,43.0,,,,,43.0,,,,,,West & Central Africa
1991,60.0,64.0,39.0,,,,,57.0,,,,,,West & Central Africa
1990,80.0,79.0,56.0,,,,,54.0,,,,,,West & Central Africa
1989,61.0,72.0,47.0,,,,,59.0,,,,,,West & Central Africa
1988,54.0,61.0,36.0,,,,,46.0,,,,,,West & Central Africa
1987,47.0,54.0,29.0,,,,,36.0,,,,,,West & Central Africa
1986,40.0,46.0,22.0,,,,,28.0,,,,,,West & Central Africa
1985,28.0,39.0,16.0,,,,,17.0,,,,,,West & Central Africa
1984,16.0,29.0,9.0,,,,,9.0,,,,,,West & Central Africa
1983,19.0,,,,,,,,,,,,,West & Central Africa
1982,21.0,,,,,,,,,,,,,West & Central Africa
1981,23.0,,,,,,,,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
