Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,96.0,97.0,95.0,95.0,,95.0,97.0,95.0,76.0,95.0,95.0,95.0,,West & Central Africa
2017,94.0,96.0,95.0,95.0,,95.0,46.0,90.0,76.0,95.0,90.0,95.0,,West & Central Africa
2016,92.0,97.0,96.0,96.0,,96.0,67.0,93.0,76.0,96.0,93.0,24.0,,West & Central Africa
2015,97.0,98.0,96.0,96.0,,96.0,,93.0,76.0,96.0,,,,West & Central Africa
2014,95.0,98.0,95.0,95.0,,95.0,,92.0,71.0,95.0,,,,West & Central Africa
2013,97.0,99.0,97.0,97.0,,97.0,,91.0,,97.0,,,91.0,West & Central Africa
2012,99.0,98.0,96.0,96.0,,96.0,,92.0,,,,,92.0,West & Central Africa
2011,99.0,98.0,96.0,96.0,,96.0,,91.0,,,,,91.0,West & Central Africa
2010,99.0,98.0,98.0,98.0,,98.0,,92.0,,,,,92.0,West & Central Africa
2009,99.0,99.0,98.0,98.0,,,,90.0,,,,,90.0,West & Central Africa
2008,99.0,99.0,99.0,99.0,,,,93.0,,,,,94.0,West & Central Africa
2007,98.0,99.0,97.0,87.0,,,,86.0,,,,,86.0,West & Central Africa
2006,98.0,99.0,97.0,75.0,,,,85.0,,,,,85.0,West & Central Africa
2005,98.0,99.0,97.0,96.0,,,,88.0,,,,,68.0,West & Central Africa
2004,99.0,99.0,96.0,70.0,,,,91.0,,,,,51.0,West & Central Africa
2003,99.0,98.0,94.0,43.0,,,,87.0,,,,,34.0,West & Central Africa
2002,96.0,94.0,92.0,,,,,85.0,,,,,,West & Central Africa
2001,92.0,97.0,92.0,,,,,75.0,,,,,,West & Central Africa
2000,81.0,89.0,82.0,,,,,69.0,,,,,,West & Central Africa
1999,81.0,90.0,78.0,,,,,64.0,,,,,,West & Central Africa
1998,80.0,89.0,73.0,,,,,59.0,,,,,,West & Central Africa
1997,70.0,90.0,73.0,,,,,60.0,,,,,,West & Central Africa
1996,85.0,87.0,68.0,,,,,57.0,,,,,,West & Central Africa
1995,95.0,92.0,79.0,,,,,74.0,,,,,,West & Central Africa
1994,86.0,94.0,83.0,,,,,65.0,,,,,,West & Central Africa
1993,77.0,82.0,60.0,,,,,57.0,,,,,,West & Central Africa
1992,83.0,87.0,68.0,,,,,52.0,,,,,,West & Central Africa
1991,99.0,95.0,87.0,,,,,77.0,,,,,,West & Central Africa
1990,99.0,97.0,92.0,,,,,71.0,,,,,,West & Central Africa
1989,94.0,84.0,63.0,,,,,45.0,,,,,,West & Central Africa
1988,88.0,91.0,77.0,,,,,69.0,,,,,,West & Central Africa
1987,88.0,89.0,72.0,,,,,69.0,,,,,,West & Central Africa
1986,99.0,85.0,65.0,,,,,58.0,,,,,,West & Central Africa
1985,75.0,72.0,48.0,,,,,35.0,,,,,,West & Central Africa
1984,82.0,73.0,49.0,,,,,48.0,,,,,,West & Central Africa
1983,86.0,51.0,26.0,,,,,40.0,,,,,,West & Central Africa
1982,90.0,59.0,34.0,,,,,32.0,,,,,,West & Central Africa
1981,95.0,67.0,42.0,,,,,25.0,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
