Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,83.0,83.0,81.0,82.0,63.0,82.0,72.0,82.0,63.0,81.0,82.0,80.0,75.0,West & Central Africa
2017,99.0,97.0,93.0,91.0,72.0,91.0,,90.0,70.0,92.0,90.0,94.0,80.0,West & Central Africa
2016,97.0,96.0,93.0,93.0,58.0,93.0,72.0,93.0,75.0,93.0,93.0,93.0,87.0,West & Central Africa
2015,95.0,94.0,89.0,89.0,,89.0,81.0,80.0,54.0,89.0,80.0,83.0,80.0,West & Central Africa
2014,95.0,94.0,89.0,89.0,,89.0,,80.0,13.0,81.0,80.0,,80.0,West & Central Africa
2013,97.0,96.0,92.0,92.0,,92.0,,84.0,,,84.0,,83.0,West & Central Africa
2012,97.0,96.0,91.0,91.0,,91.0,,83.0,,,,,80.0,West & Central Africa
2011,97.0,97.0,92.0,92.0,,92.0,,84.0,,,,,84.0,West & Central Africa
2010,97.0,96.0,89.0,89.0,,89.0,,81.0,,,,,80.0,West & Central Africa
2009,97.0,94.0,86.0,86.0,,86.0,,79.0,,,,,76.0,West & Central Africa
2008,98.0,94.0,88.0,88.0,,88.0,,77.0,,,,,81.0,West & Central Africa
2007,96.0,97.0,94.0,94.0,,94.0,,84.0,,,,,86.0,West & Central Africa
2006,94.0,99.0,89.0,89.0,,89.0,,80.0,,,,,80.0,West & Central Africa
2005,92.0,97.0,84.0,84.0,,18.0,,74.0,,,,,75.0,West & Central Africa
2004,95.0,95.0,87.0,54.0,,,,57.0,,,,,75.0,West & Central Africa
2003,77.0,81.0,73.0,,,,,60.0,,,,,59.0,West & Central Africa
2002,70.0,70.0,60.0,,,,,54.0,,,,,53.0,West & Central Africa
2001,89.0,79.0,52.0,,,,,48.0,,,,,34.0,West & Central Africa
2000,89.0,79.0,52.0,,,,,48.0,,,,,34.0,West & Central Africa
1999,90.0,78.0,60.0,,,,,60.0,,,,,43.0,West & Central Africa
1998,81.0,79.0,59.0,,,,,62.0,,,,,50.0,West & Central Africa
1997,81.0,81.0,59.0,,,,,65.0,,,,,,West & Central Africa
1996,81.0,88.0,70.0,,,,,70.0,,,,,,West & Central Africa
1995,91.0,93.0,80.0,,,,,80.0,,,,,,West & Central Africa
1994,80.0,80.0,57.0,,,,,59.0,,,,,,West & Central Africa
1993,80.0,80.0,58.0,,,,,58.0,,,,,,West & Central Africa
1992,80.0,77.0,59.0,,,,,57.0,,,,,,West & Central Africa
1991,80.0,75.0,51.0,,,,,54.0,,,,,,West & Central Africa
1990,90.0,75.0,51.0,,,,,51.0,,,,,,West & Central Africa
1989,90.0,72.0,47.0,,,,,48.0,,,,,,West & Central Africa
1988,91.0,81.0,59.0,,,,,60.0,,,,,,West & Central Africa
1987,92.0,80.0,57.0,,,,,66.0,,,,,,West & Central Africa
1986,92.0,77.0,54.0,,,,,71.0,,,,,,West & Central Africa
1985,,,,,,,,,,,,,,West & Central Africa
1984,,,,,,,,,,,,,,West & Central Africa
1983,,,,,,,,,,,,,,West & Central Africa
1982,,,,,,,,,,,,,,West & Central Africa
1981,,,,,,,,,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
