Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,90.0,98.0,90.0,90.0,,90.0,60.0,80.0,55.0,90.0,,92.0,80.0,West & Central Africa
2017,90.0,98.0,90.0,90.0,,90.0,,80.0,55.0,90.0,,92.0,80.0,West & Central Africa
2016,92.0,97.0,84.0,84.0,,84.0,,85.0,50.0,84.0,,95.0,80.0,West & Central Africa
2015,90.0,95.0,86.0,86.0,,86.0,,78.0,60.0,86.0,,85.0,78.0,West & Central Africa
2014,90.0,88.0,83.0,83.0,,83.0,,80.0,,83.0,,53.0,80.0,West & Central Africa
2013,99.0,98.0,92.0,92.0,,92.0,,85.0,,92.0,,,85.0,West & Central Africa
2012,98.0,98.0,91.0,91.0,,91.0,,86.0,,92.0,,,85.0,West & Central Africa
2011,97.0,97.0,89.0,89.0,,89.0,,84.0,,75.0,,,83.0,West & Central Africa
2010,97.0,95.0,86.0,86.0,,86.0,,82.0,,,,,82.0,West & Central Africa
2009,96.0,94.0,84.0,84.0,,84.0,,80.0,,,,,80.0,West & Central Africa
2008,91.0,84.0,77.0,77.0,,77.0,,73.0,,,,,64.0,West & Central Africa
2007,82.0,77.0,64.0,63.0,,63.0,,60.0,,,,,60.0,West & Central Africa
2006,83.0,79.0,64.0,,,,,65.0,,,,,61.0,West & Central Africa
2005,85.0,80.0,65.0,,,,,71.0,,,,,63.0,West & Central Africa
2004,86.0,82.0,65.0,,,,,76.0,,,,,64.0,West & Central Africa
2003,89.0,90.0,73.0,,,,,73.0,,,,,62.0,West & Central Africa
2002,76.0,89.0,53.0,,,,,62.0,,,,,60.0,West & Central Africa
2001,63.0,58.0,38.0,,,,,50.0,,,,,,West & Central Africa
2000,74.0,64.0,44.0,,,,,37.0,,,,,,West & Central Africa
1999,73.0,68.0,43.0,,,,,62.0,,,,,,West & Central Africa
1998,,,,,,,,,,,,,,West & Central Africa
1997,,,,,,,,,,,,,,West & Central Africa
1996,,,,,,,,,,,,,,West & Central Africa
1995,,,,,,,,,,,,,,West & Central Africa
1994,,,,,,,,,,,,,,West & Central Africa
1993,,,,,,,,,,,,,,West & Central Africa
1992,,,,,,,,,,,,,,West & Central Africa
1991,,,,,,,,,,,,,,West & Central Africa
1990,,,,,,,,,,,,,,West & Central Africa
1989,,,,,,,,,,,,,,West & Central Africa
1988,,,,,,,,,,,,,,West & Central Africa
1987,,,,,,,,,,,,,,West & Central Africa
1986,,,,,,,,,,,,,,West & Central Africa
1985,,,,,,,,,,,,,,West & Central Africa
1984,,,,,,,,,,,,,,West & Central Africa
1983,,,,,,,,,,,,,,West & Central Africa
1982,,,,,,,,,,,,,,West & Central Africa
1981,,,,,,,,,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
