Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,83.0,92.0,88.0,88.0,,88.0,20.0,85.0,,88.0,73.0,89.0,86.0,West & Central Africa
2017,75.0,92.0,90.0,90.0,,90.0,,91.0,,90.0,,90.0,91.0,West & Central Africa
2016,79.0,93.0,89.0,89.0,,89.0,,87.0,,89.0,,90.0,86.0,West & Central Africa
2015,86.0,92.0,88.0,88.0,,88.0,,85.0,,86.0,,85.0,85.0,West & Central Africa
2014,79.0,91.0,87.0,87.0,,87.0,,82.0,,34.0,,35.0,82.0,West & Central Africa
2013,97.0,94.0,84.0,84.0,,84.0,,72.0,,,,,72.0,West & Central Africa
2012,97.0,94.0,84.0,84.0,,84.0,,72.0,,,,,72.0,West & Central Africa
2011,97.0,94.0,85.0,85.0,,85.0,,72.0,,,,,72.0,West & Central Africa
2010,97.0,97.0,83.0,83.0,,83.0,,68.0,,,,,67.0,West & Central Africa
2009,91.0,93.0,78.0,78.0,,78.0,,66.0,,,,,64.0,West & Central Africa
2008,92.0,92.0,81.0,24.0,,24.0,,63.0,,,,,63.0,West & Central Africa
2007,91.0,94.0,82.0,,,,,71.0,,,,,67.0,West & Central Africa
2006,96.0,91.0,84.0,,,,,78.0,,,,,76.0,West & Central Africa
2005,96.0,91.0,82.0,,,,,70.0,,,,,56.0,West & Central Africa
2004,91.0,83.0,71.0,,,,,70.0,,,,,1.0,West & Central Africa
2003,79.0,83.0,72.0,,,,,68.0,,,,,,West & Central Africa
2002,81.0,75.0,59.0,,,,,48.0,,,,,,West & Central Africa
2001,83.0,63.0,50.0,,,,,40.0,,,,,,West & Central Africa
2000,84.0,80.0,64.0,,,,,58.0,,,,,,West & Central Africa
1999,81.0,81.0,57.0,,,,,57.0,,,,,,West & Central Africa
1998,70.0,74.0,42.0,,,,,40.0,,,,,,West & Central Africa
1997,76.0,67.0,42.0,,,,,43.0,,,,,,West & Central Africa
1996,79.0,70.0,50.0,,,,,48.0,,,,,,West & Central Africa
1995,83.0,74.0,58.0,,,,,53.0,,,,,,West & Central Africa
1994,86.0,77.0,62.0,,,,,57.0,,,,,,West & Central Africa
1993,89.0,80.0,66.0,,,,,60.0,,,,,,West & Central Africa
1992,92.0,83.0,69.0,,,,,64.0,,,,,,West & Central Africa
1991,96.0,87.0,73.0,,,,,69.0,,,,,,West & Central Africa
1990,99.0,90.0,77.0,,,,,73.0,,,,,,West & Central Africa
1989,94.0,93.0,72.0,,,,,78.0,,,,,,West & Central Africa
1988,91.0,84.0,54.0,,,,,62.0,,,,,,West & Central Africa
1987,95.0,92.0,61.0,,,,,74.0,,,,,,West & Central Africa
1986,53.0,59.0,37.0,,,,,43.0,,,,,,West & Central Africa
1985,54.0,48.0,24.0,,,,,27.0,,,,,,West & Central Africa
1984,55.0,32.0,11.0,,,,,11.0,,,,,,West & Central Africa
1983,51.0,41.0,18.0,,,,,,,,,,,West & Central Africa
1982,48.0,36.0,14.0,,,,,,,,,,,West & Central Africa
1981,44.0,29.0,9.0,,,,,,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
