Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,98.0,94.0,99.0,99.0,95.0,94.0,99.0,,Western Europe
2017,99.0,99.0,98.0,94.0,99.0,99.0,94.0,98.0,99.0,,Western Europe
2016,99.0,98.0,94.0,94.0,98.0,97.0,90.0,92.0,97.0,,Western Europe
2015,99.0,97.0,94.0,94.0,97.0,96.0,88.0,92.0,96.0,,Western Europe
2014,99.0,97.0,95.0,94.0,97.0,96.0,90.0,93.0,96.0,,Western Europe
2013,96.0,96.0,94.0,96.0,96.0,95.0,91.0,,95.0,,Western Europe
2012,99.0,99.0,96.0,95.0,98.0,98.0,89.0,,98.0,,Western Europe
2011,99.0,99.0,99.0,93.0,99.0,99.0,82.0,,99.0,,Western Europe
2010,99.0,99.0,96.0,94.0,98.0,99.0,86.0,,99.0,,Western Europe
2009,99.0,99.0,96.0,94.0,97.0,98.0,82.0,,98.0,,Western Europe
2008,99.0,99.0,97.0,98.0,98.0,98.0,86.0,,98.0,,Western Europe
2007,96.0,96.0,91.0,98.0,95.0,94.0,80.0,,94.0,,Western Europe
2006,96.0,93.0,84.0,98.0,93.0,91.0,,,91.0,,Western Europe
2005,99.0,98.0,79.0,97.0,97.0,94.0,,,94.0,,Western Europe
2004,99.0,99.0,77.0,97.0,95.0,98.0,,,98.0,,Western Europe
2003,99.0,99.0,81.0,96.0,91.0,96.0,,,96.0,,Western Europe
2002,99.0,97.0,84.0,,92.0,98.0,,,98.0,,Western Europe
2001,96.0,96.0,84.0,,92.0,97.0,,,97.0,,Western Europe
2000,99.0,98.0,84.0,,90.0,97.0,,,97.0,,Western Europe
1999,96.0,90.0,75.0,,80.0,97.0,,,97.0,,Western Europe
1998,96.0,89.0,80.0,,55.0,90.0,,,90.0,,Western Europe
1997,96.0,90.0,75.0,,,90.0,,,90.0,,Western Europe
1996,,,,,,,,,,,Western Europe
1995,,,,,,,,,,,Western Europe
1994,,,,,,,,,,,Western Europe
1993,,,,,,,,,,,Western Europe
1992,,,,,,,,,,,Western Europe
1991,,,,,,,,,,,Western Europe
1990,,,,,,,,,,,Western Europe
1989,,,,,,,,,,,Western Europe
1988,,,,,,,,,,,Western Europe
1987,,,,,,,,,,,Western Europe
1986,,,,,,,,,,,Western Europe
1985,,,,,,,,,,,Western Europe
1984,,,,,,,,,,,Western Europe
1983,,,,,,,,,,,Western Europe
1982,,,,,,,,,,,Western Europe
1981,,,,,,,,,,,Western Europe
1980,,,,,,,,,,,Western Europe
