Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,,90.0,85.0,85.0,,85.0,94.0,84.0,,94.0,61.0,Western Europe
2017,,94.0,90.0,90.0,,90.0,96.0,84.0,,96.0,61.0,Western Europe
2016,,95.0,87.0,87.0,,87.0,95.0,89.0,,95.0,61.0,Western Europe
2015,,97.0,93.0,93.0,,93.0,96.0,88.0,,96.0,61.0,Western Europe
2014,,99.0,98.0,98.0,,98.0,96.0,87.0,,96.0,61.0,Western Europe
2013,,98.0,95.0,95.0,,95.0,92.0,82.0,,92.0,61.0,Western Europe
2012,,97.0,92.0,92.0,,92.0,88.0,78.0,,88.0,61.0,Western Europe
2011,,96.0,89.0,89.0,,89.0,84.0,73.0,,84.0,61.0,Western Europe
2010,,95.0,86.0,86.0,,86.0,80.0,69.0,,80.0,61.0,Western Europe
2009,,94.0,83.0,83.0,,83.0,76.0,64.0,,76.0,61.0,Western Europe
2008,,94.0,83.0,83.0,,83.0,83.0,62.0,,83.0,47.0,Western Europe
2007,,95.0,85.0,85.0,,85.0,79.0,56.0,,79.0,,Western Europe
2006,,86.0,83.0,83.0,,83.0,80.0,61.0,,80.0,,Western Europe
2005,,99.0,86.0,86.0,,86.0,75.0,54.0,,75.0,,Western Europe
2004,,99.0,83.0,83.0,,83.0,74.0,47.0,,74.0,,Western Europe
2003,,90.0,84.0,83.0,,84.0,79.0,46.0,,79.0,,Western Europe
2002,,99.0,83.0,81.0,,82.0,78.0,39.0,,78.0,,Western Europe
2001,,99.0,84.0,44.0,,74.0,79.0,34.0,,79.0,,Western Europe
2000,,99.0,81.0,33.0,,72.0,75.0,35.0,,75.0,,Western Europe
1999,,93.0,74.0,,,74.0,65.0,,,65.0,,Western Europe
1998,,94.0,82.0,,,,78.0,,,78.0,,Western Europe
1997,,96.0,90.0,,,,90.0,,,90.0,,Western Europe
1996,,96.0,90.0,,,,87.0,,,87.0,,Western Europe
1995,,96.0,90.0,,,,60.0,,,60.0,,Western Europe
1994,,96.0,90.0,,,,60.0,,,60.0,,Western Europe
1993,,96.0,90.0,,,,60.0,,,60.0,,Western Europe
1992,,96.0,90.0,,,,60.0,,,60.0,,Western Europe
1991,,96.0,90.0,,,,60.0,,,60.0,,Western Europe
1990,,96.0,90.0,,,,60.0,,,60.0,,Western Europe
1989,90.0,96.0,90.0,,,,60.0,,,60.0,,Western Europe
1988,90.0,96.0,90.0,,,,60.0,,,60.0,,Western Europe
1987,90.0,96.0,90.0,,,,60.0,,,60.0,,Western Europe
1986,90.0,96.0,90.0,,,,60.0,,,60.0,,Western Europe
1985,90.0,96.0,90.0,,,,40.0,,,40.0,,Western Europe
1984,90.0,96.0,90.0,,,,30.0,,,30.0,,Western Europe
1983,90.0,96.0,90.0,,,,25.0,,,25.0,,Western Europe
1982,90.0,96.0,90.0,,,,25.0,,,25.0,,Western Europe
1981,90.0,96.0,90.0,,,,25.0,,,25.0,,Western Europe
1980,90.0,96.0,90.0,,,,,,,,,Western Europe
