Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,98.0,97.0,,97.0,96.0,85.0,94.0,96.0,87.0,Western Europe
2017,99.0,98.0,97.0,,97.0,96.0,85.0,94.0,96.0,87.0,Western Europe
2016,99.0,98.0,97.0,,97.0,96.0,85.0,94.0,96.0,87.0,Western Europe
2015,99.0,99.0,98.0,,98.0,96.0,85.0,94.0,96.0,88.0,Western Europe
2014,99.0,99.0,98.0,,98.0,96.0,85.0,93.0,96.0,86.0,Western Europe
2013,99.0,99.0,98.0,,98.0,96.0,85.0,93.0,96.0,86.0,Western Europe
2012,99.0,99.0,98.0,,98.0,96.0,85.0,93.0,96.0,86.0,Western Europe
2011,99.0,98.0,97.0,,98.0,95.0,83.0,,95.0,,Western Europe
2010,99.0,98.0,97.0,,98.0,95.0,83.0,,95.0,,Western Europe
2009,99.0,98.0,97.0,,98.0,95.0,83.0,,95.0,,Western Europe
2008,99.0,99.0,98.0,,98.0,93.0,81.0,,93.0,,Western Europe
2007,99.0,98.0,94.0,,98.0,92.0,78.0,,92.0,,Western Europe
2006,99.0,98.0,94.0,,98.0,92.0,78.0,,92.0,,Western Europe
2005,98.0,97.0,77.0,,95.0,88.0,,,88.0,,Western Europe
2004,97.0,95.0,64.0,,87.0,82.0,,,82.0,,Western Europe
2003,97.0,95.0,64.0,,87.0,82.0,,,82.0,,Western Europe
2002,97.0,95.0,60.0,,86.0,82.0,,,82.0,,Western Europe
2001,97.0,95.0,60.0,,86.0,82.0,,,82.0,,Western Europe
2000,97.0,95.0,60.0,,86.0,82.0,,,82.0,,Western Europe
1999,97.0,87.0,46.0,,59.0,82.0,,,82.0,,Western Europe
1998,96.0,79.0,31.0,,33.0,80.0,,,80.0,,Western Europe
1997,95.0,87.0,2.0,,6.0,76.0,,,76.0,,Western Europe
1996,98.0,95.0,,,10.0,73.0,,,73.0,,Western Europe
1995,97.0,94.0,,,13.0,85.0,,,85.0,,Western Europe
1994,98.0,96.0,,,16.0,78.0,,,78.0,,Western Europe
1993,98.0,97.0,,,20.0,70.0,,,70.0,,Western Europe
1992,98.0,95.0,,,,87.0,,,87.0,,Western Europe
1991,97.0,92.0,,,,67.0,,,67.0,,Western Europe
1990,97.0,93.0,,,,85.0,,,85.0,,Western Europe
1989,97.0,94.0,,,,75.0,,,75.0,,Western Europe
1988,93.0,80.0,,,,75.0,,,75.0,,Western Europe
1987,98.0,95.0,,,,50.0,,,50.0,,Western Europe
1986,98.0,95.0,,,,90.0,,,90.0,,Western Europe
1985,98.0,95.0,,,,82.0,,,82.0,,Western Europe
1984,98.0,95.0,,,,74.0,,,,,Western Europe
1983,98.0,95.0,,,,66.0,,,,,Western Europe
1982,98.0,95.0,,,,58.0,,,,,Western Europe
1981,98.0,95.0,,,,50.0,,,,,Western Europe
1980,98.0,95.0,,,,,,,,,Western Europe
