Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,97.0,,97.0,90.0,88.0,81.0,90.0,,Western Europe
2017,98.0,97.0,97.0,,96.0,90.0,88.0,81.0,90.0,,Western Europe
2016,98.0,97.0,97.0,,96.0,90.0,88.0,81.0,90.0,,Western Europe
2015,98.0,97.0,97.0,,97.0,90.0,88.0,81.0,90.0,,Western Europe
2014,99.0,99.0,96.0,,96.0,86.0,88.0,,86.0,,Western Europe
2013,99.0,99.0,96.0,,96.0,86.0,88.0,,86.0,,Western Europe
2012,99.0,99.0,96.0,,96.0,86.0,88.0,,86.0,,Western Europe
2011,99.0,99.0,96.0,,96.0,87.0,88.0,,87.0,,Western Europe
2010,99.0,99.0,96.0,,96.0,87.0,88.0,,87.0,,Western Europe
2009,99.0,99.0,96.0,,96.0,87.0,88.0,,87.0,,Western Europe
2008,98.0,97.0,93.0,,90.0,87.0,89.0,,87.0,,Western Europe
2007,98.0,97.0,93.0,,90.0,87.0,93.0,,87.0,,Western Europe
2006,98.0,97.0,93.0,,90.0,87.0,,,87.0,,Western Europe
2005,98.0,98.0,88.0,,58.0,86.0,,,86.0,,Western Europe
2004,98.0,98.0,88.0,,58.0,86.0,,,86.0,,Western Europe
2003,98.0,98.0,88.0,,58.0,86.0,,,86.0,,Western Europe
2002,98.0,98.0,88.0,,32.0,86.0,,,86.0,,Western Europe
2001,98.0,97.0,89.0,,32.0,86.0,,,86.0,,Western Europe
2000,98.0,97.0,89.0,,32.0,86.0,,,86.0,,Western Europe
1999,98.0,97.0,89.0,,,87.0,,,87.0,,Western Europe
1998,98.0,98.0,88.0,,,89.0,,,89.0,,Western Europe
1997,98.0,98.0,88.0,,,90.0,,,90.0,,Western Europe
1996,98.0,98.0,88.0,,,90.0,,,90.0,,Western Europe
1995,98.0,96.0,68.0,,,83.0,,,83.0,,Western Europe
1994,98.0,95.0,54.0,,,82.0,,,82.0,,Western Europe
1993,98.0,95.0,41.0,,,81.0,,,81.0,,Western Europe
1992,97.0,94.0,27.0,,,80.0,,,80.0,,Western Europe
1991,97.0,94.0,20.0,,,78.0,,,78.0,,Western Europe
1990,97.0,93.0,,,,77.0,,,77.0,,Western Europe
1989,97.0,93.0,,,,76.0,,,76.0,,Western Europe
1988,96.0,90.0,,,,74.0,,,74.0,,Western Europe
1987,97.0,93.0,,,,91.0,,,91.0,,Western Europe
1986,97.0,91.0,,,,60.0,,,60.0,,Western Europe
1985,82.0,61.0,,,,43.0,,,43.0,,Western Europe
1984,55.0,30.0,,,,25.0,,,25.0,,Western Europe
1983,59.0,34.0,,,,19.0,,,19.0,,Western Europe
1982,51.0,26.0,,,,21.0,,,21.0,,Western Europe
1981,79.0,56.0,,,,28.0,,,28.0,,Western Europe
1980,59.0,34.0,,,,29.0,,,29.0,,Western Europe
