Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,,97.0,97.0,,,97.0,95.0,90.0,96.0,95.0,,Western Europe
2017,,99.0,98.0,,,98.0,97.0,88.0,97.0,97.0,,Western Europe
2016,,97.0,94.0,,,94.0,94.0,85.0,94.0,94.0,,Western Europe
2015,,96.0,93.0,,,93.0,91.0,80.0,91.0,91.0,,Western Europe
2014,,96.0,94.0,,,94.0,90.0,84.0,93.0,90.0,,Western Europe
2013,,97.0,94.0,,,94.0,89.0,86.0,90.0,89.0,,Western Europe
2012,,97.0,94.0,,,94.0,90.0,87.0,93.0,90.0,,Western Europe
2011,,94.0,91.0,,,91.0,87.0,86.0,90.0,87.0,,Western Europe
2010,,93.0,90.0,,,90.0,85.0,85.0,88.0,85.0,,Western Europe
2009,,90.0,89.0,,,89.0,84.0,85.0,86.0,84.0,,Western Europe
2008,,89.0,88.0,,,88.0,87.0,87.0,,87.0,,Western Europe
2007,,87.0,87.0,,,87.0,89.0,88.0,,89.0,,Western Europe
2006,,93.0,93.0,,,93.0,90.0,91.0,,90.0,,Western Europe
2005,,93.0,93.0,,,93.0,95.0,91.0,,95.0,,Western Europe
2004,,95.0,95.0,,,95.0,96.0,88.0,,96.0,,Western Europe
2003,,98.0,96.0,,,96.0,96.0,88.0,,96.0,,Western Europe
2002,,99.0,98.0,,,96.0,95.0,92.0,,95.0,,Western Europe
2001,,97.0,97.0,,,95.0,94.0,87.0,,94.0,,Western Europe
2000,,98.0,97.0,,,95.0,99.0,,,99.0,,Western Europe
1999,,99.0,99.0,,,95.0,92.0,,,92.0,,Western Europe
1998,,99.0,99.0,,,97.0,91.0,,,91.0,,Western Europe
1997,,97.0,92.0,,,99.0,84.0,,,84.0,,Western Europe
1996,,94.0,77.0,,,93.0,85.0,,,85.0,,Western Europe
1995,,97.0,90.0,,,78.0,88.0,,,88.0,,Western Europe
1994,,96.0,89.0,,,88.0,88.0,,,88.0,,Western Europe
1993,,97.0,88.0,,,82.0,81.0,,,81.0,,Western Europe
1992,,98.0,91.0,,,,85.0,,,85.0,,Western Europe
1991,,98.0,90.0,,,,86.0,,,86.0,,Western Europe
1990,,98.0,90.0,,,,84.0,,,84.0,,Western Europe
1989,,98.0,89.0,,,,80.0,,,80.0,,Western Europe
1988,,97.0,87.0,,,,72.0,,,72.0,,Western Europe
1987,,97.0,88.0,,,,82.0,,,82.0,,Western Europe
1986,,97.0,89.0,,,,,,,,,Western Europe
1985,,99.0,90.0,,,,,,,,,Western Europe
1984,,95.0,86.0,,,,,,,,,Western Europe
1983,,96.0,86.0,,,,,,,,,Western Europe
1982,,97.0,87.0,,,,,,,,,Western Europe
1981,,97.0,88.0,,,,,,,,,Western Europe
1980,,97.0,88.0,,,,,,,,,Western Europe
