Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,92.0,93.0,92.0,93.0,,92.0,87.0,88.0,,87.0,85.0,Western Europe
2017,94.0,94.0,93.0,92.0,,93.0,93.0,91.0,,93.0,87.0,Western Europe
2016,95.0,94.0,93.0,93.0,,93.0,93.0,92.0,,93.0,85.0,Western Europe
2015,95.0,94.0,93.0,91.0,,93.0,93.0,92.0,,93.0,64.0,Western Europe
2014,95.0,95.0,93.0,93.0,,93.0,93.0,93.0,,93.0,32.0,Western Europe
2013,96.0,96.0,94.0,93.0,,94.0,94.0,92.0,,94.0,,Western Europe
2012,97.0,96.0,94.0,94.0,,94.0,94.0,94.0,,94.0,,Western Europe
2011,99.0,96.0,93.0,94.0,,93.0,94.0,95.0,,94.0,,Western Europe
2010,97.0,96.0,94.0,94.0,,94.0,95.0,95.0,,95.0,,Western Europe
2009,97.0,97.0,95.0,95.0,,95.0,95.0,96.0,,95.0,,Western Europe
2008,98.0,97.0,95.0,94.0,,95.0,95.0,97.0,,95.0,,Western Europe
2007,98.0,98.0,95.0,95.0,,95.0,96.0,96.0,,96.0,,Western Europe
2006,99.0,98.0,95.0,95.0,,88.0,96.0,98.0,,96.0,,Western Europe
2005,99.0,99.0,96.0,95.0,,37.0,96.0,98.0,,96.0,,Western Europe
2004,99.0,98.0,94.0,90.0,,27.0,96.0,97.0,,96.0,,Western Europe
2003,99.0,99.0,94.0,,,,95.0,96.0,,95.0,,Western Europe
2002,99.0,99.0,94.0,,,,95.0,94.0,,95.0,,Western Europe
2001,99.0,99.0,94.0,,,,95.0,84.0,,95.0,,Western Europe
2000,99.0,96.0,93.0,,,,93.0,89.0,,93.0,,Western Europe
1999,99.0,98.0,91.0,,,,92.0,,,92.0,,Western Europe
1998,99.0,97.0,88.0,,,,89.0,,,89.0,,Western Europe
1997,99.0,96.0,87.0,,,,88.0,,,88.0,,Western Europe
1996,99.0,96.0,87.0,,,,86.0,,,86.0,,Western Europe
1995,99.0,94.0,82.0,,,,81.0,,,81.0,,Western Europe
1994,98.0,92.0,77.0,,,,76.0,,,76.0,,Western Europe
1993,98.0,90.0,71.0,,,,74.0,,,74.0,,Western Europe
1992,,,,,,,,,,,,Western Europe
1991,,,,,,,,,,,,Western Europe
1990,,,,,,,,,,,,Western Europe
1989,,,,,,,,,,,,Western Europe
1988,,,,,,,,,,,,Western Europe
1987,,,,,,,,,,,,Western Europe
1986,,,,,,,,,,,,Western Europe
1985,,,,,,,,,,,,Western Europe
1984,,,,,,,,,,,,Western Europe
1983,,,,,,,,,,,,Western Europe
1982,,,,,,,,,,,,Western Europe
1981,,,,,,,,,,,,Western Europe
1980,,,,,,,,,,,,Western Europe
