Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,,99.0,91.0,,,91.0,96.0,93.0,88.0,96.0,82.0,Western Europe
2017,,98.0,89.0,,,89.0,94.0,92.0,85.0,94.0,80.0,Western Europe
2016,,99.0,92.0,,,92.0,94.0,85.0,87.0,94.0,84.0,Western Europe
2015,,99.0,97.0,,,97.0,95.0,,92.0,95.0,91.0,Western Europe
2014,,99.0,98.0,,,98.0,96.0,,92.0,96.0,92.0,Western Europe
2013,,99.0,98.0,,,98.0,97.0,,92.0,97.0,93.0,Western Europe
2012,,99.0,99.0,,,99.0,97.0,,92.0,97.0,93.0,Western Europe
2011,,99.0,99.0,,,99.0,97.0,,92.0,97.0,93.0,Western Europe
2010,,99.0,99.0,,,99.0,98.0,,92.0,98.0,93.0,Western Europe
2009,,99.0,99.0,,,98.0,98.0,,,98.0,,Western Europe
2008,,99.0,99.0,,,98.0,97.0,,,97.0,,Western Europe
2007,,99.0,99.0,,,97.0,98.0,,,98.0,,Western Europe
2006,98.0,99.0,97.0,,,98.0,97.0,,,97.0,,Western Europe
2005,98.0,99.0,97.0,,,98.0,97.0,,,97.0,,Western Europe
2004,98.0,98.0,98.0,,,96.0,97.0,,,97.0,,Western Europe
2003,98.0,98.0,98.0,,,96.0,97.0,,,97.0,,Western Europe
2002,99.0,99.0,98.0,,,96.0,96.0,,,96.0,,Western Europe
2001,99.0,99.0,98.0,,,96.0,96.0,,,96.0,,Western Europe
2000,99.0,99.0,99.0,,,96.0,96.0,,,96.0,,Western Europe
1999,99.0,99.0,99.0,,,96.0,96.0,,,96.0,,Western Europe
1998,99.0,99.0,99.0,,,96.0,96.0,,,96.0,,Western Europe
1997,99.0,99.0,99.0,,,96.0,96.0,,,96.0,,Western Europe
1996,99.0,99.0,99.0,,,96.0,98.0,,,98.0,,Western Europe
1995,99.0,99.0,99.0,,,94.0,98.0,,,98.0,,Western Europe
1994,99.0,99.0,99.0,,,93.0,99.0,,,99.0,,Western Europe
1993,99.0,99.0,99.0,,,97.0,99.0,,,99.0,,Western Europe
1992,99.0,99.0,99.0,,,97.0,99.0,,,99.0,,Western Europe
1991,99.0,98.0,95.0,,,,97.0,,,97.0,,Western Europe
1990,91.0,96.0,90.0,,,,97.0,,,97.0,,Western Europe
1989,91.0,96.0,90.0,,,,95.0,,,95.0,,Western Europe
1988,99.0,99.0,99.0,,,,98.0,,,98.0,,Western Europe
1987,90.0,98.0,98.0,,,,92.0,,,92.0,,Western Europe
1986,80.0,98.0,97.0,,,,87.0,,,87.0,,Western Europe
1985,83.0,98.0,96.0,,,,85.0,,,85.0,,Western Europe
1984,86.0,98.0,95.0,,,,83.0,,,83.0,,Western Europe
1983,90.0,97.0,94.0,,,,81.0,,,81.0,,Western Europe
1982,90.0,97.0,94.0,,,,75.0,,,75.0,,Western Europe
1981,90.0,97.0,92.0,,,,70.0,,,70.0,,Western Europe
1980,90.0,97.0,92.0,,,,,,,,,Western Europe
