Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,,99.0,96.0,90.0,,95.0,90.0,80.0,92.0,90.0,,Western Europe
2017,,99.0,96.0,90.0,,95.0,90.0,80.0,92.0,90.0,,Western Europe
2016,,99.0,96.0,90.0,,95.0,90.0,80.0,92.0,90.0,,Western Europe
2015,,99.0,97.0,88.0,,96.0,91.0,79.0,91.0,91.0,,Western Europe
2014,,99.0,98.0,83.0,,97.0,91.0,77.0,89.0,91.0,,Western Europe
2013,,99.0,99.0,82.0,,98.0,90.0,75.0,89.0,90.0,,Western Europe
2012,,99.0,99.0,78.0,,98.0,91.0,72.0,89.0,91.0,,Western Europe
2011,,99.0,99.0,74.0,,98.0,89.0,67.0,89.0,89.0,,Western Europe
2010,,99.0,99.0,64.0,,97.0,89.0,61.0,89.0,89.0,,Western Europe
2009,,99.0,98.0,51.0,,97.0,89.0,,,89.0,,Western Europe
2008,,99.0,99.0,47.0,,97.0,89.0,,,89.0,,Western Europe
2007,78.0,99.0,99.0,42.0,,97.0,90.0,,,90.0,,Western Europe
2006,83.0,99.0,99.0,39.0,,97.0,89.0,,,89.0,,Western Europe
2005,81.0,99.0,98.0,35.0,,97.0,87.0,,,87.0,,Western Europe
2004,85.0,99.0,98.0,35.0,,97.0,88.0,,,88.0,,Western Europe
2003,84.0,99.0,97.0,28.0,,87.0,87.0,,,87.0,,Western Europe
2002,85.0,99.0,97.0,29.0,,87.0,86.0,,,86.0,,Western Europe
2001,84.0,99.0,97.0,28.0,,86.0,85.0,,,85.0,,Western Europe
2000,83.0,99.0,97.0,26.0,,86.0,84.0,,,84.0,,Western Europe
1999,83.0,99.0,97.0,24.0,,85.0,83.0,,,83.0,,Western Europe
1998,81.0,99.0,96.0,27.0,,79.0,82.0,,,82.0,,Western Europe
1997,82.0,99.0,97.0,,,,83.0,,,83.0,,Western Europe
1996,82.0,98.0,97.0,,,,84.0,,,84.0,,Western Europe
1995,83.0,98.0,96.0,,,,83.0,,,83.0,,Western Europe
1994,81.0,98.0,96.0,,,,80.0,,,80.0,,Western Europe
1993,79.0,97.0,94.0,,,,78.0,,,78.0,,Western Europe
1992,77.0,97.0,94.0,,,,76.0,,,76.0,,Western Europe
1991,78.0,97.0,94.0,,,,74.0,,,74.0,,Western Europe
1990,74.0,97.0,94.0,,,,71.0,,,71.0,,Western Europe
1989,75.0,98.0,95.0,,,,58.0,,,58.0,,Western Europe
1988,75.0,92.0,79.0,,,,51.0,,,51.0,,Western Europe
1987,76.0,96.0,88.0,,,,45.0,,,45.0,,Western Europe
1986,84.0,98.0,96.0,,,,39.0,,,39.0,,Western Europe
1985,82.0,98.0,95.0,,,,35.0,,,35.0,,Western Europe
1984,96.0,97.0,94.0,,,,26.0,,,26.0,,Western Europe
1983,81.0,96.0,90.0,,,,15.0,,,15.0,,Western Europe
1982,81.0,95.0,85.0,,,,,,,,,Western Europe
1981,80.0,92.0,79.0,,,,,,,,,Western Europe
1980,80.0,92.0,79.0,,,,,,,,,Western Europe
