Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,,99.0,99.0,96.0,,99.0,97.0,83.0,96.0,97.0,20.0,Western Europe
2017,,99.0,99.0,96.0,,99.0,97.0,83.0,96.0,97.0,20.0,Western Europe
2016,,99.0,99.0,96.0,,99.0,97.0,83.0,96.0,97.0,20.0,Western Europe
2015,,99.0,99.0,96.0,,99.0,97.0,83.0,96.0,97.0,20.0,Western Europe
2014,,99.0,99.0,96.0,,99.0,97.0,83.0,96.0,97.0,20.0,Western Europe
2013,,99.0,99.0,98.0,,94.0,99.0,83.0,32.0,99.0,,Western Europe
2012,,99.0,99.0,98.0,,94.0,99.0,83.0,32.0,99.0,,Western Europe
2011,,99.0,99.0,95.0,,83.0,99.0,77.0,,99.0,,Western Europe
2010,,99.0,99.0,95.0,,83.0,99.0,77.0,,99.0,,Western Europe
2009,,99.0,99.0,95.0,,83.0,99.0,77.0,,99.0,,Western Europe
2008,,99.0,99.0,95.0,,83.0,99.0,77.0,,99.0,,Western Europe
2007,,99.0,99.0,95.0,,83.0,99.0,77.0,,99.0,,Western Europe
2006,,99.0,98.0,94.0,,84.0,98.0,,,98.0,,Western Europe
2005,,96.0,96.0,93.0,,84.0,96.0,,,96.0,,Western Europe
2004,,96.0,95.0,92.0,,85.0,95.0,,,95.0,,Western Europe
2003,,96.0,94.0,92.0,,86.0,94.0,,,94.0,,Western Europe
2002,,96.0,92.0,91.0,,86.0,92.0,,,92.0,,Western Europe
2001,,96.0,91.0,90.0,,87.0,91.0,,,91.0,,Western Europe
2000,,96.0,89.0,89.0,,87.0,89.0,,,89.0,,Western Europe
1999,,96.0,88.0,88.0,,88.0,88.0,,,88.0,,Western Europe
1998,,96.0,89.0,69.0,,71.0,89.0,,,89.0,,Western Europe
1997,,96.0,90.0,50.0,,54.0,90.0,,,90.0,,Western Europe
1996,,96.0,90.0,12.0,,36.0,90.0,,,90.0,,Western Europe
1995,,96.0,90.0,12.0,,19.0,70.0,,,70.0,,Western Europe
1994,50.0,96.0,90.0,2.0,,2.0,70.0,,,,,Western Europe
1993,65.0,96.0,89.0,2.0,,,72.0,,,,,Western Europe
1992,76.0,96.0,89.0,15.0,,,72.0,,,,,Western Europe
1991,90.0,95.0,85.0,10.0,,,72.0,,,,,Western Europe
1990,86.0,77.0,54.0,,,,76.0,,,,,Western Europe
1989,82.0,77.0,54.0,,,,76.0,,,,,Western Europe
1988,77.0,94.0,83.0,,,,82.0,,,,,Western Europe
1987,73.0,94.0,82.0,,,,81.0,,,,,Western Europe
1986,69.0,93.0,80.0,,,,39.0,,,,,Western Europe
1985,65.0,77.0,54.0,,,,77.0,,,,,Western Europe
1984,60.0,82.0,60.0,,,,75.0,,,,,Western Europe
1983,56.0,89.0,72.0,,,,,,,,,Western Europe
1982,76.0,94.0,83.0,,,,,,,,,Western Europe
1981,95.0,98.0,95.0,,,,,,,,,Western Europe
1980,95.0,89.0,72.0,,,,,,,,,Western Europe
