Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,99.0,,,99.0,99.0,99.0,99.0,99.0,,Western Europe
2017,99.0,99.0,99.0,,,99.0,99.0,99.0,99.0,99.0,,Western Europe
2016,99.0,99.0,99.0,,,99.0,99.0,99.0,98.0,99.0,,Western Europe
2015,99.0,99.0,99.0,,,99.0,99.0,99.0,91.0,99.0,,Western Europe
2014,99.0,99.0,99.0,,,99.0,99.0,99.0,93.0,99.0,,Western Europe
2013,99.0,99.0,99.0,,,99.0,99.0,99.0,92.0,99.0,,Western Europe
2012,99.0,99.0,99.0,,,99.0,99.0,99.0,90.0,99.0,,Western Europe
2011,99.0,99.0,99.0,,,99.0,99.0,99.0,84.0,99.0,,Western Europe
2010,99.0,99.0,99.0,,,99.0,99.0,99.0,,99.0,,Western Europe
2009,99.0,99.0,99.0,,,99.0,99.0,99.0,,99.0,,Western Europe
2008,99.0,99.0,99.0,,,99.0,99.0,99.0,,99.0,,Western Europe
2007,99.0,99.0,99.0,,,99.0,99.0,99.0,,99.0,,Western Europe
2006,99.0,99.0,99.0,,,99.0,99.0,99.0,,99.0,,Western Europe
2005,99.0,99.0,99.0,,,99.0,99.0,99.0,,99.0,,Western Europe
2004,99.0,99.0,99.0,,,99.0,99.0,99.0,,99.0,,Western Europe
2003,99.0,99.0,99.0,,,99.0,99.0,99.0,,99.0,,Western Europe
2002,99.0,99.0,99.0,,,99.0,99.0,99.0,,99.0,,Western Europe
2001,99.0,99.0,99.0,,,99.0,99.0,99.0,,99.0,,Western Europe
2000,99.0,99.0,99.0,,,99.0,99.0,99.0,,99.0,,Western Europe
1999,99.0,99.0,99.0,,,99.0,99.0,,,99.0,,Western Europe
1998,99.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1997,99.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1996,99.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1995,99.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1994,99.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1993,99.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1992,99.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1991,99.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1990,99.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1989,99.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1988,99.0,99.0,99.0,,,,99.0,,,,,Western Europe
1987,99.0,99.0,99.0,,,,99.0,,,,,Western Europe
1986,99.0,99.0,99.0,,,,99.0,,,,,Western Europe
1985,99.0,99.0,99.0,,,,99.0,,,,,Western Europe
1984,99.0,99.0,99.0,,,,99.0,,,,,Western Europe
1983,99.0,99.0,99.0,,,,99.0,,,,,Western Europe
1982,99.0,99.0,99.0,,,,99.0,,,,,Western Europe
1981,99.0,99.0,99.0,,,,99.0,,,,,Western Europe
1980,99.0,99.0,99.0,,,,99.0,,,,,Western Europe
