Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,97.0,91.0,,,91.0,93.0,95.0,90.0,93.0,,Western Europe
2017,97.0,89.0,,,89.0,92.0,95.0,88.0,92.0,,Western Europe
2016,96.0,91.0,,,91.0,91.0,95.0,90.0,91.0,,Western Europe
2015,96.0,92.0,,,92.0,93.0,94.0,91.0,93.0,,Western Europe
2014,96.0,90.0,,,90.0,90.0,93.0,90.0,90.0,,Western Europe
2013,97.0,91.0,,,91.0,91.0,94.0,88.0,91.0,,Western Europe
2012,97.0,89.0,,,89.0,90.0,97.0,86.0,90.0,,Western Europe
2011,99.0,95.0,,,95.0,94.0,90.0,,94.0,,Western Europe
2010,98.0,96.0,,,96.0,93.0,92.0,,93.0,,Western Europe
2009,99.0,96.0,,,96.0,92.0,93.0,,92.0,,Western Europe
2008,99.0,98.0,,,98.0,96.0,94.0,,96.0,,Western Europe
2007,97.0,97.0,,,97.0,95.0,95.0,,95.0,,Western Europe
2006,97.0,97.0,,,97.0,95.0,93.0,,95.0,,Western Europe
2005,95.0,95.0,,,95.0,90.0,90.0,,90.0,,Western Europe
2004,99.0,99.0,,,99.0,93.0,89.0,,93.0,,Western Europe
2003,97.0,97.0,,,97.0,93.0,92.0,,93.0,,Western Europe
2002,96.0,95.0,,,95.0,91.0,,,91.0,,Western Europe
2001,95.0,92.0,,,92.0,88.0,,,88.0,,Western Europe
2000,99.0,98.0,,,98.0,91.0,,,91.0,,Western Europe
1999,99.0,98.0,,,98.0,94.0,,,94.0,,Western Europe
1998,99.0,99.0,,,99.0,96.0,,,96.0,,Western Europe
1997,99.0,99.0,,,99.0,99.0,,,99.0,,Western Europe
1996,99.0,99.0,,,99.0,99.0,,,99.0,,Western Europe
1995,99.0,99.0,,,99.0,99.0,,,99.0,,Western Europe
1994,99.0,99.0,,,99.0,98.0,,,98.0,,Western Europe
1993,99.0,99.0,,,99.0,99.0,,,99.0,,Western Europe
1992,99.0,99.0,,,99.0,99.0,,,99.0,,Western Europe
1991,99.0,99.0,,,99.0,99.0,,,99.0,,Western Europe
1990,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1989,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1988,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1987,99.0,99.0,,,,97.0,,,97.0,,Western Europe
1986,99.0,99.0,,,,95.0,,,95.0,,Western Europe
1985,99.0,99.0,,,,96.0,,,96.0,,Western Europe
1984,99.0,99.0,,,,96.0,,,96.0,,Western Europe
1983,97.0,94.0,,,,81.0,,,81.0,,Western Europe
1982,98.0,98.0,,,,,,,,,Western Europe
1981,99.0,99.0,,,,,,,,,Western Europe
1980,99.0,99.0,,,,,,,,,Western Europe
