Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,,98.0,94.0,94.0,,94.0,92.0,,90.0,92.0,89.0,Western Europe
2017,,98.0,95.0,95.0,,95.0,92.0,,91.0,92.0,89.0,Western Europe
2016,18.0,98.0,95.0,95.0,,95.0,92.0,,91.0,92.0,,Western Europe
2015,77.0,98.0,95.0,95.0,,95.0,93.0,,92.0,93.0,,Western Europe
2014,74.0,98.0,96.0,95.0,,96.0,93.0,,92.0,93.0,,Western Europe
2013,76.0,98.0,96.0,95.0,,95.0,93.0,,91.0,93.0,,Western Europe
2012,42.0,98.0,95.0,95.0,,95.0,92.0,,91.0,92.0,,Western Europe
2011,41.0,98.0,95.0,95.0,,95.0,92.0,,90.0,92.0,,Western Europe
2010,30.0,98.0,94.0,46.0,,94.0,90.0,,43.0,90.0,,Western Europe
2009,30.0,98.0,94.0,,,93.0,90.0,,,90.0,,Western Europe
2008,34.0,97.0,93.0,,,93.0,89.0,,,89.0,,Western Europe
2007,33.0,97.0,92.0,,,92.0,87.0,,,87.0,,Western Europe
2006,31.0,97.0,91.0,,,91.0,86.0,,,86.0,,Western Europe
2005,31.0,96.0,90.0,,,90.0,84.0,,,84.0,,Western Europe
2004,30.0,96.0,89.0,,,89.0,81.0,,,81.0,,Western Europe
2003,90.0,95.0,86.0,,,86.0,78.0,,,78.0,,Western Europe
2002,90.0,94.0,83.0,,,83.0,73.0,,,73.0,,Western Europe
2001,89.0,94.0,84.0,,,84.0,73.0,,,73.0,,Western Europe
2000,89.0,95.0,86.0,,,85.0,79.0,,,79.0,,Western Europe
1999,89.0,95.0,86.0,,,86.0,77.0,,,77.0,,Western Europe
1998,89.0,94.0,84.0,,,84.0,77.0,,,77.0,,Western Europe
1997,89.0,90.0,76.0,,,76.0,77.0,,,77.0,,Western Europe
1996,88.0,90.0,74.0,,,,77.0,,,77.0,,Western Europe
1995,87.0,90.0,73.0,,,,77.0,,,77.0,,Western Europe
1994,86.0,88.0,71.0,,,,78.0,,,78.0,,Western Europe
1993,86.0,88.0,70.0,,,,78.0,,,78.0,,Western Europe
1992,85.0,87.0,68.0,,,,78.0,,,78.0,,Western Europe
1991,84.0,86.0,67.0,,,,78.0,,,78.0,,Western Europe
1990,84.0,85.0,65.0,,,,78.0,,,78.0,,Western Europe
1989,83.0,85.0,65.0,,,,78.0,,,78.0,,Western Europe
1988,82.0,68.0,43.0,,,,68.0,,,68.0,,Western Europe
1987,81.0,69.0,44.0,,,,66.0,,,66.0,,Western Europe
1986,81.0,69.0,44.0,,,,65.0,,,65.0,,Western Europe
1985,80.0,70.0,45.0,,,,63.0,,,63.0,,Western Europe
1984,75.0,70.0,45.0,,,,10.0,,,10.0,,Western Europe
1983,75.0,67.0,42.0,,,,10.0,,,10.0,,Western Europe
1982,,68.0,43.0,,,,,,,,,Western Europe
1981,,61.0,36.0,,,,,,,,,Western Europe
1980,,59.0,34.0,,,,,,,,,Western Europe
