Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,,98.0,95.0,95.0,,94.0,93.0,89.0,92.0,93.0,19.0,Western Europe
2017,,98.0,95.0,94.0,,94.0,92.0,86.0,91.0,92.0,14.0,Western Europe
2016,,98.0,94.0,93.0,,93.0,87.0,82.0,88.0,87.0,,Western Europe
2015,,97.0,93.0,93.0,,93.0,85.0,83.0,89.0,85.0,,Western Europe
2014,,98.0,95.0,95.0,,94.0,87.0,83.0,87.0,87.0,,Western Europe
2013,,98.0,96.0,96.0,,95.0,90.0,84.0,87.0,90.0,,Western Europe
2012,,99.0,97.0,96.0,,96.0,90.0,,82.0,90.0,,Western Europe
2011,,98.0,96.0,96.0,,96.0,90.0,,76.0,90.0,,Western Europe
2010,,98.0,96.0,96.0,,95.0,91.0,,71.0,91.0,,Western Europe
2009,,98.0,96.0,96.0,,96.0,90.0,,66.0,90.0,,Western Europe
2008,,98.0,96.0,96.0,,96.0,90.0,,60.0,90.0,,Western Europe
2007,,99.0,97.0,97.0,,96.0,90.0,,,90.0,,Western Europe
2006,,98.0,96.0,96.0,,96.0,88.0,,,88.0,,Western Europe
2005,,98.0,95.0,96.0,,95.0,87.0,,,87.0,,Western Europe
2004,,98.0,94.0,96.0,,94.0,86.0,,,86.0,,Western Europe
2003,,98.0,96.0,95.0,,90.0,84.0,,,84.0,,Western Europe
2002,,97.0,93.0,95.0,,83.0,81.0,,,81.0,,Western Europe
2001,,97.0,93.0,95.0,,70.0,77.0,,,77.0,,Western Europe
2000,,95.0,87.0,94.0,,55.0,74.0,,,74.0,,Western Europe
1999,,98.0,95.0,97.0,,,70.0,,,70.0,,Western Europe
1998,,98.0,95.0,95.0,,,55.0,,,55.0,,Western Europe
1997,,98.0,95.0,95.0,,,57.0,,,57.0,,Western Europe
1996,,98.0,96.0,95.0,,,55.0,,,55.0,,Western Europe
1995,,98.0,95.0,95.0,,,50.0,,,50.0,,Western Europe
1994,,98.0,95.0,95.0,,,50.0,,,50.0,,Western Europe
1993,,98.0,95.0,95.0,,,50.0,,,50.0,,Western Europe
1992,,98.0,95.0,95.0,,,50.0,,,50.0,,Western Europe
1991,,98.0,95.0,95.0,,,50.0,,,50.0,,Western Europe
1990,,94.0,83.0,,,,43.0,,,43.0,,Western Europe
1989,,,,,,,,,,,,Western Europe
1988,,,,,,,,,,,,Western Europe
1987,,,,,,,,,,,,Western Europe
1986,,,,,,,,,,,,Western Europe
1985,,,,,,,,,,,,Western Europe
1984,,,,,,,,,,,,Western Europe
1983,,,,,,,,,,,,Western Europe
1982,,,,,,,,,,,,Western Europe
1981,,,,,,,,,,,,Western Europe
1980,,,,,,,,,,,,Western Europe
