Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,95.0,97.0,96.0,96.0,,96.0,98.0,94.0,82.0,98.0,79.0,Western Europe
2017,96.0,98.0,98.0,98.0,,98.0,96.0,89.0,85.0,96.0,78.0,Western Europe
2016,96.0,99.0,98.0,98.0,,98.0,93.0,89.0,82.0,93.0,73.0,Western Europe
2015,93.0,97.0,94.0,94.0,,94.0,96.0,92.0,82.0,96.0,68.0,Western Europe
2014,92.0,93.0,92.0,92.0,,92.0,95.0,89.0,81.0,95.0,,Western Europe
2013,94.0,96.0,94.0,94.0,,94.0,96.0,92.0,83.0,96.0,,Western Europe
2012,94.0,92.0,91.0,90.0,,90.0,90.0,92.0,55.0,90.0,,Western Europe
2011,93.0,95.0,92.0,89.0,,91.0,92.0,92.0,76.0,92.0,,Western Europe
2010,92.0,99.0,92.0,91.0,,90.0,95.0,93.0,,95.0,,Western Europe
2009,96.0,98.0,94.0,92.0,97.0,94.0,92.0,92.0,,92.0,,Western Europe
2008,95.0,94.0,94.0,93.0,98.0,94.0,96.0,94.0,,96.0,,Western Europe
2007,95.0,98.0,94.0,91.0,97.0,94.0,95.0,98.0,,95.0,,Western Europe
2006,95.0,98.0,96.0,94.0,97.0,96.0,98.0,99.0,,98.0,,Western Europe
2005,97.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0,,98.0,,Western Europe
2004,98.0,99.0,99.0,98.0,99.0,98.0,98.0,98.0,,98.0,,Western Europe
2003,97.0,98.0,98.0,98.0,98.0,96.0,98.0,97.0,,98.0,,Western Europe
2002,99.0,99.0,97.0,98.0,99.0,87.0,98.0,96.0,,98.0,,Western Europe
2001,99.0,99.0,97.0,96.0,99.0,84.0,98.0,95.0,,98.0,,Western Europe
2000,99.0,99.0,96.0,95.0,98.0,79.0,97.0,90.0,,97.0,,Western Europe
1999,99.0,98.0,95.0,94.0,,76.0,97.0,,,97.0,,Western Europe
1998,99.0,99.0,94.0,9.0,,47.0,97.0,,,97.0,,Western Europe
1997,99.0,99.0,92.0,,,67.0,97.0,,,97.0,,Western Europe
1996,99.0,99.0,93.0,,,35.0,96.0,,,96.0,,Western Europe
1995,99.0,99.0,98.0,,,58.0,81.0,,,81.0,,Western Europe
1994,99.0,99.0,97.0,,,10.0,81.0,,,81.0,,Western Europe
1993,91.0,97.0,80.0,,,,80.0,,,80.0,,Western Europe
1992,93.0,95.0,87.0,,,,95.0,,,,,Western Europe
1991,,,,,,,,,,,,Western Europe
1990,,,,,,,,,,,,Western Europe
1989,,,,,,,,,,,,Western Europe
1988,,,,,,,,,,,,Western Europe
1987,,,,,,,,,,,,Western Europe
1986,,,,,,,,,,,,Western Europe
1985,,,,,,,,,,,,Western Europe
1984,,,,,,,,,,,,Western Europe
1983,,,,,,,,,,,,Western Europe
1982,,,,,,,,,,,,Western Europe
1981,,,,,,,,,,,,Western Europe
1980,,,,,,,,,,,,Western Europe
