Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,96.0,95.0,92.0,93.0,97.0,92.0,92.0,92.0,82.0,92.0,1.0,Western Europe
2017,97.0,97.0,94.0,94.0,97.0,94.0,94.0,92.0,82.0,94.0,,Western Europe
2016,98.0,97.0,94.0,95.0,97.0,94.0,94.0,92.0,82.0,94.0,,Western Europe
2015,97.0,97.0,93.0,94.0,97.0,93.0,94.0,92.0,,94.0,,Western Europe
2014,98.0,97.0,93.0,94.0,97.0,93.0,93.0,92.0,,93.0,,Western Europe
2013,98.0,97.0,93.0,93.0,98.0,93.0,93.0,92.0,,93.0,,Western Europe
2012,98.0,97.0,93.0,93.0,96.0,93.0,93.0,93.0,,93.0,,Western Europe
2011,98.0,95.0,92.0,95.0,96.0,92.0,94.0,94.0,,94.0,,Western Europe
2010,99.0,98.0,95.0,94.0,98.0,95.0,96.0,95.0,,96.0,,Western Europe
2009,99.0,98.0,98.0,95.0,98.0,98.0,96.0,94.0,,96.0,,Western Europe
2008,99.0,96.0,96.0,96.0,92.0,96.0,97.0,96.0,,97.0,,Western Europe
2007,99.0,99.0,95.0,96.0,99.0,95.0,97.0,96.0,,97.0,,Western Europe
2006,99.0,98.0,94.0,95.0,99.0,94.0,97.0,94.0,,97.0,,Western Europe
2005,99.0,98.0,94.0,95.0,99.0,61.0,97.0,95.0,,97.0,,Western Europe
2004,99.0,94.0,94.0,94.0,99.0,35.0,98.0,93.0,,98.0,,Western Europe
2003,99.0,98.0,94.0,95.0,99.0,10.0,98.0,93.0,,98.0,,Western Europe
2002,99.0,98.0,95.0,94.0,99.0,5.0,98.0,95.0,,98.0,,Western Europe
2001,99.0,98.0,95.0,95.0,99.0,4.0,97.0,96.0,,97.0,,Western Europe
2000,99.0,99.0,94.0,98.0,99.0,2.0,97.0,97.0,,97.0,,Western Europe
1999,99.0,98.0,93.0,96.0,,2.0,97.0,,,97.0,,Western Europe
1998,99.0,97.0,93.0,73.0,,,97.0,,,97.0,,Western Europe
1997,98.0,96.0,90.0,,,,96.0,,,96.0,,Western Europe
1996,98.0,97.0,91.0,,,,96.0,,,96.0,,Western Europe
1995,97.0,96.0,90.0,,,,94.0,,,94.0,,Western Europe
1994,96.0,94.0,83.0,,,,93.0,,,93.0,,Western Europe
1993,98.0,94.0,83.0,,,,92.0,,,92.0,,Western Europe
1992,94.0,92.0,78.0,,,,89.0,,,89.0,,Western Europe
1991,,,,,,,,,,,,Western Europe
1990,,,,,,,,,,,,Western Europe
1989,,,,,,,,,,,,Western Europe
1988,,,,,,,,,,,,Western Europe
1987,,,,,,,,,,,,Western Europe
1986,,,,,,,,,,,,Western Europe
1985,,,,,,,,,,,,Western Europe
1984,,,,,,,,,,,,Western Europe
1983,,,,,,,,,,,,Western Europe
1982,,,,,,,,,,,,Western Europe
1981,,,,,,,,,,,,Western Europe
1980,,,,,,,,,,,,Western Europe
