Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,96.0,,99.0,99.0,90.0,96.0,99.0,89.0,Western Europe
2017,99.0,99.0,94.0,,99.0,99.0,86.0,95.0,99.0,89.0,Western Europe
2016,99.0,99.0,94.0,,99.0,99.0,86.0,95.0,99.0,89.0,Western Europe
2015,99.0,99.0,94.0,,99.0,99.0,86.0,95.0,99.0,89.0,Western Europe
2014,99.0,99.0,94.0,,99.0,99.0,86.0,95.0,99.0,89.0,Western Europe
2013,99.0,99.0,94.0,,99.0,99.0,86.0,95.0,99.0,89.0,Western Europe
2012,99.0,99.0,94.0,,99.0,99.0,86.0,95.0,99.0,89.0,Western Europe
2011,99.0,99.0,95.0,,99.0,96.0,,86.0,96.0,88.0,Western Europe
2010,99.0,99.0,94.0,,99.0,96.0,,86.0,96.0,87.0,Western Europe
2009,99.0,99.0,95.0,,99.0,96.0,,86.0,96.0,86.0,Western Europe
2008,99.0,99.0,94.0,,99.0,96.0,,86.0,96.0,,Western Europe
2007,99.0,99.0,87.0,,99.0,96.0,,,96.0,,Western Europe
2006,99.0,99.0,95.0,,98.0,95.0,,,95.0,,Western Europe
2005,99.0,99.0,95.0,,98.0,95.0,,,95.0,,Western Europe
2004,99.0,99.0,94.0,,98.0,95.0,,,95.0,,Western Europe
2003,99.0,98.0,95.0,,98.0,95.0,,,95.0,,Western Europe
2002,99.0,99.0,95.0,,98.0,94.0,,,94.0,,Western Europe
2001,99.0,99.0,86.0,,96.0,94.0,,,94.0,,Western Europe
2000,99.0,99.0,77.0,,93.0,93.0,,,93.0,,Western Europe
1999,98.0,98.0,67.0,,91.0,92.0,,,92.0,,Western Europe
1998,98.0,98.0,58.0,,88.0,92.0,,,92.0,,Western Europe
1997,98.0,98.0,49.0,,86.0,91.0,,,91.0,,Western Europe
1996,98.0,98.0,,,,91.0,,,91.0,,Western Europe
1995,98.0,97.0,,,,88.0,,,88.0,,Western Europe
1994,98.0,95.0,,,,86.0,,,,,Western Europe
1993,97.0,94.0,,,,83.0,,,,,Western Europe
1992,97.0,93.0,,,,80.0,,,,,Western Europe
1991,97.0,91.0,,,,80.0,,,,,Western Europe
1990,96.0,90.0,,,,80.0,,,,,Western Europe
1989,96.0,90.0,,,,80.0,,,,,Western Europe
1988,96.0,90.0,,,,71.0,,,,,Western Europe
1987,98.0,95.0,,,,77.0,,,,,Western Europe
1986,95.0,86.0,,,,68.0,,,,,Western Europe
1985,91.0,77.0,,,,58.0,,,,,Western Europe
1984,87.0,68.0,,,,49.0,,,,,Western Europe
1983,91.0,75.0,,,,39.0,,,,,Western Europe
1982,,,,,,,,,,,Western Europe
1981,,,,,,,,,,,Western Europe
1980,,,,,,,,,,,Western Europe
