Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,,99.0,97.0,98.0,,97.0,96.0,95.0,,96.0,,Western Europe
2017,,98.0,98.0,88.0,,98.0,91.0,83.0,,91.0,,Western Europe
2016,,97.0,97.0,97.0,,97.0,93.0,86.0,,93.0,,Western Europe
2015,,98.0,97.0,95.0,,97.0,89.0,91.0,,89.0,,Western Europe
2014,,99.0,99.0,90.0,,99.0,98.0,94.0,,98.0,,Western Europe
2013,,99.0,99.0,94.0,,99.0,99.0,88.0,,99.0,,Western Europe
2012,,99.0,99.0,93.0,,99.0,93.0,91.0,,93.0,,Western Europe
2011,,99.0,96.0,82.0,,96.0,84.0,85.0,,84.0,,Western Europe
2010,,97.0,76.0,75.0,,76.0,73.0,85.0,,73.0,,Western Europe
2009,,91.0,73.0,86.0,,73.0,82.0,85.0,,82.0,,Western Europe
2008,,88.0,72.0,86.0,,72.0,78.0,83.0,,78.0,,Western Europe
2007,,84.0,74.0,82.0,,72.0,79.0,77.0,,79.0,,Western Europe
2006,,85.0,85.0,86.0,,83.0,94.0,86.0,,94.0,,Western Europe
2005,,94.0,92.0,85.0,,83.0,86.0,60.0,,86.0,,Western Europe
2004,,92.0,89.0,85.0,,83.0,94.0,31.0,,94.0,,Western Europe
2003,,96.0,94.0,89.0,,84.0,90.0,2.0,,90.0,,Western Europe
2002,,95.0,95.0,,,84.0,65.0,,,65.0,,Western Europe
2001,,98.0,95.0,,,84.0,70.0,,,70.0,,Western Europe
2000,,97.0,94.0,,,93.0,74.0,,,74.0,,Western Europe
1999,,97.0,93.0,,,91.0,67.0,,,67.0,,Western Europe
1998,,97.0,92.0,,,89.0,60.0,,,60.0,,Western Europe
1997,,97.0,92.0,,,64.0,56.0,,,56.0,,Western Europe
1996,96.0,97.0,92.0,,,38.0,51.0,,,51.0,,Western Europe
1995,92.0,97.0,92.0,,,,51.0,,,51.0,,Western Europe
1994,77.0,96.0,88.0,,,,71.0,,,71.0,,Western Europe
1993,77.0,94.0,83.0,,,,90.0,,,90.0,,Western Europe
1992,79.0,94.0,82.0,,,,92.0,,,92.0,,Western Europe
1991,87.0,95.0,86.0,,,,90.0,,,90.0,,Western Europe
1990,77.0,84.0,63.0,,,,80.0,,,80.0,,Western Europe
1989,79.0,72.0,47.0,,,,86.0,,,86.0,,Western Europe
1988,67.0,95.0,87.0,,,,41.0,,,41.0,,Western Europe
1987,79.0,95.0,87.0,,,,59.0,,,59.0,,Western Europe
1986,72.0,95.0,86.0,,,,35.0,,,35.0,,Western Europe
1985,65.0,62.0,37.0,,,,10.0,,,10.0,,Western Europe
1984,63.0,74.0,50.0,,,,10.0,,,,,Western Europe
1983,63.0,,,,,,,,,,,Western Europe
1982,,,,,,,,,,,,Western Europe
1981,,,,,,,,,,,,Western Europe
1980,,,,,,,,,,,,Western Europe
