Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,89.0,99.0,99.0,99.0,,99.0,87.0,79.0,,87.0,,Western Europe
2017,89.0,99.0,99.0,99.0,,99.0,87.0,79.0,,87.0,,Western Europe
2016,89.0,99.0,99.0,99.0,,99.0,88.0,79.0,,88.0,,Western Europe
2015,89.0,99.0,99.0,99.0,,99.0,88.0,79.0,,88.0,,Western Europe
2014,89.0,99.0,99.0,99.0,,99.0,89.0,79.0,,89.0,,Western Europe
2013,89.0,99.0,99.0,99.0,,99.0,90.0,,,90.0,,Western Europe
2012,89.0,99.0,99.0,99.0,,99.0,90.0,,,90.0,,Western Europe
2011,89.0,99.0,99.0,99.0,,99.0,91.0,,,91.0,,Western Europe
2010,89.0,99.0,99.0,99.0,,99.0,92.0,,,92.0,,Western Europe
2009,89.0,99.0,99.0,99.0,,99.0,92.0,,,92.0,,Western Europe
2008,89.0,99.0,99.0,99.0,,99.0,93.0,,,93.0,,Western Europe
2007,89.0,99.0,99.0,99.0,,99.0,94.0,,,94.0,,Western Europe
2006,89.0,99.0,99.0,99.0,,99.0,94.0,,,94.0,,Western Europe
2005,89.0,99.0,99.0,99.0,,99.0,95.0,,,95.0,,Western Europe
2004,89.0,99.0,99.0,99.0,,99.0,96.0,,,96.0,,Western Europe
2003,89.0,99.0,99.0,99.0,,99.0,96.0,,,96.0,,Western Europe
2002,92.0,99.0,99.0,99.0,,99.0,97.0,,,97.0,,Western Europe
2001,94.0,99.0,99.0,99.0,,99.0,98.0,,,98.0,,Western Europe
2000,97.0,99.0,99.0,99.0,,99.0,98.0,,,98.0,,Western Europe
1999,99.0,99.0,99.0,99.0,,99.0,99.0,,,99.0,,Western Europe
1998,99.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1997,95.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1996,93.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1995,90.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1994,90.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1993,94.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1992,98.0,98.0,98.0,,,,98.0,,,98.0,,Western Europe
1991,99.0,98.0,98.0,,,,98.0,,,98.0,,Western Europe
1990,99.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1989,99.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1988,99.0,99.0,99.0,,,,99.0,,,99.0,,Western Europe
1987,,,,,,,,,,,,Western Europe
1986,,,,,,,,,,,,Western Europe
1985,,,,,,,,,,,,Western Europe
1984,,,,,,,,,,,,Western Europe
1983,,,,,,,,,,,,Western Europe
1982,,,,,,,,,,,,Western Europe
1981,,,,,,,,,,,,Western Europe
1980,,,,,,,,,,,,Western Europe
