Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,96.0,,,96.0,96.0,93.0,94.0,96.0,93.0,Western Europe
2017,99.0,96.0,,,96.0,96.0,91.0,94.0,96.0,,Western Europe
2016,99.0,96.0,,,96.0,96.0,91.0,94.0,96.0,,Western Europe
2015,99.0,95.0,,,95.0,95.0,91.0,93.0,95.0,,Western Europe
2014,99.0,93.0,,,94.0,94.0,92.0,91.0,94.0,,Western Europe
2013,99.0,94.0,,,95.0,93.0,91.0,93.0,93.0,,Western Europe
2012,99.0,95.0,,,95.0,94.0,91.0,93.0,94.0,,Western Europe
2011,99.0,94.0,,,95.0,93.0,94.0,92.0,93.0,,Western Europe
2010,99.0,93.0,,,94.0,93.0,97.0,91.0,93.0,,Western Europe
2009,99.0,94.0,,,95.0,93.0,96.0,91.0,93.0,,Western Europe
2008,99.0,94.0,,,94.0,93.0,95.0,86.0,93.0,,Western Europe
2007,99.0,93.0,,,95.0,92.0,93.0,,92.0,,Western Europe
2006,99.0,94.0,,,95.0,92.0,91.0,,92.0,,Western Europe
2005,99.0,91.0,,,93.0,90.0,91.0,,90.0,,Western Europe
2004,99.0,92.0,,,94.0,89.0,90.0,,89.0,,Western Europe
2003,99.0,92.0,,,94.0,86.0,89.0,,86.0,,Western Europe
2002,99.0,93.0,,,95.0,87.0,90.0,,87.0,,Western Europe
2001,99.0,91.0,,,93.0,90.0,90.0,,90.0,,Western Europe
2000,99.0,90.0,,,93.0,88.0,90.0,,88.0,,Western Europe
1999,99.0,92.0,,,94.0,90.0,,,90.0,,Western Europe
1998,99.0,93.0,,,95.0,91.0,,,91.0,,Western Europe
1997,99.0,95.0,,,96.0,93.0,,,93.0,,Western Europe
1996,98.0,97.0,,,97.0,92.0,,,92.0,,Western Europe
1995,98.0,97.0,,,,92.0,,,92.0,,Western Europe
1994,97.0,93.0,,,,94.0,,,94.0,,Western Europe
1993,97.0,94.0,,,,93.0,,,93.0,,Western Europe
1992,98.0,98.0,,,,96.0,,,96.0,,Western Europe
1991,98.0,96.0,,,,94.0,,,94.0,,Western Europe
1990,95.0,86.0,,,,87.0,,,87.0,,Western Europe
1989,94.0,83.0,,,,84.0,,,84.0,,Western Europe
1988,94.0,83.0,,,,87.0,,,87.0,,Western Europe
1987,93.0,80.0,,,,87.0,,,87.0,,Western Europe
1986,94.0,83.0,,,,87.0,,,87.0,,Western Europe
1985,95.0,85.0,,,,90.0,,,90.0,,Western Europe
1984,96.0,90.0,,,,80.0,,,80.0,,Western Europe
1983,96.0,90.0,,,,80.0,,,80.0,,Western Europe
1982,,,,,,,,,,,Western Europe
1981,,,,,,,,,,,Western Europe
1980,,,,,,,,,,,Western Europe
