Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,92.0,98.0,95.0,91.0,93.0,95.0,93.0,92.0,60.0,93.0,,Western Europe
2017,92.0,98.0,96.0,93.0,93.0,96.0,94.0,93.0,,94.0,,Western Europe
2016,93.0,99.0,98.0,95.0,93.0,98.0,96.0,93.0,,96.0,,Western Europe
2015,94.0,99.0,98.0,96.0,93.0,98.0,96.0,94.0,,96.0,,Western Europe
2014,92.0,99.0,98.0,96.0,93.0,98.0,97.0,95.0,,97.0,,Western Europe
2013,93.0,99.0,99.0,96.0,93.0,99.0,98.0,93.0,,98.0,,Western Europe
2012,94.0,99.0,99.0,97.0,93.0,99.0,98.0,95.0,,98.0,,Western Europe
2011,94.0,99.0,99.0,98.0,93.0,99.0,98.0,95.0,,98.0,,Western Europe
2010,93.0,99.0,99.0,98.0,93.0,99.0,98.0,94.0,,98.0,,Western Europe
2009,94.0,99.0,99.0,98.0,93.0,99.0,98.0,95.0,,98.0,,Western Europe
2008,93.0,99.0,99.0,98.0,93.0,98.0,98.0,97.0,,98.0,,Western Europe
2007,93.0,99.0,99.0,98.0,93.0,88.0,98.0,98.0,,98.0,,Western Europe
2006,94.0,99.0,99.0,98.0,93.0,31.0,99.0,99.0,,99.0,,Western Europe
2005,94.0,99.0,99.0,98.0,93.0,22.0,98.0,90.0,,98.0,,Western Europe
2004,94.0,99.0,99.0,98.0,93.0,,97.0,96.0,,97.0,,Western Europe
2003,93.0,99.0,99.0,97.0,92.0,,97.0,97.0,,97.0,,Western Europe
2002,95.0,99.0,99.0,98.0,94.0,,98.0,97.0,,98.0,,Western Europe
2001,95.0,99.0,98.0,95.0,94.0,,97.0,96.0,,97.0,,Western Europe
2000,96.0,99.0,98.0,99.0,95.0,,97.0,96.0,,97.0,,Western Europe
1999,96.0,99.0,98.0,99.0,,,97.0,,,97.0,,Western Europe
1998,96.0,99.0,98.0,99.0,,,97.0,,,97.0,,Western Europe
1997,96.0,99.0,98.0,97.0,,,97.0,,,97.0,,Western Europe
1996,97.0,98.0,97.0,56.0,,,97.0,,,97.0,,Western Europe
1995,98.0,98.0,96.0,23.0,,,96.0,,,96.0,,Western Europe
1994,94.0,98.0,96.0,4.0,,,96.0,,,96.0,,Western Europe
1993,95.0,98.0,95.0,1.0,,,95.0,,,95.0,,Western Europe
1992,95.0,98.0,95.0,1.0,,,95.0,,,95.0,,Western Europe
1991,94.0,98.0,95.0,1.0,,,94.0,,,94.0,,Western Europe
1990,97.0,98.0,96.0,,,,95.0,,,95.0,,Western Europe
1989,95.0,98.0,96.0,,,,95.0,,,95.0,,Western Europe
1988,95.0,98.0,96.0,,,,95.0,,,95.0,,Western Europe
1987,95.0,98.0,96.0,,,,94.0,,,,,Western Europe
1986,95.0,98.0,95.0,,,,92.0,,,,,Western Europe
1985,95.0,97.0,94.0,,,,92.0,,,,,Western Europe
1984,95.0,98.0,95.0,,,,94.0,,,,,Western Europe
1983,95.0,98.0,95.0,,,,94.0,,,,,Western Europe
1982,93.0,98.0,95.0,,,,93.0,,,,,Western Europe
1981,93.0,98.0,96.0,,,,93.0,,,,,Western Europe
1980,93.0,98.0,96.0,,,,92.0,,,,,Western Europe
