Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,,99.0,99.0,98.0,97.0,99.0,99.0,96.0,98.0,99.0,,Western Europe
2017,,99.0,98.0,98.0,97.0,98.0,98.0,95.0,96.0,98.0,,Western Europe
2016,,99.0,98.0,98.0,97.0,98.0,98.0,95.0,73.0,98.0,,Western Europe
2015,32.0,99.0,98.0,98.0,97.0,98.0,98.0,95.0,,98.0,,Western Europe
2014,99.0,99.0,98.0,98.0,98.0,98.0,98.0,96.0,,98.0,,Western Europe
2013,99.0,99.0,98.0,98.0,98.0,98.0,98.0,96.0,,98.0,,Western Europe
2012,99.0,99.0,98.0,98.0,97.0,98.0,97.0,96.0,,97.0,,Western Europe
2011,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,,97.0,,Western Europe
2010,96.0,99.0,98.0,97.0,96.0,97.0,96.0,95.0,,96.0,,Western Europe
2009,98.0,97.0,96.0,96.0,95.0,96.0,95.0,95.0,,95.0,,Western Europe
2008,98.0,99.0,97.0,97.0,95.0,97.0,97.0,95.0,,97.0,,Western Europe
2007,98.0,99.0,97.0,97.0,95.0,97.0,95.0,95.0,,95.0,,Western Europe
2006,99.0,99.0,97.0,97.0,91.0,97.0,97.0,95.0,,97.0,,Western Europe
2005,89.0,94.0,93.0,94.0,86.0,93.0,93.0,87.0,,93.0,,Western Europe
2004,83.0,98.0,95.0,94.0,86.0,95.0,95.0,79.0,,95.0,,Western Europe
2003,81.0,99.0,99.0,94.0,84.0,99.0,96.0,72.0,,96.0,,Western Europe
2002,81.0,98.0,98.0,82.0,99.0,94.0,93.0,64.0,,93.0,,Western Europe
2001,82.0,99.0,97.0,70.0,82.0,90.0,90.0,56.0,,90.0,,Western Europe
2000,82.0,99.0,96.0,58.0,64.0,86.0,87.0,48.0,,87.0,,Western Europe
1999,85.0,98.0,97.0,61.0,,91.0,92.0,,,92.0,,Western Europe
1998,88.0,98.0,97.0,64.0,,95.0,96.0,,,96.0,,Western Europe
1997,87.0,97.0,94.0,49.0,,,96.0,,,96.0,,Western Europe
1996,87.0,98.0,95.0,34.0,,,99.0,,,99.0,,Western Europe
1995,94.0,97.0,93.0,6.0,,,94.0,,,94.0,,Western Europe
1994,87.0,98.0,97.0,,,,91.0,,,91.0,,Western Europe
1993,91.0,97.0,93.0,,,,95.0,,,95.0,,Western Europe
1992,92.0,97.0,94.0,,,,99.0,,,99.0,,Western Europe
1991,89.0,98.0,96.0,,,,96.0,,,96.0,,Western Europe
1990,88.0,96.0,89.0,,,,85.0,,,85.0,,Western Europe
1989,87.0,96.0,88.0,,,,96.0,,,96.0,,Western Europe
1988,86.0,93.0,81.0,,,,84.0,,,84.0,,Western Europe
1987,78.0,94.0,83.0,,,,81.0,,,81.0,,Western Europe
1986,71.0,93.0,81.0,,,,75.0,,,75.0,,Western Europe
1985,82.0,89.0,72.0,,,,70.0,,,70.0,,Western Europe
1984,79.0,92.0,78.0,,,,48.0,,,48.0,,Western Europe
1983,76.0,92.0,79.0,,,,48.0,,,,,Western Europe
1982,76.0,92.0,78.0,,,,46.0,,,,,Western Europe
1981,74.0,91.0,75.0,,,,49.0,,,,,Western Europe
1980,,90.0,73.0,,,,54.0,,,,,Western Europe
