Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,94.0,90.0,78.0,,91.0,89.0,84.0,58.0,89.0,,Western Europe
2017,88.0,88.0,82.0,,88.0,86.0,78.0,56.0,86.0,,Western Europe
2016,93.0,86.0,86.0,,85.0,82.0,81.0,53.0,82.0,,Western Europe
2015,87.0,85.0,84.0,,83.0,84.0,86.0,,84.0,,Western Europe
2014,87.0,84.0,83.0,,82.0,81.0,86.0,,81.0,,Western Europe
2013,88.0,86.0,83.0,,80.0,82.0,85.0,,82.0,,Western Europe
2012,91.0,89.0,88.0,,87.0,84.0,89.0,,84.0,,Western Europe
2011,94.0,92.0,92.0,,92.0,90.0,92.0,,90.0,,Western Europe
2010,91.0,90.0,89.0,,88.0,88.0,90.0,,88.0,,Western Europe
2009,91.0,90.0,89.0,,88.0,88.0,92.0,,88.0,,Western Europe
2008,91.0,91.0,91.0,,90.0,86.0,92.0,,86.0,,Western Europe
2007,92.0,91.0,91.0,,89.0,90.0,94.0,,90.0,,Western Europe
2006,93.0,92.0,92.0,,91.0,90.0,94.0,,90.0,,Western Europe
2005,97.0,96.0,95.0,,93.0,94.0,94.0,,94.0,,Western Europe
2004,96.0,95.0,95.0,,93.0,94.0,94.0,,94.0,,Western Europe
2003,97.0,96.0,96.0,,94.0,94.0,94.0,,94.0,,Western Europe
2002,98.0,96.0,96.0,,95.0,96.0,,,96.0,,Western Europe
2001,98.0,97.0,96.0,,95.0,97.0,,,97.0,,Western Europe
2000,98.0,98.0,97.0,,95.0,99.0,,,99.0,,Western Europe
1999,99.0,99.0,97.0,,95.0,99.0,,,99.0,,Western Europe
1998,99.0,99.0,97.0,,92.0,99.0,,,99.0,,Western Europe
1997,99.0,99.0,97.0,,88.0,98.0,,,98.0,,Western Europe
1996,99.0,99.0,98.0,,84.0,98.0,,,98.0,,Western Europe
1995,99.0,99.0,98.0,,80.0,97.0,,,97.0,,Western Europe
1994,96.0,88.0,98.0,,76.0,97.0,,,,,Western Europe
1993,99.0,99.0,98.0,,72.0,96.0,,,,,Western Europe
1992,99.0,99.0,99.0,,69.0,99.0,,,,,Western Europe
1991,99.0,99.0,99.0,,65.0,99.0,,,,,Western Europe
1990,99.0,99.0,,,,,,,,,Western Europe
1989,99.0,99.0,,,,,,,,,Western Europe
1988,99.0,99.0,,,,,,,,,Western Europe
1987,99.0,99.0,,,,,,,,,Western Europe
1986,99.0,99.0,,,,,,,,,Western Europe
1985,99.0,99.0,,,,,,,,,Western Europe
1984,99.0,99.0,,,,,,,,,Western Europe
1983,99.0,99.0,,,,,,,,,Western Europe
1982,,,,,,,,,,,Western Europe
1981,,,,,,,,,,,Western Europe
1980,,,,,,,,,,,Western Europe
