Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,97.0,93.0,94.0,,94.0,97.0,94.0,93.0,97.0,,Western Europe
2017,98.0,95.0,95.0,,95.0,98.0,93.0,93.0,98.0,,Western Europe
2016,98.0,97.0,97.0,,97.0,97.0,95.0,,97.0,,Western Europe
2015,98.0,97.0,97.0,,97.0,96.0,94.0,,96.0,,Western Europe
2014,98.0,97.0,96.0,,96.0,96.0,93.0,,96.0,,Western Europe
2013,98.0,96.0,95.0,,96.0,95.0,91.0,,95.0,,Western Europe
2012,98.0,97.0,96.0,,97.0,97.0,90.0,,97.0,,Western Europe
2011,98.0,97.0,97.0,,97.0,97.0,91.0,,97.0,,Western Europe
2010,98.0,97.0,97.0,,97.0,95.0,92.0,,95.0,,Western Europe
2009,98.0,96.0,96.0,,96.0,98.0,90.0,,98.0,,Western Europe
2008,98.0,97.0,97.0,,97.0,98.0,94.0,,98.0,,Western Europe
2007,98.0,96.0,96.0,,96.0,97.0,95.0,,97.0,,Western Europe
2006,98.0,98.0,97.0,,98.0,97.0,94.0,,97.0,,Western Europe
2005,98.0,96.0,96.0,,96.0,97.0,92.0,,97.0,,Western Europe
2004,98.0,97.0,97.0,,97.0,97.0,91.0,,97.0,,Western Europe
2003,98.0,98.0,81.0,,98.0,98.0,,,98.0,,Western Europe
2002,98.0,98.0,82.0,,97.0,97.0,,,97.0,,Western Europe
2001,98.0,96.0,83.0,,96.0,96.0,,,96.0,,Western Europe
2000,98.0,95.0,77.0,,92.0,94.0,,,94.0,,Western Europe
1999,98.0,95.0,80.0,,82.0,95.0,,,95.0,,Western Europe
1998,98.0,95.0,81.0,,82.0,93.0,,,93.0,,Western Europe
1997,98.0,94.0,84.0,,,93.0,,,93.0,,Western Europe
1996,96.0,90.0,82.0,,,90.0,,,90.0,,Western Europe
1995,96.0,90.0,,,,90.0,,,90.0,,Western Europe
1994,96.0,88.0,,,,90.0,,,90.0,,Western Europe
1993,95.0,87.0,,,,90.0,,,90.0,,Western Europe
1992,94.0,84.0,,,,83.0,,,83.0,,Western Europe
1991,95.0,86.0,,,,85.0,,,85.0,,Western Europe
1990,95.0,86.0,,,,99.0,,,99.0,,Western Europe
1989,97.0,93.0,,,,97.0,,,97.0,,Western Europe
1988,97.0,93.0,,,,84.0,,,84.0,,Western Europe
1987,91.0,77.0,,,,85.0,,,85.0,,Western Europe
1986,96.0,88.0,,,,83.0,,,83.0,,Western Europe
1985,92.0,79.0,,,,79.0,,,79.0,,Western Europe
1984,98.0,95.0,,,,68.0,,,68.0,,Western Europe
1983,,,,,,40.0,,,40.0,,Western Europe
1982,,,,,,27.0,,,27.0,,Western Europe
1981,,,,,,8.0,,,8.0,,Western Europe
1980,,,,,,,,,,,Western Europe
