Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,26.0,99.0,97.0,92.0,,97.0,97.0,95.0,97.0,97.0,,Western Europe
2017,25.0,99.0,97.0,76.0,,97.0,97.0,95.0,97.0,97.0,,Western Europe
2016,26.0,99.0,98.0,67.0,,98.0,97.0,95.0,97.0,97.0,,Western Europe
2015,24.0,99.0,98.0,53.0,,98.0,98.0,95.0,97.0,98.0,,Western Europe
2014,26.0,99.0,97.0,42.0,,97.0,97.0,95.0,96.0,97.0,,Western Europe
2013,27.0,99.0,98.0,35.0,,98.0,97.0,95.0,97.0,97.0,,Western Europe
2012,24.0,99.0,98.0,30.0,,98.0,98.0,95.0,97.0,98.0,,Western Europe
2011,23.0,99.0,98.0,29.0,,98.0,97.0,95.0,98.0,97.0,,Western Europe
2010,23.0,99.0,98.0,,,98.0,97.0,94.0,98.0,97.0,,Western Europe
2009,21.0,99.0,98.0,,,98.0,97.0,95.0,98.0,97.0,,Western Europe
2008,23.0,99.0,98.0,,,98.0,96.0,94.0,60.0,96.0,,Western Europe
2007,23.0,99.0,98.0,,,98.0,96.0,95.0,,96.0,,Western Europe
2006,21.0,99.0,98.0,,,98.0,97.0,95.0,,97.0,,Western Europe
2005,20.0,99.0,98.0,,,98.0,96.0,95.0,,96.0,,Western Europe
2004,18.0,99.0,99.0,,,99.0,96.0,95.0,,96.0,,Western Europe
2003,17.0,99.0,99.0,,,99.0,95.0,95.0,,95.0,,Western Europe
2002,16.0,99.0,99.0,,,98.0,95.0,94.0,,95.0,,Western Europe
2001,16.0,99.0,99.0,,,98.0,94.0,94.0,,94.0,,Western Europe
2000,16.0,99.0,99.0,,,98.0,91.0,94.0,,91.0,,Western Europe
1999,16.0,99.0,99.0,,,98.0,89.0,,,89.0,,Western Europe
1998,16.0,99.0,99.0,,,99.0,94.0,,,94.0,,Western Europe
1997,15.0,99.0,99.0,,,99.0,96.0,,,96.0,,Western Europe
1996,14.0,99.0,99.0,,,99.0,96.0,,,96.0,,Western Europe
1995,14.0,99.0,99.0,,,99.0,97.0,,,97.0,,Western Europe
1994,13.0,99.0,99.0,,,99.0,97.0,,,97.0,,Western Europe
1993,13.0,99.0,99.0,,,99.0,97.0,,,97.0,,Western Europe
1992,13.0,99.0,99.0,,,90.0,96.0,,,96.0,,Western Europe
1991,12.0,99.0,99.0,,,55.0,96.0,,,96.0,,Western Europe
1990,13.0,99.0,99.0,,,,96.0,,,96.0,,Western Europe
1989,13.0,99.0,99.0,,,,95.0,,,95.0,,Western Europe
1988,14.0,99.0,99.0,,,,95.0,,,95.0,,Western Europe
1987,14.0,99.0,99.0,,,,94.0,,,94.0,,Western Europe
1986,14.0,99.0,99.0,,,,94.0,,,94.0,,Western Europe
1985,16.0,99.0,99.0,,,,94.0,,,94.0,,Western Europe
1984,16.0,99.0,99.0,,,,94.0,,,94.0,,Western Europe
1983,10.0,99.0,99.0,,,,93.0,,,93.0,,Western Europe
1982,6.0,99.0,99.0,,,,91.0,,,91.0,,Western Europe
1981,4.0,99.0,99.0,,,,92.0,,,,,Western Europe
1980,3.0,99.0,99.0,,,,88.0,,,,,Western Europe
