Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,97.0,96.0,72.0,,95.0,96.0,89.0,85.0,96.0,,Western Europe
2017,98.0,97.0,,,95.0,95.0,89.0,83.0,95.0,,Western Europe
2016,98.0,96.0,,,95.0,94.0,87.0,80.0,94.0,,Western Europe
2015,97.0,96.0,,,95.0,94.0,87.0,80.0,94.0,,Western Europe
2014,97.0,96.0,,,95.0,94.0,87.0,80.0,94.0,,Western Europe
2013,96.0,96.0,,,95.0,93.0,86.0,75.0,93.0,,Western Europe
2012,96.0,96.0,,,95.0,93.0,86.0,62.0,93.0,,Western Europe
2011,98.0,96.0,,,95.0,93.0,86.0,50.0,93.0,,Western Europe
2010,95.0,95.0,,,95.0,92.0,83.0,37.0,92.0,,Western Europe
2009,95.0,95.0,,,95.0,92.0,83.0,25.0,92.0,,Western Europe
2008,95.0,95.0,,,95.0,92.0,83.0,13.0,92.0,,Western Europe
2007,95.0,94.0,,,93.0,87.0,71.0,,87.0,,Western Europe
2006,95.0,94.0,,,93.0,87.0,71.0,,87.0,,Western Europe
2005,95.0,94.0,,,93.0,87.0,71.0,,87.0,,Western Europe
2004,95.0,93.0,,,91.0,82.0,,,82.0,,Western Europe
2003,95.0,93.0,,,91.0,82.0,,,82.0,,Western Europe
2002,95.0,93.0,,,91.0,82.0,,,82.0,,Western Europe
2001,95.0,93.0,,,91.0,82.0,,,82.0,,Western Europe
2000,95.0,93.0,,,91.0,82.0,,,82.0,,Western Europe
1999,95.0,93.0,,,91.0,82.0,,,82.0,,Western Europe
1998,93.0,88.0,,,77.0,81.0,,,81.0,,Western Europe
1997,93.0,89.0,,,,83.0,,,83.0,,Western Europe
1996,93.0,89.0,,,,83.0,,,83.0,,Western Europe
1995,93.0,89.0,,,,83.0,,,83.0,,Western Europe
1994,93.0,89.0,,,,83.0,,,83.0,,Western Europe
1993,93.0,89.0,,,,83.0,,,83.0,,Western Europe
1992,93.0,89.0,,,,83.0,,,83.0,,Western Europe
1991,93.0,89.0,,,,83.0,,,83.0,,Western Europe
1990,96.0,90.0,,,,90.0,,,90.0,,Western Europe
1989,96.0,90.0,,,,90.0,,,90.0,,Western Europe
1988,96.0,90.0,,,,70.0,,,70.0,,Western Europe
1987,96.0,90.0,,,,70.0,,,70.0,,Western Europe
1986,96.0,90.0,,,,70.0,,,70.0,,Western Europe
1985,,,,,,,,,,,Western Europe
1984,,,,,,,,,,,Western Europe
1983,,,,,,,,,,,Western Europe
1982,,,,,,,,,,,Western Europe
1981,,,,,,,,,,,Western Europe
1980,,,,,,,,,,,Western Europe
