Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,98.0,94.0,,,94.0,92.0,88.0,92.0,92.0,91.0,Western Europe
2017,98.0,94.0,,,94.0,92.0,88.0,92.0,92.0,90.0,Western Europe
2016,98.0,94.0,,,94.0,92.0,89.0,92.0,92.0,90.0,Western Europe
2015,98.0,95.0,,,95.0,93.0,89.0,93.0,93.0,89.0,Western Europe
2014,98.0,95.0,,,95.0,93.0,89.0,93.0,93.0,,Western Europe
2013,98.0,95.0,,,95.0,93.0,88.0,93.0,93.0,,Western Europe
2012,98.0,95.0,,,95.0,92.0,87.0,92.0,92.0,,Western Europe
2011,98.0,95.0,,,95.0,90.0,85.0,90.0,90.0,,Western Europe
2010,98.0,94.0,,,94.0,89.0,84.0,89.0,89.0,,Western Europe
2009,97.0,93.0,,,93.0,86.0,79.0,,86.0,,Western Europe
2008,97.0,92.0,,,92.0,86.0,75.0,,86.0,,Western Europe
2007,97.0,92.0,,,92.0,86.0,74.0,,86.0,,Western Europe
2006,97.0,92.0,,,92.0,85.0,75.0,,85.0,,Western Europe
2005,97.0,91.0,,,91.0,82.0,75.0,,82.0,,Western Europe
2004,97.0,92.0,,,92.0,81.0,76.0,,81.0,,Western Europe
2003,97.0,91.0,,,91.0,82.0,77.0,,82.0,,Western Europe
2002,97.0,91.0,,,91.0,85.0,74.0,,85.0,,Western Europe
2001,97.0,91.0,,,91.0,85.0,74.0,,85.0,,Western Europe
2000,97.0,91.0,,,91.0,88.0,76.0,,88.0,,Western Europe
1999,97.0,92.0,,,92.0,88.0,,,88.0,,Western Europe
1998,97.0,91.0,,,91.0,87.0,,,87.0,,Western Europe
1997,97.0,92.0,,,92.0,91.0,,,91.0,,Western Europe
1996,97.0,94.0,,,95.0,92.0,,,92.0,,Western Europe
1995,97.0,94.0,,,94.0,92.0,,,92.0,,Western Europe
1994,97.0,93.0,,,93.0,91.0,,,91.0,,Western Europe
1993,97.0,93.0,,,89.0,91.0,,,91.0,,Western Europe
1992,97.0,92.0,,,,92.0,,,92.0,,Western Europe
1991,96.0,88.0,,,,90.0,,,90.0,,Western Europe
1990,94.0,84.0,,,,87.0,,,87.0,,Western Europe
1989,92.0,78.0,,,,84.0,,,84.0,,Western Europe
1988,91.0,75.0,,,,80.0,,,80.0,,Western Europe
1987,90.0,73.0,,,,76.0,,,76.0,,Western Europe
1986,86.0,67.0,,,,71.0,,,71.0,,Western Europe
1985,85.0,65.0,,,,68.0,,,68.0,,Western Europe
1984,85.0,65.0,,,,63.0,,,63.0,,Western Europe
1983,81.0,59.0,,,,60.0,,,60.0,,Western Europe
1982,77.0,53.0,,,,58.0,,,58.0,,Western Europe
1981,71.0,46.0,,,,55.0,,,55.0,,Western Europe
1980,66.0,41.0,,,,53.0,,,53.0,,Western Europe
