Region,Year,Country,Vaccine,Target,Vaccinated,Vaccinations Needed,Coverage
Eastern Europe & Central Asia,2018,Albania,BCG,34000.0,34000.0,0.0,99
Eastern Europe & Central Asia,2018,Albania,DTP1,34000.0,33000.0,1000.0,99
Eastern Europe & Central Asia,2018,Albania,DTP3,34000.0,33000.0,1000.0,99
Eastern Europe & Central Asia,2018,Albania,Hepb3,34000.0,33000.0,1000.0,99
Eastern Europe & Central Asia,2018,Albania,Hepbb,34000.0,34000.0,0.0,99
Eastern Europe & Central Asia,2018,Albania,Hib3,34000.0,33000.0,1000.0,99
Eastern Europe & Central Asia,2018,Albania,IPV1,34000.0,33000.0,1000.0,99
Eastern Europe & Central Asia,2018,Albania,MCV1,34000.0,32000.0,2000.0,94
Eastern Europe & Central Asia,2018,Albania,MCV2,33000.0,32000.0,1000.0,96
Eastern Europe & Central Asia,2018,Albania,PCV3,34000.0,33000.0,1000.0,98
Eastern Europe & Central Asia,2018,Albania,Pol3,34000.0,33000.0,1000.0,99
Eastern Europe & Central Asia,2018,Albania,RCV1,34000.0,32000.0,2000.0,94
Eastern Europe & Central Asia,2017,Albania,BCG,34000.0,34000.0,0.0,99
Eastern Europe & Central Asia,2017,Albania,DTP1,34000.0,34000.0,0.0,99
Eastern Europe & Central Asia,2017,Albania,DTP3,34000.0,34000.0,0.0,99
Eastern Europe & Central Asia,2017,Albania,Hepb3,34000.0,34000.0,0.0,99
Eastern Europe & Central Asia,2017,Albania,Hepbb,34000.0,34000.0,0.0,99
Eastern Europe & Central Asia,2017,Albania,Hib3,34000.0,34000.0,0.0,99
Eastern Europe & Central Asia,2017,Albania,IPV1,34000.0,34000.0,0.0,99
Eastern Europe & Central Asia,2017,Albania,MCV1,34000.0,33000.0,1000.0,96
Eastern Europe & Central Asia,2017,Albania,MCV2,32000.0,32000.0,0.0,98
Eastern Europe & Central Asia,2017,Albania,PCV3,34000.0,34000.0,0.0,99
Eastern Europe & Central Asia,2017,Albania,Pol3,34000.0,34000.0,0.0,99
Eastern Europe & Central Asia,2017,Albania,RCV1,34000.0,33000.0,1000.0,96
Eastern Europe & Central Asia,2016,Albania,BCG,35000.0,35000.0,0.0,99
Eastern Europe & Central Asia,2016,Albania,DTP1,35000.0,34000.0,1000.0,99
Eastern Europe & Central Asia,2016,Albania,DTP3,35000.0,34000.0,1000.0,98
Eastern Europe & Central Asia,2016,Albania,Hepb3,35000.0,34000.0,1000.0,98
Eastern Europe & Central Asia,2016,Albania,Hepbb,35000.0,35000.0,0.0,99
Eastern Europe & Central Asia,2016,Albania,Hib3,35000.0,34000.0,1000.0,98
Eastern Europe & Central Asia,2016,Albania,IPV1,35000.0,34000.0,1000.0,98
Eastern Europe & Central Asia,2016,Albania,MCV1,35000.0,33000.0,2000.0,96
Eastern Europe & Central Asia,2016,Albania,MCV2,31000.0,31000.0,0.0,98
Eastern Europe & Central Asia,2016,Albania,PCV3,35000.0,34000.0,1000.0,98
Eastern Europe & Central Asia,2016,Albania,Pol3,35000.0,34000.0,1000.0,98
Eastern Europe & Central Asia,2016,Albania,RCV1,35000.0,33000.0,2000.0,96
Eastern Europe & Central Asia,2015,Albania,BCG,35000.0,35000.0,0.0,99
Eastern Europe & Central Asia,2015,Albania,DTP1,35000.0,35000.0,0.0,99
Eastern Europe & Central Asia,2015,Albania,DTP3,35000.0,35000.0,0.0,99
Eastern Europe & Central Asia,2015,Albania,Hepb3,35000.0,35000.0,0.0,99
Eastern Europe & Central Asia,2015,Albania,Hepbb,35000.0,35000.0,0.0,99
Eastern Europe & Central Asia,2015,Albania,Hib3,35000.0,35000.0,0.0,99
Eastern Europe & Central Asia,2015,Albania,IPV1,35000.0,35000.0,0.0,99
Eastern Europe & Central Asia,2015,Albania,MCV1,35000.0,34000.0,1000.0,97
Eastern Europe & Central Asia,2015,Albania,MCV2,31000.0,30000.0,1000.0,98
Eastern Europe & Central Asia,2015,Albania,PCV3,35000.0,35000.0,0.0,99
Eastern Europe & Central Asia,2015,Albania,Pol3,35000.0,35000.0,0.0,99
Eastern Europe & Central Asia,2015,Albania,RCV1,35000.0,34000.0,1000.0,97
Eastern Europe & Central Asia,2014,Albania,BCG,36000.0,35000.0,1000.0,99
Eastern Europe & Central Asia,2014,Albania,DTP1,35000.0,35000.0,0.0,99
Eastern Europe & Central Asia,2014,Albania,DTP3,35000.0,35000.0,0.0,98
Eastern Europe & Central Asia,2014,Albania,Hepb3,35000.0,35000.0,0.0,98
Eastern Europe & Central Asia,2014,Albania,Hepbb,36000.0,35000.0,1000.0,99
Eastern Europe & Central Asia,2014,Albania,Hib3,35000.0,35000.0,0.0,98
Eastern Europe & Central Asia,2014,Albania,MCV1,35000.0,35000.0,0.0,98
Eastern Europe & Central Asia,2014,Albania,MCV2,32000.0,31000.0,1000.0,98
Eastern Europe & Central Asia,2014,Albania,PCV3,35000.0,35000.0,0.0,99
Eastern Europe & Central Asia,2014,Albania,Pol3,35000.0,35000.0,0.0,98
Eastern Europe & Central Asia,2014,Albania,RCV1,35000.0,35000.0,0.0,98
Eastern Europe & Central Asia,2013,Albania,BCG,36000.0,35000.0,1000.0,99
Eastern Europe & Central Asia,2013,Albania,DTP1,35000.0,35000.0,0.0,99
Eastern Europe & Central Asia,2013,Albania,DTP3,35000.0,35000.0,0.0,99
Eastern Europe & Central Asia,2013,Albania,Hepb3,35000.0,35000.0,0.0,99
Eastern Europe & Central Asia,2013,Albania,Hepbb,36000.0,35000.0,1000.0,99
Eastern Europe & Central Asia,2013,Albania,Hib3,35000.0,35000.0,0.0,99
