Region,Year,Country,Vaccine,Target,Vaccinated,Vaccinations Needed,Coverage
Eastern & Southern Africa,2018,Angola,BCG,1257000.0,1081000.0,176000.0,86
Eastern & Southern Africa,2018,Angola,DTP1,1181000.0,791000.0,390000.0,67
Eastern & Southern Africa,2018,Angola,DTP3,1181000.0,697000.0,484000.0,59
Eastern & Southern Africa,2018,Angola,Hepb3,1181000.0,697000.0,484000.0,59
Eastern & Southern Africa,2018,Angola,Hib3,1181000.0,697000.0,484000.0,59
Eastern & Southern Africa,2018,Angola,IPV1,1181000.0,472000.0,709000.0,40
Eastern & Southern Africa,2018,Angola,MCV1,1181000.0,591000.0,590000.0,50
Eastern & Southern Africa,2018,Angola,MCV2,1112000.0,389000.0,723000.0,35
Eastern & Southern Africa,2018,Angola,PCV3,1181000.0,791000.0,390000.0,67
Eastern & Southern Africa,2018,Angola,Pol3,1181000.0,661000.0,520000.0,56
Eastern & Southern Africa,2018,Angola,RCV1,1181000.0,591000.0,590000.0,50
Eastern & Southern Africa,2018,Angola,Rotac,1181000.0,768000.0,413000.0,65
Eastern & Southern Africa,2018,Angola,YFV,1181000.0,331000.0,850000.0,28
Eastern & Southern Africa,2017,Angola,BCG,1233000.0,1023000.0,210000.0,83
Eastern & Southern Africa,2017,Angola,DTP1,1155000.0,705000.0,450000.0,61
Eastern & Southern Africa,2017,Angola,DTP3,1155000.0,601000.0,554000.0,52
Eastern & Southern Africa,2017,Angola,Hepb3,1155000.0,601000.0,554000.0,52
Eastern & Southern Africa,2017,Angola,Hib3,1155000.0,601000.0,554000.0,52
Eastern & Southern Africa,2017,Angola,MCV1,1155000.0,485000.0,670000.0,42
Eastern & Southern Africa,2017,Angola,MCV2,1089000.0,327000.0,762000.0,30
Eastern & Southern Africa,2017,Angola,PCV3,1155000.0,682000.0,473000.0,59
Eastern & Southern Africa,2017,Angola,Pol3,1155000.0,543000.0,612000.0,47
Eastern & Southern Africa,2017,Angola,Rotac,1155000.0,670000.0,485000.0,58
Eastern & Southern Africa,2017,Angola,YFV,1155000.0,323000.0,832000.0,28
Eastern & Southern Africa,2016,Angola,BCG,1209000.0,593000.0,616000.0,49
Eastern & Southern Africa,2016,Angola,DTP1,1130000.0,757000.0,373000.0,67
Eastern & Southern Africa,2016,Angola,DTP3,1130000.0,621000.0,509000.0,55
Eastern & Southern Africa,2016,Angola,Hepb3,1130000.0,621000.0,509000.0,55
Eastern & Southern Africa,2016,Angola,Hib3,1130000.0,621000.0,509000.0,55
Eastern & Southern Africa,2016,Angola,MCV1,1130000.0,508000.0,622000.0,45
Eastern & Southern Africa,2016,Angola,MCV2,1066000.0,277000.0,789000.0,26
Eastern & Southern Africa,2016,Angola,PCV3,1130000.0,667000.0,463000.0,59
Eastern & Southern Africa,2016,Angola,Pol3,1130000.0,599000.0,531000.0,53
Eastern & Southern Africa,2016,Angola,Rotac,1130000.0,667000.0,463000.0,59
Eastern & Southern Africa,2016,Angola,YFV,1130000.0,271000.0,859000.0,24
Eastern & Southern Africa,2015,Angola,BCG,1187000.0,819000.0,368000.0,69
Eastern & Southern Africa,2015,Angola,DTP1,1105000.0,718000.0,387000.0,65
Eastern & Southern Africa,2015,Angola,DTP3,1105000.0,608000.0,497000.0,55
Eastern & Southern Africa,2015,Angola,Hepb3,1105000.0,608000.0,497000.0,55
Eastern & Southern Africa,2015,Angola,Hib3,1105000.0,608000.0,497000.0,55
Eastern & Southern Africa,2015,Angola,MCV1,1105000.0,564000.0,541000.0,51
Eastern & Southern Africa,2015,Angola,MCV2,1040000.0,270000.0,770000.0,26
Eastern & Southern Africa,2015,Angola,PCV3,1105000.0,641000.0,464000.0,58
Eastern & Southern Africa,2015,Angola,Pol3,1105000.0,630000.0,475000.0,57
Eastern & Southern Africa,2015,Angola,Rotac,1105000.0,608000.0,497000.0,55
Eastern & Southern Africa,2015,Angola,YFV,1105000.0,475000.0,630000.0,43
Eastern & Southern Africa,2014,Angola,BCG,1164000.0,838000.0,326000.0,72
Eastern & Southern Africa,2014,Angola,DTP1,1080000.0,745000.0,335000.0,69
Eastern & Southern Africa,2014,Angola,DTP3,1080000.0,594000.0,486000.0,55
Eastern & Southern Africa,2014,Angola,Hepb3,1080000.0,594000.0,486000.0,55
Eastern & Southern Africa,2014,Angola,Hib3,1080000.0,594000.0,486000.0,55
Eastern & Southern Africa,2014,Angola,MCV1,1080000.0,605000.0,475000.0,56
Eastern & Southern Africa,2014,Angola,PCV3,1080000.0,486000.0,594000.0,45
Eastern & Southern Africa,2014,Angola,Pol3,1080000.0,594000.0,486000.0,55
Eastern & Southern Africa,2014,Angola,Rotac,1080000.0,194000.0,886000.0,18
Eastern & Southern Africa,2014,Angola,YFV,1080000.0,518000.0,562000.0,48
Eastern & Southern Africa,2013,Angola,BCG,1142000.0,811000.0,331000.0,71
Eastern & Southern Africa,2013,Angola,DTP1,1055000.0,707000.0,348000.0,67
Eastern & Southern Africa,2013,Angola,DTP3,1055000.0,569000.0,486000.0,54
Eastern & Southern Africa,2013,Angola,Hepb3,1055000.0,569000.0,486000.0,54
Eastern & Southern Africa,2013,Angola,Hib3,1055000.0,569000.0,486000.0,54
Eastern & Southern Africa,2013,Angola,MCV1,1055000.0,622000.0,433000.0,59
Eastern & Southern Africa,2013,Angola,PCV3,1055000.0,95000.0,960000.0,9
Eastern & Southern Africa,2013,Angola,Pol3,1055000.0,506000.0,549000.0,48
Eastern & Southern Africa,2013,Angola,YFV,1055000.0,221000.0,834000.0,21
Eastern & Southern Africa,2012,Angola,BCG,1119000.0,817000.0,302000.0,73
Eastern & Southern Africa,2012,Angola,DTP1,1028000.0,751000.0,277000.0,73
Eastern & Southern Africa,2012,Angola,DTP3,1028000.0,535000.0,493000.0,52
Eastern & Southern Africa,2012,Angola,Hepb3,1028000.0,535000.0,493000.0,52
Eastern & Southern Africa,2012,Angola,Hib3,1028000.0,535000.0,493000.0,52
Eastern & Southern Africa,2012,Angola,MCV1,1028000.0,668000.0,360000.0,65
Eastern & Southern Africa,2012,Angola,Pol3,1028000.0,555000.0,473000.0,54
Eastern & Southern Africa,2012,Angola,YFV,1028000.0,370000.0,658000.0,36
Eastern & Southern Africa,2011,Angola,BCG,1094000.0,810000.0,284000.0,74
Eastern & Southern Africa,2011,Angola,DTP1,1001000.0,791000.0,210000.0,79
Eastern & Southern Africa,2011,Angola,DTP3,1001000.0,460000.0,541000.0,46
Eastern & Southern Africa,2011,Angola,Hepb3,1001000.0,460000.0,541000.0,46
Eastern & Southern Africa,2011,Angola,Hib3,1001000.0,460000.0,541000.0,46
Eastern & Southern Africa,2011,Angola,MCV1,1001000.0,570000.0,431000.0,57
Eastern & Southern Africa,2011,Angola,Pol3,1001000.0,500000.0,501000.0,50
Eastern & Southern Africa,2011,Angola,YFV,1001000.0,380000.0,621000.0,38
Eastern & Southern Africa,2010,Angola,BCG,1069000.0,844000.0,225000.0,79
Eastern & Southern Africa,2010,Angola,DTP1,972000.0,826000.0,146000.0,85
Eastern & Southern Africa,2010,Angola,DTP3,972000.0,505000.0,467000.0,52
Eastern & Southern Africa,2010,Angola,Hepb3,972000.0,505000.0,467000.0,52
Eastern & Southern Africa,2010,Angola,Hib3,972000.0,505000.0,467000.0,52
Eastern & Southern Africa,2010,Angola,MCV1,972000.0,603000.0,369000.0,62
Eastern & Southern Africa,2010,Angola,Pol3,972000.0,544000.0,428000.0,56
Eastern & Southern Africa,2010,Angola,YFV,972000.0,156000.0,816000.0,16
Eastern & Southern Africa,2009,Angola,BCG,1042000.0,730000.0,312000.0,70
Eastern & Southern Africa,2009,Angola,DTP1,942000.0,669000.0,273000.0,71
Eastern & Southern Africa,2009,Angola,DTP3,942000.0,320000.0,622000.0,34
Eastern & Southern Africa,2009,Angola,Hepb3,942000.0,320000.0,622000.0,34
Eastern & Southern Africa,2009,Angola,Hib3,942000.0,320000.0,622000.0,34
Eastern & Southern Africa,2009,Angola,MCV1,942000.0,433000.0,509000.0,46
Eastern & Southern Africa,2009,Angola,Pol3,942000.0,339000.0,603000.0,36
Eastern & Southern Africa,2009,Angola,YFV,942000.0,160000.0,782000.0,17
Eastern & Southern Africa,2008,Angola,BCG,1014000.0,740000.0,274000.0,73
Eastern & Southern Africa,2008,Angola,DTP1,911000.0,738000.0,173000.0,81
Eastern & Southern Africa,2008,Angola,DTP3,911000.0,374000.0,537000.0,41
Eastern & Southern Africa,2008,Angola,Hepb3,911000.0,374000.0,537000.0,41
Eastern & Southern Africa,2008,Angola,Hib3,911000.0,374000.0,537000.0,41
Eastern & Southern Africa,2008,Angola,MCV1,911000.0,437000.0,474000.0,48
Eastern & Southern Africa,2008,Angola,Pol3,911000.0,328000.0,583000.0,36
