Region,Year,Country,Vaccine,Target,Vaccinated,Vaccinations Needed,Coverage
Latin America & Caribbean,2018,Antigua and Barbuda,DTP1,1000.0,1000.0,0.0,99
Latin America & Caribbean,2018,Antigua and Barbuda,DTP3,1000.0,1000.0,0.0,95
Latin America & Caribbean,2018,Antigua and Barbuda,Hepb3,1000.0,1000.0,0.0,95
Latin America & Caribbean,2018,Antigua and Barbuda,Hib3,1000.0,1000.0,0.0,95
Latin America & Caribbean,2018,Antigua and Barbuda,IPV1,1000.0,1000.0,0.0,99
Latin America & Caribbean,2018,Antigua and Barbuda,MCV1,1000.0,1000.0,0.0,96
Latin America & Caribbean,2018,Antigua and Barbuda,MCV2,1000.0,1000.0,0.0,95
Latin America & Caribbean,2018,Antigua and Barbuda,Pol3,1000.0,1000.0,0.0,94
Latin America & Caribbean,2018,Antigua and Barbuda,RCV1,1000.0,1000.0,0.0,96
Latin America & Caribbean,2017,Antigua and Barbuda,DTP1,1000.0,1000.0,0.0,96
Latin America & Caribbean,2017,Antigua and Barbuda,DTP3,1000.0,1000.0,0.0,95
Latin America & Caribbean,2017,Antigua and Barbuda,Hepb3,1000.0,1000.0,0.0,95
Latin America & Caribbean,2017,Antigua and Barbuda,Hib3,1000.0,1000.0,0.0,95
Latin America & Caribbean,2017,Antigua and Barbuda,IPV1,1000.0,1000.0,0.0,95
Latin America & Caribbean,2017,Antigua and Barbuda,MCV1,1000.0,1000.0,0.0,99
Latin America & Caribbean,2017,Antigua and Barbuda,MCV2,2000.0,1000.0,1000.0,95
Latin America & Caribbean,2017,Antigua and Barbuda,Pol3,1000.0,1000.0,0.0,94
Latin America & Caribbean,2017,Antigua and Barbuda,RCV1,1000.0,1000.0,0.0,99
Latin America & Caribbean,2016,Antigua and Barbuda,DTP1,1000.0,1000.0,0.0,97
Latin America & Caribbean,2016,Antigua and Barbuda,DTP3,1000.0,1000.0,0.0,92
Latin America & Caribbean,2016,Antigua and Barbuda,Hepb3,1000.0,1000.0,0.0,92
Latin America & Caribbean,2016,Antigua and Barbuda,Hib3,1000.0,1000.0,0.0,92
Latin America & Caribbean,2016,Antigua and Barbuda,IPV1,1000.0,1000.0,0.0,86
