Region,Year,Country,Vaccine,Target,Vaccinated,Vaccinations Needed,Coverage
Middle East & North Africa,2018,Algeria,BCG,1023000.0,1013000.0,10000.0,99
Middle East & North Africa,2018,Algeria,DTP1,1002000.0,962000.0,40000.0,96
Middle East & North Africa,2018,Algeria,DTP3,1002000.0,912000.0,90000.0,91
Middle East & North Africa,2018,Algeria,Hepb3,1002000.0,912000.0,90000.0,91
Middle East & North Africa,2018,Algeria,Hepbb,1023000.0,1013000.0,10000.0,99
Middle East & North Africa,2018,Algeria,Hib3,1002000.0,912000.0,90000.0,91
Middle East & North Africa,2018,Algeria,IPV1,1002000.0,942000.0,60000.0,94
Middle East & North Africa,2018,Algeria,MCV1,1002000.0,801000.0,201000.0,80
Middle East & North Africa,2018,Algeria,MCV2,909000.0,700000.0,209000.0,77
Middle East & North Africa,2018,Algeria,PCV3,1002000.0,912000.0,90000.0,91
Middle East & North Africa,2018,Algeria,Pol3,1002000.0,912000.0,90000.0,91
Middle East & North Africa,2018,Algeria,RCV1,1002000.0,801000.0,201000.0,80
Middle East & North Africa,2017,Algeria,BCG,1028000.0,1017000.0,11000.0,99
Middle East & North Africa,2017,Algeria,DTP1,1005000.0,955000.0,50000.0,95
Middle East & North Africa,2017,Algeria,DTP3,1005000.0,915000.0,90000.0,91
Middle East & North Africa,2017,Algeria,Hepb3,1005000.0,915000.0,90000.0,91
Middle East & North Africa,2017,Algeria,Hepbb,1028000.0,1017000.0,11000.0,99
Middle East & North Africa,2017,Algeria,Hib3,1005000.0,915000.0,90000.0,91
Middle East & North Africa,2017,Algeria,IPV1,1005000.0,925000.0,80000.0,92
Middle East & North Africa,2017,Algeria,MCV1,1005000.0,885000.0,120000.0,88
Middle East & North Africa,2017,Algeria,MCV2,881000.0,811000.0,70000.0,92
Middle East & North Africa,2017,Algeria,PCV3,1005000.0,895000.0,110000.0,89
Middle East & North Africa,2017,Algeria,Pol3,1005000.0,915000.0,90000.0,91
Middle East & North Africa,2017,Algeria,RCV1,1005000.0,885000.0,120000.0,88
Middle East & North Africa,2016,Algeria,BCG,1025000.0,1014000.0,11000.0,99
Middle East & North Africa,2016,Algeria,DTP1,1002000.0,962000.0,40000.0,96
Middle East & North Africa,2016,Algeria,DTP3,1002000.0,912000.0,90000.0,91
Middle East & North Africa,2016,Algeria,Hepb3,1002000.0,912000.0,90000.0,91
Middle East & North Africa,2016,Algeria,Hepbb,1025000.0,1014000.0,11000.0,99
Middle East & North Africa,2016,Algeria,Hib3,1002000.0,912000.0,90000.0,91
Middle East & North Africa,2016,Algeria,IPV1,1002000.0,942000.0,60000.0,94
Middle East & North Africa,2016,Algeria,MCV1,1002000.0,942000.0,60000.0,94
Middle East & North Africa,2016,Algeria,MCV2,849000.0,815000.0,34000.0,96
Middle East & North Africa,2016,Algeria,PCV3,1002000.0,611000.0,391000.0,61
Middle East & North Africa,2016,Algeria,Pol3,1002000.0,912000.0,90000.0,91
Middle East & North Africa,2015,Algeria,BCG,1014000.0,1004000.0,10000.0,99
Middle East & North Africa,2015,Algeria,DTP1,991000.0,981000.0,10000.0,99
Middle East & North Africa,2015,Algeria,DTP3,991000.0,941000.0,50000.0,95
Middle East & North Africa,2015,Algeria,Hepb3,991000.0,941000.0,50000.0,95
Middle East & North Africa,2015,Algeria,Hepbb,1014000.0,1004000.0,10000.0,99
Middle East & North Africa,2015,Algeria,Hib3,991000.0,941000.0,50000.0,95
Middle East & North Africa,2015,Algeria,IPV1,991000.0,79000.0,912000.0,8
Middle East & North Africa,2015,Algeria,MCV1,991000.0,941000.0,50000.0,95
Middle East & North Africa,2015,Algeria,MCV2,810000.0,802000.0,8000.0,99
Middle East & North Africa,2015,Algeria,Pol3,991000.0,941000.0,50000.0,95
Middle East & North Africa,2014,Algeria,BCG,997000.0,987000.0,10000.0,99
Middle East & North Africa,2014,Algeria,DTP1,973000.0,963000.0,10000.0,99
Middle East & North Africa,2014,Algeria,DTP3,973000.0,924000.0,49000.0,95
Middle East & North Africa,2014,Algeria,Hepb3,973000.0,924000.0,49000.0,95
Middle East & North Africa,2014,Algeria,Hepbb,997000.0,987000.0,10000.0,99
Middle East & North Africa,2014,Algeria,Hib3,973000.0,924000.0,49000.0,95
Middle East & North Africa,2014,Algeria,MCV1,973000.0,924000.0,49000.0,95
Middle East & North Africa,2014,Algeria,MCV2,765000.0,757000.0,8000.0,99
Middle East & North Africa,2014,Algeria,Pol3,973000.0,924000.0,49000.0,95
Middle East & North Africa,2013,Algeria,BCG,974000.0,964000.0,10000.0,99
Middle East & North Africa,2013,Algeria,DTP1,950000.0,940000.0,10000.0,99
Middle East & North Africa,2013,Algeria,DTP3,950000.0,902000.0,48000.0,95
Middle East & North Africa,2013,Algeria,Hepb3,950000.0,902000.0,48000.0,95
Middle East & North Africa,2013,Algeria,Hepbb,974000.0,964000.0,10000.0,99
Middle East & North Africa,2013,Algeria,Hib3,950000.0,902000.0,48000.0,95
