Region,Year,Country,Vaccine,Target,Vaccinated,Vaccinations Needed,Coverage
North America,2018,Canada,DTP1,385000.0,365000.0,20000.0,95
North America,2018,Canada,DTP3,385000.0,350000.0,35000.0,91
North America,2018,Canada,Hepb3,385000.0,273000.0,112000.0,71
North America,2018,Canada,Hib3,385000.0,350000.0,35000.0,91
North America,2018,Canada,MCV1,385000.0,346000.0,39000.0,90
North America,2018,Canada,MCV2,398000.0,346000.0,52000.0,87
North America,2018,Canada,PCV3,385000.0,311000.0,74000.0,81
North America,2018,Canada,Pol3,385000.0,350000.0,35000.0,91
North America,2018,Canada,RCV1,385000.0,346000.0,39000.0,90
North America,2018,Canada,Rotac,385000.0,304000.0,81000.0,79
North America,2017,Canada,DTP1,384000.0,365000.0,19000.0,95
North America,2017,Canada,DTP3,384000.0,350000.0,34000.0,91
North America,2017,Canada,Hepb3,384000.0,273000.0,111000.0,71
North America,2017,Canada,Hib3,384000.0,350000.0,34000.0,91
North America,2017,Canada,MCV1,384000.0,346000.0,38000.0,90
North America,2017,Canada,MCV2,379000.0,330000.0,49000.0,87
North America,2017,Canada,PCV3,384000.0,311000.0,73000.0,81
North America,2017,Canada,Pol3,384000.0,350000.0,34000.0,91
North America,2017,Canada,RCV1,384000.0,346000.0,38000.0,90
North America,2017,Canada,Rotac,384000.0,304000.0,80000.0,79
North America,2016,Canada,DTP1,384000.0,365000.0,19000.0,95
North America,2016,Canada,DTP3,384000.0,350000.0,34000.0,91
North America,2016,Canada,Hepb3,384000.0,269000.0,115000.0,70
North America,2016,Canada,Hib3,384000.0,350000.0,34000.0,91
North America,2016,Canada,MCV1,384000.0,342000.0,42000.0,89
North America,2016,Canada,MCV2,386000.0,332000.0,54000.0,86
North America,2016,Canada,PCV3,384000.0,307000.0,77000.0,80
North America,2016,Canada,Pol3,384000.0,350000.0,34000.0,91
North America,2016,Canada,RCV1,384000.0,342000.0,42000.0,89
North America,2015,Canada,DTP1,384000.0,365000.0,19000.0,95
North America,2015,Canada,DTP3,384000.0,349000.0,35000.0,91
North America,2015,Canada,Hepb3,384000.0,265000.0,119000.0,69
North America,2015,Canada,Hib3,384000.0,349000.0,35000.0,91
North America,2015,Canada,MCV1,384000.0,342000.0,42000.0,89
North America,2015,Canada,MCV2,394000.0,339000.0,55000.0,86
North America,2015,Canada,PCV3,384000.0,307000.0,77000.0,80
North America,2015,Canada,Pol3,384000.0,349000.0,35000.0,91
North America,2015,Canada,RCV1,384000.0,342000.0,42000.0,89
North America,2014,Canada,DTP1,383000.0,364000.0,19000.0,95
North America,2014,Canada,DTP3,383000.0,349000.0,34000.0,91
North America,2014,Canada,Hepb3,383000.0,211000.0,172000.0,55
North America,2014,Canada,Hib3,383000.0,349000.0,34000.0,91
North America,2014,Canada,MCV1,383000.0,345000.0,38000.0,90
North America,2014,Canada,MCV2,392000.0,337000.0,55000.0,86
North America,2014,Canada,PCV3,383000.0,303000.0,80000.0,79
North America,2014,Canada,Pol3,383000.0,349000.0,34000.0,91
North America,2014,Canada,RCV1,383000.0,345000.0,38000.0,90
North America,2013,Canada,DTP1,383000.0,364000.0,19000.0,95
North America,2013,Canada,DTP3,383000.0,348000.0,35000.0,91
North America,2013,Canada,Hepb3,383000.0,211000.0,172000.0,55
North America,2013,Canada,Hib3,383000.0,348000.0,35000.0,91
North America,2013,Canada,MCV1,383000.0,344000.0,39000.0,90
North America,2013,Canada,MCV2,390000.0,335000.0,55000.0,86
North America,2013,Canada,PCV3,383000.0,302000.0,81000.0,79
North America,2013,Canada,Pol3,383000.0,348000.0,35000.0,91
North America,2013,Canada,RCV1,383000.0,344000.0,39000.0,90
North America,2012,Canada,DTP1,382000.0,366000.0,16000.0,96
North America,2012,Canada,DTP3,382000.0,347000.0,35000.0,91
North America,2012,Canada,Hepb3,382000.0,267000.0,115000.0,70
North America,2012,Canada,Hib3,382000.0,343000.0,39000.0,90
North America,2012,Canada,MCV1,382000.0,340000.0,42000.0,89
North America,2012,Canada,MCV2,398000.0,330000.0,68000.0,83
North America,2012,Canada,PCV3,382000.0,279000.0,103000.0,73
North America,2012,Canada,Pol3,382000.0,347000.0,35000.0,91
North America,2012,Canada,RCV1,382000.0,340000.0,42000.0,89
North America,2011,Canada,DTP1,380000.0,365000.0,15000.0,96
North America,2011,Canada,DTP3,380000.0,331000.0,49000.0,87
North America,2011,Canada,Hepb3,380000.0,266000.0,114000.0,70
North America,2011,Canada,Hib3,380000.0,338000.0,42000.0,89
North America,2011,Canada,MCV1,380000.0,334000.0,46000.0,88
North America,2011,Canada,PCV3,380000.0,251000.0,129000.0,66
North America,2011,Canada,Pol3,380000.0,331000.0,49000.0,87
North America,2011,Canada,RCV1,380000.0,334000.0,46000.0,88
North America,2010,Canada,DTP1,377000.0,362000.0,15000.0,96
North America,2010,Canada,DTP3,377000.0,336000.0,41000.0,89
North America,2010,Canada,Hepb3,377000.0,211000.0,166000.0,56
North America,2010,Canada,Hib3,377000.0,340000.0,37000.0,90
North America,2010,Canada,MCV1,377000.0,340000.0,37000.0,90
North America,2010,Canada,PCV3,377000.0,219000.0,158000.0,58
North America,2010,Canada,Pol3,377000.0,340000.0,37000.0,90
North America,2010,Canada,RCV1,377000.0,340000.0,37000.0,90
North America,2009,Canada,DTP1,373000.0,358000.0,15000.0,96
North America,2009,Canada,DTP3,373000.0,340000.0,33000.0,91
North America,2009,Canada,Hepb3,373000.0,157000.0,216000.0,42
North America,2009,Canada,Hib3,373000.0,340000.0,33000.0,91
North America,2009,Canada,MCV1,373000.0,340000.0,33000.0,91
North America,2009,Canada,PCV3,373000.0,187000.0,186000.0,50
North America,2009,Canada,Pol3,373000.0,347000.0,26000.0,93
North America,2009,Canada,RCV1,373000.0,340000.0,33000.0,91
North America,2008,Canada,DTP1,368000.0,353000.0,15000.0,96
North America,2008,Canada,DTP3,368000.0,338000.0,30000.0,92
North America,2008,Canada,Hepb3,368000.0,103000.0,265000.0,28
North America,2008,Canada,Hib3,368000.0,338000.0,30000.0,92
North America,2008,Canada,MCV1,368000.0,342000.0,26000.0,93
North America,2008,Canada,PCV3,368000.0,154000.0,214000.0,42
North America,2008,Canada,Pol3,368000.0,353000.0,15000.0,96
North America,2008,Canada,RCV1,368000.0,342000.0,26000.0,93
North America,2007,Canada,DTP1,361000.0,347000.0,14000.0,96
North America,2007,Canada,DTP3,361000.0,339000.0,22000.0,94
North America,2007,Canada,Hepb3,361000.0,51000.0,310000.0,14
North America,2007,Canada,Hib3,361000.0,336000.0,25000.0,93
North America,2007,Canada,MCV1,361000.0,339000.0,22000.0,94
North America,2007,Canada,Pol3,361000.0,357000.0,4000.0,99
North America,2007,Canada,RCV1,361000.0,339000.0,22000.0,94
North America,2006,Canada,DTP1,354000.0,339000.0,15000.0,96
North America,2006,Canada,DTP3,354000.0,336000.0,18000.0,95
North America,2006,Canada,Hepb3,354000.0,50000.0,304000.0,14
North America,2006,Canada,Hib3,354000.0,336000.0,18000.0,95
North America,2006,Canada,MCV1,354000.0,329000.0,25000.0,93
North America,2006,Canada,Pol3,354000.0,336000.0,18000.0,95
North America,2006,Canada,RCV1,354000.0,329000.0,25000.0,93
North America,2005,Canada,DTP1,346000.0,332000.0,14000.0,96
North America,2005,Canada,DTP3,346000.0,322000.0,24000.0,93
North America,2005,Canada,Hepb3,346000.0,48000.0,298000.0,14
North America,2005,Canada,Hib3,346000.0,322000.0,24000.0,93
North America,2005,Canada,MCV1,346000.0,325000.0,21000.0,94
North America,2005,Canada,Pol3,346000.0,322000.0,24000.0,93
North America,2005,Canada,RCV1,346000.0,325000.0,21000.0,94
North America,2004,Canada,DTP1,339000.0,326000.0,13000.0,96
North America,2004,Canada,DTP3,339000.0,309000.0,30000.0,91
North America,2004,Canada,Hepb3,339000.0,47000.0,292000.0,14
North America,2004,Canada,Hib3,339000.0,309000.0,30000.0,91
North America,2004,Canada,MCV1,339000.0,319000.0,20000.0,94
North America,2004,Canada,Pol3,339000.0,309000.0,30000.0,91
North America,2004,Canada,RCV1,339000.0,319000.0,20000.0,94
North America,2003,Canada,DTP1,334000.0,317000.0,17000.0,95
North America,2003,Canada,DTP3,334000.0,304000.0,30000.0,91
North America,2003,Canada,Hepb3,334000.0,47000.0,287000.0,14
North America,2003,Canada,Hib3,334000.0,294000.0,40000.0,88
North America,2003,Canada,MCV1,334000.0,317000.0,17000.0,95
North America,2003,Canada,Pol3,334000.0,294000.0,40000.0,88
North America,2003,Canada,RCV1,334000.0,317000.0,17000.0,95
North America,2002,Canada,DTP1,330000.0,314000.0,16000.0,95
North America,2002,Canada,DTP3,330000.0,291000.0,39000.0,88
North America,2002,Canada,Hib3,330000.0,291000.0,39000.0,88
North America,2002,Canada,MCV1,330000.0,314000.0,16000.0,95
North America,2002,Canada,Pol3,330000.0,291000.0,39000.0,88
North America,2002,Canada,RCV1,330000.0,314000.0,16000.0,95
North America,2001,Canada,DTP1,329000.0,313000.0,16000.0,95
North America,2001,Canada,DTP3,329000.0,293000.0,36000.0,89
North America,2001,Canada,Hib3,329000.0,289000.0,40000.0,88
North America,2001,Canada,MCV1,329000.0,313000.0,16000.0,95
North America,2001,Canada,Pol3,329000.0,289000.0,40000.0,88
North America,2001,Canada,RCV1,329000.0,313000.0,16000.0,95
North America,2000,Canada,DTP1,330000.0,314000.0,16000.0,95
North America,2000,Canada,DTP3,330000.0,294000.0,36000.0,89
North America,2000,Canada,Hib3,330000.0,291000.0,39000.0,88
North America,2000,Canada,MCV1,330000.0,317000.0,13000.0,96
North America,2000,Canada,Pol3,330000.0,291000.0,39000.0,88
North America,2000,Canada,RCV1,330000.0,317000.0,13000.0,96
North America,1999,Canada,DTP1,335000.0,318000.0,17000.0,95
North America,1999,Canada,DTP3,335000.0,301000.0,34000.0,90
North America,1999,Canada,Hib3,335000.0,295000.0,40000.0,88
North America,1999,Canada,MCV1,335000.0,321000.0,14000.0,96
North America,1999,Canada,Pol3,335000.0,295000.0,40000.0,88
North America,1999,Canada,RCV1,335000.0,321000.0,14000.0,96
North America,1998,Canada,DTP1,341000.0,324000.0,17000.0,95
North America,1998,Canada,DTP3,341000.0,307000.0,34000.0,90
North America,1998,Canada,Hib3,341000.0,300000.0,41000.0,88
North America,1998,Canada,MCV1,341000.0,328000.0,13000.0,96
North America,1998,Canada,Pol3,341000.0,300000.0,41000.0,88
North America,1998,Canada,RCV1,341000.0,328000.0,13000.0,96
North America,1997,Canada,DTP1,349000.0,332000.0,17000.0,95
North America,1997,Canada,DTP3,349000.0,300000.0,49000.0,86
North America,1997,Canada,Hib3,349000.0,304000.0,45000.0,87
North America,1997,Canada,MCV1,349000.0,335000.0,14000.0,96
North America,1997,Canada,Pol3,349000.0,307000.0,42000.0,88
North America,1997,Canada,RCV1,349000.0,335000.0,14000.0,96
North America,2018,United States,DTP1,3890000.0,3773000.0,117000.0,97
North America,2018,United States,DTP3,3890000.0,3656000.0,234000.0,94
North America,2018,United States,Hepb3,3890000.0,3540000.0,350000.0,91
North America,2018,United States,Hepbb,3912000.0,2582000.0,1330000.0,66
North America,2018,United States,Hib3,3890000.0,3579000.0,311000.0,92
North America,2018,United States,MCV1,3890000.0,3579000.0,311000.0,92
North America,2018,United States,MCV2,3933000.0,3697000.0,236000.0,94
North America,2018,United States,PCV3,3890000.0,3579000.0,311000.0,92
North America,2018,United States,Pol3,3890000.0,3618000.0,272000.0,93
North America,2018,United States,RCV1,3890000.0,3579000.0,311000.0,92
North America,2018,United States,Rotac,3890000.0,2840000.0,1050000.0,73
North America,2017,United States,DTP1,3877000.0,3799000.0,78000.0,98
North America,2017,United States,DTP3,3877000.0,3683000.0,194000.0,95
North America,2017,United States,Hepb3,3877000.0,3605000.0,272000.0,93
North America,2017,United States,Hepbb,3899000.0,2495000.0,1404000.0,64
North America,2017,United States,Hib3,3877000.0,3605000.0,272000.0,93
North America,2017,United States,MCV1,3877000.0,3566000.0,311000.0,92
North America,2017,United States,MCV2,3837000.0,3606000.0,231000.0,94
North America,2017,United States,PCV3,3877000.0,3605000.0,272000.0,93
North America,2017,United States,Pol3,3877000.0,3644000.0,233000.0,94
North America,2017,United States,RCV1,3877000.0,3566000.0,311000.0,92
North America,2017,United States,Rotac,3877000.0,2830000.0,1047000.0,73
North America,2016,United States,DTP1,3871000.0,3794000.0,77000.0,98
North America,2016,United States,DTP3,3871000.0,3678000.0,193000.0,95
North America,2016,United States,Hepb3,3871000.0,3600000.0,271000.0,93
North America,2016,United States,Hepbb,3894000.0,2492000.0,1402000.0,64
North America,2016,United States,Hib3,3871000.0,3600000.0,271000.0,93
North America,2016,United States,MCV1,3871000.0,3562000.0,309000.0,92
North America,2016,United States,MCV2,3921000.0,3686000.0,235000.0,94
North America,2016,United States,PCV3,3871000.0,3600000.0,271000.0,93
North America,2016,United States,Pol3,3871000.0,3639000.0,232000.0,94
North America,2016,United States,RCV1,3871000.0,3562000.0,309000.0,92
North America,2016,United States,Rotac,3871000.0,2826000.0,1045000.0,73
North America,2015,United States,DTP1,3877000.0,3799000.0,78000.0,98
North America,2015,United States,DTP3,3877000.0,3683000.0,194000.0,95
North America,2015,United States,Hepb3,3877000.0,3567000.0,310000.0,92
North America,2015,United States,Hepbb,3900000.0,2808000.0,1092000.0,72
North America,2015,United States,Hib3,3877000.0,3606000.0,271000.0,93
North America,2015,United States,MCV1,3877000.0,3567000.0,310000.0,92
North America,2015,United States,MCV2,4016000.0,3734000.0,282000.0,93
North America,2015,United States,PCV3,3877000.0,3606000.0,271000.0,93
North America,2015,United States,Pol3,3877000.0,3606000.0,271000.0,93
North America,2015,United States,RCV1,3877000.0,3567000.0,310000.0,92
North America,2015,United States,Rotac,3877000.0,2791000.0,1086000.0,72
North America,2014,United States,DTP1,3895000.0,3817000.0,78000.0,98
North America,2014,United States,DTP3,3895000.0,3700000.0,195000.0,95
North America,2014,United States,Hepb3,3895000.0,3583000.0,312000.0,92
North America,2014,United States,Hepbb,3918000.0,2821000.0,1097000.0,72
North America,2014,United States,Hib3,3895000.0,3622000.0,273000.0,93
North America,2014,United States,MCV1,3895000.0,3583000.0,312000.0,92
North America,2014,United States,MCV2,4058000.0,3734000.0,324000.0,92
North America,2014,United States,PCV3,3895000.0,3622000.0,273000.0,93
North America,2014,United States,Pol3,3895000.0,3622000.0,273000.0,93
North America,2014,United States,RCV1,3895000.0,3583000.0,312000.0,92
North America,2014,United States,Rotac,3895000.0,2804000.0,1091000.0,72
North America,2013,United States,DTP1,3924000.0,3846000.0,78000.0,98
North America,2013,United States,DTP3,3924000.0,3689000.0,235000.0,94
North America,2013,United States,Hepb3,3924000.0,3571000.0,353000.0,91
North America,2013,United States,Hepbb,3948000.0,2921000.0,1027000.0,74
North America,2013,United States,Hib3,3924000.0,3650000.0,274000.0,93
North America,2013,United States,MCV1,3924000.0,3610000.0,314000.0,92
North America,2013,United States,MCV2,4104000.0,3734000.0,370000.0,91
North America,2013,United States,PCV3,3924000.0,3610000.0,314000.0,92
North America,2013,United States,Pol3,3924000.0,3650000.0,274000.0,93
North America,2013,United States,RCV1,3924000.0,3610000.0,314000.0,92
North America,2013,United States,Rotac,3924000.0,2865000.0,1059000.0,73
North America,2012,United States,DTP1,3962000.0,3843000.0,119000.0,97
North America,2012,United States,DTP3,3962000.0,3724000.0,238000.0,94
North America,2012,United States,Hepb3,3962000.0,3566000.0,396000.0,90
North America,2012,United States,Hepbb,3986000.0,2870000.0,1116000.0,72
North America,2012,United States,Hib3,3962000.0,3685000.0,277000.0,93
North America,2012,United States,MCV1,3962000.0,3605000.0,357000.0,91
North America,2012,United States,MCV2,4199000.0,3821000.0,378000.0,91
North America,2012,United States,PCV3,3962000.0,3645000.0,317000.0,92
North America,2012,United States,Pol3,3962000.0,3685000.0,277000.0,93
North America,2012,United States,RCV1,3962000.0,3605000.0,357000.0,91
North America,2012,United States,Rotac,3962000.0,2734000.0,1228000.0,69
North America,2011,United States,DTP1,4005000.0,3925000.0,80000.0,98
North America,2011,United States,DTP3,4005000.0,3845000.0,160000.0,96
North America,2011,United States,Hepb3,4005000.0,3645000.0,360000.0,91
North America,2011,United States,Hepbb,4030000.0,2781000.0,1249000.0,69
North America,2011,United States,Hib3,4005000.0,3765000.0,240000.0,94
North America,2011,United States,MCV1,4005000.0,3685000.0,320000.0,92
North America,2011,United States,MCV2,4195000.0,3776000.0,419000.0,90
North America,2011,United States,PCV3,4005000.0,3765000.0,240000.0,94
North America,2011,United States,Pol3,4005000.0,3765000.0,240000.0,94
North America,2011,United States,RCV1,4005000.0,3685000.0,320000.0,92
North America,2011,United States,Rotac,4005000.0,2683000.0,1322000.0,67
North America,2010,United States,DTP1,4048000.0,3967000.0,81000.0,98
North America,2010,United States,DTP3,4048000.0,3846000.0,202000.0,95
North America,2010,United States,Hepb3,4048000.0,3724000.0,324000.0,92
North America,2010,United States,Hepbb,4074000.0,2607000.0,1467000.0,64
North America,2010,United States,Hib3,4048000.0,3643000.0,405000.0,90
North America,2010,United States,MCV1,4048000.0,3724000.0,324000.0,92
North America,2010,United States,MCV2,4179000.0,3719000.0,460000.0,89
North America,2010,United States,PCV3,4048000.0,3765000.0,283000.0,93
North America,2010,United States,Pol3,4048000.0,3765000.0,283000.0,93
North America,2010,United States,RCV1,4048000.0,3724000.0,324000.0,92
North America,2010,United States,Rotac,4048000.0,2388000.0,1660000.0,59
North America,2009,United States,DTP1,4085000.0,4003000.0,82000.0,98
North America,2009,United States,DTP3,4085000.0,3881000.0,204000.0,95
North America,2009,United States,Hepb3,4085000.0,3758000.0,327000.0,92
North America,2009,United States,Hepbb,4112000.0,2508000.0,1604000.0,61
North America,2009,United States,Hib3,4085000.0,3431000.0,654000.0,84
North America,2009,United States,MCV1,4085000.0,3676000.0,409000.0,90
North America,2009,United States,MCV2,4166000.0,3666000.0,500000.0,88
North America,2009,United States,PCV3,4085000.0,3799000.0,286000.0,93
North America,2009,United States,Pol3,4085000.0,3799000.0,286000.0,93
North America,2009,United States,RCV1,4085000.0,3676000.0,409000.0,90
North America,2009,United States,Rotac,4085000.0,1797000.0,2288000.0,44
North America,2008,United States,DTP1,4111000.0,4070000.0,41000.0,99
North America,2008,United States,DTP3,4111000.0,3947000.0,164000.0,96
North America,2008,United States,Hepb3,4111000.0,3864000.0,247000.0,94
North America,2008,United States,Hepbb,4139000.0,2276000.0,1863000.0,55
North America,2008,United States,Hib3,4111000.0,3741000.0,370000.0,91
North America,2008,United States,MCV1,4111000.0,3782000.0,329000.0,92
North America,2008,United States,MCV2,4132000.0,3595000.0,537000.0,87
North America,2008,United States,PCV3,4111000.0,3823000.0,288000.0,93
North America,2008,United States,Pol3,4111000.0,3864000.0,247000.0,94
North America,2008,United States,RCV1,4111000.0,3782000.0,329000.0,92
North America,2007,United States,DTP1,4124000.0,4083000.0,41000.0,99
North America,2007,United States,DTP3,4124000.0,3959000.0,165000.0,96
North America,2007,United States,Hepb3,4124000.0,3836000.0,288000.0,93
North America,2007,United States,Hepbb,4152000.0,2201000.0,1951000.0,53
