Region,Year,Country,Vaccine,Target,Vaccinated,Vaccinations Needed,Coverage
South Asia,2018,Afghanistan,BCG,1207000.0,941000.0,266000.0,78
South Asia,2018,Afghanistan,DTP1,1146000.0,836000.0,310000.0,73
South Asia,2018,Afghanistan,DTP3,1146000.0,756000.0,390000.0,66
South Asia,2018,Afghanistan,Hepb3,1146000.0,756000.0,390000.0,66
South Asia,2018,Afghanistan,Hepbb,1207000.0,217000.0,990000.0,18
South Asia,2018,Afghanistan,Hib3,1146000.0,756000.0,390000.0,66
South Asia,2018,Afghanistan,IPV1,1146000.0,756000.0,390000.0,66
South Asia,2018,Afghanistan,MCV1,1146000.0,733000.0,413000.0,64
South Asia,2018,Afghanistan,MCV2,1122000.0,437000.0,685000.0,39
South Asia,2018,Afghanistan,PCV3,1146000.0,745000.0,401000.0,65
South Asia,2018,Afghanistan,Pol3,1146000.0,836000.0,310000.0,73
South Asia,2018,Afghanistan,Rotac,1146000.0,687000.0,459000.0,60
South Asia,2017,Afghanistan,BCG,1202000.0,938000.0,264000.0,78
South Asia,2017,Afghanistan,DTP1,1139000.0,832000.0,307000.0,73
South Asia,2017,Afghanistan,DTP3,1139000.0,752000.0,387000.0,66
South Asia,2017,Afghanistan,Hepb3,1139000.0,752000.0,387000.0,66
South Asia,2017,Afghanistan,Hepbb,1202000.0,216000.0,986000.0,18
South Asia,2017,Afghanistan,Hib3,1139000.0,752000.0,387000.0,66
South Asia,2017,Afghanistan,IPV1,1139000.0,752000.0,387000.0,66
South Asia,2017,Afghanistan,MCV1,1139000.0,729000.0,410000.0,64
South Asia,2017,Afghanistan,MCV2,1106000.0,431000.0,675000.0,39
South Asia,2017,Afghanistan,PCV3,1139000.0,740000.0,399000.0,65
South Asia,2017,Afghanistan,Pol3,1139000.0,832000.0,307000.0,73
South Asia,2016,Afghanistan,BCG,1197000.0,934000.0,263000.0,78
South Asia,2016,Afghanistan,DTP1,1132000.0,827000.0,305000.0,73
South Asia,2016,Afghanistan,DTP3,1132000.0,747000.0,385000.0,66
South Asia,2016,Afghanistan,Hepb3,1132000.0,747000.0,385000.0,66
South Asia,2016,Afghanistan,Hepbb,1197000.0,215000.0,982000.0,18
South Asia,2016,Afghanistan,Hib3,1132000.0,747000.0,385000.0,66
South Asia,2016,Afghanistan,IPV1,1132000.0,747000.0,385000.0,66
South Asia,2016,Afghanistan,MCV1,1132000.0,725000.0,407000.0,64
South Asia,2016,Afghanistan,MCV2,1106000.0,431000.0,675000.0,39
South Asia,2016,Afghanistan,PCV3,1132000.0,736000.0,396000.0,65
South Asia,2016,Afghanistan,Pol3,1132000.0,827000.0,305000.0,73
South Asia,2015,Afghanistan,BCG,1192000.0,906000.0,286000.0,76
South Asia,2015,Afghanistan,DTP1,1126000.0,822000.0,304000.0,73
South Asia,2015,Afghanistan,DTP3,1126000.0,732000.0,394000.0,65
South Asia,2015,Afghanistan,Hepb3,1126000.0,732000.0,394000.0,65
South Asia,2015,Afghanistan,Hepbb,1192000.0,215000.0,977000.0,18
South Asia,2015,Afghanistan,Hib3,1126000.0,732000.0,394000.0,65
South Asia,2015,Afghanistan,MCV1,1126000.0,709000.0,417000.0,63
South Asia,2015,Afghanistan,MCV2,1103000.0,430000.0,673000.0,39
South Asia,2015,Afghanistan,PCV3,1126000.0,732000.0,394000.0,65
South Asia,2015,Afghanistan,Pol3,1126000.0,754000.0,372000.0,67
South Asia,2014,Afghanistan,BCG,1188000.0,879000.0,309000.0,74
South Asia,2014,Afghanistan,DTP1,1120000.0,818000.0,302000.0,73
South Asia,2014,Afghanistan,DTP3,1120000.0,694000.0,426000.0,62
South Asia,2014,Afghanistan,Hepb3,1120000.0,694000.0,426000.0,62
South Asia,2014,Afghanistan,Hepbb,1188000.0,48000.0,1140000.0,4
South Asia,2014,Afghanistan,Hib3,1120000.0,694000.0,426000.0,62
South Asia,2014,Afghanistan,MCV1,1120000.0,672000.0,448000.0,60
South Asia,2014,Afghanistan,MCV2,1097000.0,428000.0,669000.0,39
South Asia,2014,Afghanistan,PCV3,1120000.0,448000.0,672000.0,40
South Asia,2014,Afghanistan,Pol3,1120000.0,650000.0,470000.0,58
South Asia,2013,Afghanistan,BCG,1185000.0,853000.0,332000.0,72
South Asia,2013,Afghanistan,DTP1,1115000.0,847000.0,268000.0,76
South Asia,2013,Afghanistan,DTP3,1115000.0,713000.0,402000.0,64
South Asia,2013,Afghanistan,Hepb3,1115000.0,713000.0,402000.0,64
South Asia,2013,Afghanistan,Hib3,1115000.0,713000.0,402000.0,64
South Asia,2013,Afghanistan,MCV1,1115000.0,635000.0,480000.0,57
South Asia,2013,Afghanistan,MCV2,1089000.0,381000.0,708000.0,35
South Asia,2013,Afghanistan,Pol3,1115000.0,691000.0,424000.0,62
South Asia,2012,Afghanistan,BCG,1182000.0,922000.0,260000.0,78
South Asia,2012,Afghanistan,DTP1,1110000.0,866000.0,244000.0,78
South Asia,2012,Afghanistan,DTP3,1110000.0,744000.0,366000.0,67
South Asia,2012,Afghanistan,Hepb3,1110000.0,744000.0,366000.0,67
South Asia,2012,Afghanistan,Hib3,1110000.0,744000.0,366000.0,67
South Asia,2012,Afghanistan,MCV1,1110000.0,655000.0,455000.0,59
South Asia,2012,Afghanistan,MCV2,1089000.0,360000.0,729000.0,33
South Asia,2012,Afghanistan,Pol3,1110000.0,744000.0,366000.0,67
South Asia,2011,Afghanistan,BCG,1180000.0,838000.0,342000.0,71
South Asia,2011,Afghanistan,DTP1,1105000.0,862000.0,243000.0,78
South Asia,2011,Afghanistan,DTP3,1105000.0,752000.0,353000.0,68
South Asia,2011,Afghanistan,Hepb3,1105000.0,752000.0,353000.0,68
South Asia,2011,Afghanistan,Hib3,1105000.0,752000.0,353000.0,68
South Asia,2011,Afghanistan,MCV1,1105000.0,707000.0,398000.0,64
South Asia,2011,Afghanistan,MCV2,1076000.0,334000.0,742000.0,31
South Asia,2011,Afghanistan,Pol3,1105000.0,752000.0,353000.0,68
South Asia,2010,Afghanistan,BCG,1178000.0,801000.0,377000.0,68
South Asia,2010,Afghanistan,DTP1,1100000.0,792000.0,308000.0,72
South Asia,2010,Afghanistan,DTP3,1100000.0,726000.0,374000.0,66
South Asia,2010,Afghanistan,Hepb3,1100000.0,726000.0,374000.0,66
South Asia,2010,Afghanistan,Hib3,1100000.0,726000.0,374000.0,66
South Asia,2010,Afghanistan,MCV1,1100000.0,682000.0,418000.0,62
South Asia,2010,Afghanistan,MCV2,1064000.0,309000.0,755000.0,29
South Asia,2010,Afghanistan,Pol3,1100000.0,726000.0,374000.0,66
South Asia,2009,Afghanistan,BCG,1174000.0,751000.0,423000.0,64
South Asia,2009,Afghanistan,DTP1,1093000.0,787000.0,306000.0,72
South Asia,2009,Afghanistan,DTP3,1093000.0,689000.0,404000.0,63
South Asia,2009,Afghanistan,Hepb3,1093000.0,689000.0,404000.0,63
South Asia,2009,Afghanistan,Hib3,1093000.0,689000.0,404000.0,63
South Asia,2009,Afghanistan,MCV1,1093000.0,656000.0,437000.0,60
South Asia,2009,Afghanistan,MCV2,1049000.0,252000.0,797000.0,24
South Asia,2009,Afghanistan,Pol3,1093000.0,689000.0,404000.0,63
South Asia,2008,Afghanistan,BCG,1167000.0,770000.0,397000.0,66
South Asia,2008,Afghanistan,DTP1,1085000.0,813000.0,272000.0,75
South Asia,2008,Afghanistan,DTP3,1085000.0,694000.0,391000.0,64
South Asia,2008,Afghanistan,Hepb3,1085000.0,694000.0,391000.0,64
South Asia,2008,Afghanistan,MCV1,1085000.0,640000.0,445000.0,59
South Asia,2008,Afghanistan,MCV2,1037000.0,238000.0,799000.0,23
South Asia,2008,Afghanistan,Pol3,1085000.0,694000.0,391000.0,64
South Asia,2007,Afghanistan,BCG,1158000.0,695000.0,463000.0,60
South Asia,2007,Afghanistan,DTP1,1073000.0,816000.0,257000.0,76
South Asia,2007,Afghanistan,DTP3,1073000.0,676000.0,397000.0,63
South Asia,2007,Afghanistan,Hepb3,1073000.0,676000.0,397000.0,63
South Asia,2007,Afghanistan,MCV1,1073000.0,590000.0,483000.0,55
South Asia,2007,Afghanistan,MCV2,1023000.0,41000.0,982000.0,4
South Asia,2007,Afghanistan,Pol3,1073000.0,676000.0,397000.0,63
South Asia,2006,Afghanistan,BCG,1146000.0,688000.0,458000.0,60
South Asia,2006,Afghanistan,DTP1,1059000.0,794000.0,265000.0,75
South Asia,2006,Afghanistan,DTP3,1059000.0,614000.0,445000.0,58
South Asia,2006,Afghanistan,MCV1,1059000.0,561000.0,498000.0,53
South Asia,2006,Afghanistan,MCV2,1006000.0,181000.0,825000.0,18
South Asia,2006,Afghanistan,Pol3,1059000.0,614000.0,445000.0,58
South Asia,2005,Afghanistan,BCG,1131000.0,645000.0,486000.0,57
South Asia,2005,Afghanistan,DTP1,1042000.0,792000.0,250000.0,76
South Asia,2005,Afghanistan,DTP3,1042000.0,605000.0,437000.0,58
South Asia,2005,Afghanistan,MCV1,1042000.0,521000.0,521000.0,50
South Asia,2005,Afghanistan,MCV2,981000.0,88000.0,893000.0,9
South Asia,2005,Afghanistan,Pol3,1042000.0,605000.0,437000.0,58
South Asia,2004,Afghanistan,BCG,1114000.0,568000.0,546000.0,51
South Asia,2004,Afghanistan,DTP1,1023000.0,737000.0,286000.0,72
South Asia,2004,Afghanistan,DTP3,1023000.0,512000.0,511000.0,50
South Asia,2004,Afghanistan,MCV1,1023000.0,491000.0,532000.0,48
South Asia,2004,Afghanistan,MCV2,958000.0,19000.0,939000.0,2
South Asia,2004,Afghanistan,Pol3,1023000.0,512000.0,511000.0,50
South Asia,2003,Afghanistan,BCG,1094000.0,481000.0,613000.0,44
South Asia,2003,Afghanistan,DTP1,1003000.0,662000.0,341000.0,66
South Asia,2003,Afghanistan,DTP3,1003000.0,411000.0,592000.0,41
South Asia,2003,Afghanistan,MCV1,1003000.0,391000.0,612000.0,39
South Asia,2003,Afghanistan,Pol3,1003000.0,411000.0,592000.0,41
South Asia,2002,Afghanistan,BCG,1073000.0,493000.0,580000.0,46
South Asia,2002,Afghanistan,DTP1,981000.0,608000.0,373000.0,62
South Asia,2002,Afghanistan,DTP3,981000.0,353000.0,628000.0,36
South Asia,2002,Afghanistan,MCV1,981000.0,343000.0,638000.0,35
South Asia,2002,Afghanistan,Pol3,981000.0,353000.0,628000.0,36
South Asia,2001,Afghanistan,BCG,1050000.0,451000.0,599000.0,43
South Asia,2001,Afghanistan,DTP1,957000.0,565000.0,392000.0,59
South Asia,2001,Afghanistan,DTP3,957000.0,316000.0,641000.0,33
South Asia,2001,Afghanistan,MCV1,957000.0,354000.0,603000.0,37
South Asia,2001,Afghanistan,Pol3,957000.0,335000.0,622000.0,35
South Asia,2000,Afghanistan,BCG,1024000.0,307000.0,717000.0,30
South Asia,2000,Afghanistan,DTP1,932000.0,447000.0,485000.0,48
South Asia,2000,Afghanistan,DTP3,932000.0,224000.0,708000.0,24
South Asia,2000,Afghanistan,MCV1,932000.0,252000.0,680000.0,27
South Asia,2000,Afghanistan,Pol3,932000.0,224000.0,708000.0,24
South Asia,1999,Afghanistan,BCG,996000.0,378000.0,618000.0,38
South Asia,1999,Afghanistan,DTP1,903000.0,470000.0,433000.0,52
South Asia,1999,Afghanistan,DTP3,903000.0,244000.0,659000.0,27
South Asia,1999,Afghanistan,MCV1,903000.0,280000.0,623000.0,31
South Asia,1999,Afghanistan,Pol3,903000.0,244000.0,659000.0,27
South Asia,1998,Afghanistan,BCG,963000.0,337000.0,626000.0,35
South Asia,1998,Afghanistan,DTP1,872000.0,453000.0,419000.0,52
South Asia,1998,Afghanistan,DTP3,872000.0,235000.0,637000.0,27
South Asia,1998,Afghanistan,MCV1,872000.0,270000.0,602000.0,31
South Asia,1998,Afghanistan,Pol3,872000.0,244000.0,628000.0,28
South Asia,1997,Afghanistan,BCG,927000.0,399000.0,528000.0,43
South Asia,1997,Afghanistan,DTP1,837000.0,402000.0,435000.0,48
South Asia,1997,Afghanistan,DTP3,837000.0,234000.0,603000.0,28
South Asia,1997,Afghanistan,MCV1,837000.0,318000.0,519000.0,38
South Asia,1997,Afghanistan,Pol3,837000.0,234000.0,603000.0,28
South Asia,2018,Bangladesh,BCG,2935000.0,2906000.0,29000.0,99
South Asia,2018,Bangladesh,DTP1,2858000.0,2830000.0,28000.0,99
South Asia,2018,Bangladesh,DTP3,2858000.0,2801000.0,57000.0,98
South Asia,2018,Bangladesh,Hepb3,2858000.0,2801000.0,57000.0,98
South Asia,2018,Bangladesh,Hib3,2858000.0,2801000.0,57000.0,98
South Asia,2018,Bangladesh,IPV1,2858000.0,2144000.0,714000.0,75
South Asia,2018,Bangladesh,MCV1,2858000.0,2773000.0,85000.0,97
South Asia,2018,Bangladesh,MCV2,2888000.0,2685000.0,203000.0,93
South Asia,2018,Bangladesh,PCV3,2858000.0,2773000.0,85000.0,97
South Asia,2018,Bangladesh,Pol3,2858000.0,2801000.0,57000.0,98
South Asia,2018,Bangladesh,RCV1,2858000.0,2773000.0,85000.0,97
South Asia,2017,Bangladesh,BCG,2955000.0,2926000.0,29000.0,99
South Asia,2017,Bangladesh,DTP1,2875000.0,2846000.0,29000.0,99
South Asia,2017,Bangladesh,DTP3,2875000.0,2817000.0,58000.0,98
South Asia,2017,Bangladesh,Hepb3,2875000.0,2817000.0,58000.0,98
South Asia,2017,Bangladesh,Hib3,2875000.0,2817000.0,58000.0,98
South Asia,2017,Bangladesh,IPV1,2875000.0,489000.0,2386000.0,17
South Asia,2017,Bangladesh,MCV1,2875000.0,2788000.0,87000.0,97
South Asia,2017,Bangladesh,MCV2,2929000.0,2724000.0,205000.0,93
South Asia,2017,Bangladesh,PCV3,2875000.0,2788000.0,87000.0,97
South Asia,2017,Bangladesh,Pol3,2875000.0,2817000.0,58000.0,98
South Asia,2017,Bangladesh,RCV1,2875000.0,2788000.0,87000.0,97
South Asia,2016,Bangladesh,BCG,2975000.0,2945000.0,30000.0,99
South Asia,2016,Bangladesh,DTP1,2890000.0,2862000.0,28000.0,99
South Asia,2016,Bangladesh,DTP3,2890000.0,2833000.0,57000.0,98
South Asia,2016,Bangladesh,Hepb3,2890000.0,2833000.0,57000.0,98
South Asia,2016,Bangladesh,Hib3,2890000.0,2833000.0,57000.0,98
South Asia,2016,Bangladesh,IPV1,2890000.0,318000.0,2572000.0,11
South Asia,2016,Bangladesh,MCV1,2890000.0,2804000.0,86000.0,97
South Asia,2016,Bangladesh,MCV2,2928000.0,2694000.0,234000.0,92
South Asia,2016,Bangladesh,PCV3,2890000.0,2804000.0,86000.0,97
South Asia,2016,Bangladesh,Pol3,2890000.0,2833000.0,57000.0,98
South Asia,2016,Bangladesh,RCV1,2890000.0,2804000.0,86000.0,97
South Asia,2015,Bangladesh,BCG,2995000.0,2965000.0,30000.0,99
South Asia,2015,Bangladesh,DTP1,2906000.0,2877000.0,29000.0,99
South Asia,2015,Bangladesh,DTP3,2906000.0,2848000.0,58000.0,98
South Asia,2015,Bangladesh,Hepb3,2906000.0,2848000.0,58000.0,98
South Asia,2015,Bangladesh,Hib3,2906000.0,2848000.0,58000.0,98
South Asia,2015,Bangladesh,IPV1,2906000.0,1482000.0,1424000.0,51
