Region,Year,Country,Vaccine,Target,Vaccinated,Vaccinations Needed,Coverage
Western Europe,2018,Austria,DTP1,88000.0,79000.0,9000.0,90
Western Europe,2018,Austria,DTP3,88000.0,75000.0,13000.0,85
Western Europe,2018,Austria,Hepb3,88000.0,75000.0,13000.0,85
Western Europe,2018,Austria,Hib3,88000.0,75000.0,13000.0,85
Western Europe,2018,Austria,MCV1,88000.0,83000.0,5000.0,94
Western Europe,2018,Austria,MCV2,87000.0,73000.0,14000.0,84
Western Europe,2018,Austria,Pol3,88000.0,75000.0,13000.0,85
Western Europe,2018,Austria,RCV1,88000.0,83000.0,5000.0,94
Western Europe,2018,Austria,Rotac,88000.0,54000.0,34000.0,61
Western Europe,2017,Austria,DTP1,87000.0,82000.0,5000.0,94
Western Europe,2017,Austria,DTP3,87000.0,78000.0,9000.0,90
Western Europe,2017,Austria,Hepb3,87000.0,78000.0,9000.0,90
Western Europe,2017,Austria,Hib3,87000.0,78000.0,9000.0,90
Western Europe,2017,Austria,MCV1,87000.0,83000.0,4000.0,96
Western Europe,2017,Austria,MCV2,84000.0,71000.0,13000.0,84
Western Europe,2017,Austria,Pol3,87000.0,78000.0,9000.0,90
Western Europe,2017,Austria,RCV1,87000.0,83000.0,4000.0,96
Western Europe,2017,Austria,Rotac,87000.0,53000.0,34000.0,61
Western Europe,2016,Austria,DTP1,85000.0,81000.0,4000.0,95
Western Europe,2016,Austria,DTP3,85000.0,74000.0,11000.0,87
Western Europe,2016,Austria,Hepb3,85000.0,74000.0,11000.0,87
Western Europe,2016,Austria,Hib3,85000.0,74000.0,11000.0,87
Western Europe,2016,Austria,MCV1,85000.0,81000.0,4000.0,95
Western Europe,2016,Austria,MCV2,83000.0,74000.0,9000.0,89
Western Europe,2016,Austria,Pol3,85000.0,74000.0,11000.0,87
Western Europe,2016,Austria,RCV1,85000.0,81000.0,4000.0,95
Western Europe,2016,Austria,Rotac,85000.0,52000.0,33000.0,61
Western Europe,2015,Austria,DTP1,84000.0,82000.0,2000.0,97
Western Europe,2015,Austria,DTP3,84000.0,78000.0,6000.0,93
Western Europe,2015,Austria,Hepb3,84000.0,78000.0,6000.0,93
Western Europe,2015,Austria,Hib3,84000.0,78000.0,6000.0,93
Western Europe,2015,Austria,MCV1,84000.0,81000.0,3000.0,96
Western Europe,2015,Austria,MCV2,81000.0,72000.0,9000.0,88
Western Europe,2015,Austria,Pol3,84000.0,78000.0,6000.0,93
Western Europe,2015,Austria,RCV1,84000.0,81000.0,3000.0,96
Western Europe,2015,Austria,Rotac,84000.0,51000.0,33000.0,61
Western Europe,2014,Austria,DTP1,83000.0,82000.0,1000.0,99
Western Europe,2014,Austria,DTP3,83000.0,81000.0,2000.0,98
Western Europe,2014,Austria,Hepb3,83000.0,81000.0,2000.0,98
Western Europe,2014,Austria,Hib3,83000.0,81000.0,2000.0,98
Western Europe,2014,Austria,MCV1,83000.0,79000.0,4000.0,96
Western Europe,2014,Austria,MCV2,80000.0,70000.0,10000.0,87
Western Europe,2014,Austria,Pol3,83000.0,81000.0,2000.0,98
Western Europe,2014,Austria,RCV1,83000.0,79000.0,4000.0,96
Western Europe,2014,Austria,Rotac,83000.0,50000.0,33000.0,61
Western Europe,2013,Austria,DTP1,81000.0,80000.0,1000.0,98
Western Europe,2013,Austria,DTP3,81000.0,77000.0,4000.0,95
Western Europe,2013,Austria,Hepb3,81000.0,77000.0,4000.0,95
Western Europe,2013,Austria,Hib3,81000.0,77000.0,4000.0,95
