"region","vaccine","year","coverage"
"Global","bcg","2018.0","89.0"
"Global","dtp1","2018.0","90.0"
"Global","dtp3","2018.0","86.0"
"Global","hepb3","2018.0","84.0"
"Global","hepbb","2018.0","42.0"
"Global","hib3","2018.0","72.0"
"Global","ipv1","2018.0","72.0"
"Global","mcv1","2018.0","86.0"
"Global","mcv2","2018.0","69.0"
"Global","pcv3","2018.0","47.0"
"Global","pol3","2018.0","85.0"
"Global","rcv1","2018.0","69.0"
"Global","rotac","2018.0","35.0"
"Global","yfv","2018.0","49.0"
"East Asia & Pacific","bcg","2018.0","93.0"
"East Asia & Pacific","dtp1","2018.0","93.0"
"East Asia & Pacific","dtp3","2018.0","91.0"
"East Asia & Pacific","hepb3","2018.0","88.0"
"East Asia & Pacific","hepbb","2018.0","77.0"
"East Asia & Pacific","hib3","2018.0","35.0"
"East Asia & Pacific","ipv1","2018.0","82.0"
"East Asia & Pacific","mcv1","2018.0","92.0"
"East Asia & Pacific","mcv2","2018.0","87.0"
"East Asia & Pacific","pcv3","2018.0","14.0"
"East Asia & Pacific","pol3","2018.0","92.0"
"East Asia & Pacific","rcv1","2018.0","85.0"
"East Asia & Pacific","rotac","2018.0","1.0"
"Eastern & Southern Africa","bcg","2018.0","86.0"
"Eastern & Southern Africa","dtp1","2018.0","88.0"
"Eastern & Southern Africa","dtp3","2018.0","81.0"
"Eastern & Southern Africa","hepb3","2018.0","81.0"
"Eastern & Southern Africa","hepbb","2018.0","0.0"
"Eastern & Southern Africa","hib3","2018.0","81.0"
"Eastern & Southern Africa","ipv1","2018.0","60.0"
"Eastern & Southern Africa","mcv1","2018.0","77.0"
"Eastern & Southern Africa","mcv2","2018.0","40.0"
"Eastern & Southern Africa","pcv3","2018.0","77.0"
"Eastern & Southern Africa","pol3","2018.0","78.0"
"Eastern & Southern Africa","rcv1","2018.0","41.0"
"Eastern & Southern Africa","rotac","2018.0","74.0"
"Eastern & Southern Africa","yfv","2018.0","4.0"
"Eastern Europe & Central Asia","bcg","2018.0","96.0"
"Eastern Europe & Central Asia","dtp1","2018.0","96.0"
"Eastern Europe & Central Asia","dtp3","2018.0","93.0"
"Eastern Europe & Central Asia","hepb3","2018.0","94.0"
"Eastern Europe & Central Asia","hepbb","2018.0","62.0"
"Eastern Europe & Central Asia","hib3","2018.0","61.0"
"Eastern Europe & Central Asia","ipv1","2018.0","84.0"
"Eastern Europe & Central Asia","mcv1","2018.0","96.0"
"Eastern Europe & Central Asia","mcv2","2018.0","94.0"
"Eastern Europe & Central Asia","pcv3","2018.0","72.0"
"Eastern Europe & Central Asia","pol3","2018.0","93.0"
"Eastern Europe & Central Asia","rcv1","2018.0","96.0"
"Eastern Europe & Central Asia","rotac","2018.0","16.0"
"Latin America & Caribbean","bcg","2018.0","91.0"
"Latin America & Caribbean","dtp1","2018.0","90.0"
"Latin America & Caribbean","dtp3","2018.0","85.0"
"Latin America & Caribbean","hepb3","2018.0","78.0"
"Latin America & Caribbean","hepbb","2018.0","72.0"
"Latin America & Caribbean","hib3","2018.0","85.0"
"Latin America & Caribbean","ipv1","2018.0","86.0"
"Latin America & Caribbean","mcv1","2018.0","89.0"
"Latin America & Caribbean","mcv2","2018.0","77.0"
"Latin America & Caribbean","pcv3","2018.0","79.0"
"Latin America & Caribbean","pol3","2018.0","85.0"
"Latin America & Caribbean","rcv1","2018.0","89.0"
"Latin America & Caribbean","rotac","2018.0","73.0"
"Latin America & Caribbean","yfv","2018.0","54.0"
"Middle East & North Africa","bcg","2018.0","93.0"
"Middle East & North Africa","dtp1","2018.0","94.0"
"Middle East & North Africa","dtp3","2018.0","90.0"
"Middle East & North Africa","hepb3","2018.0","90.0"
"Middle East & North Africa","hepbb","2018.0","68.0"
"Middle East & North Africa","hib3","2018.0","90.0"
"Middle East & North Africa","ipv1","2018.0","57.0"
"Middle East & North Africa","mcv1","2018.0","89.0"
"Middle East & North Africa","mcv2","2018.0","87.0"
"Middle East & North Africa","pcv3","2018.0","39.0"
"Middle East & North Africa","pol3","2018.0","88.0"
"Middle East & North Africa","rcv1","2018.0","89.0"
"Middle East & North Africa","rotac","2018.0","32.0"
"North America","dtp1","2018.0","97.0"
"North America","dtp3","2018.0","94.0"
"North America","hepb3","2018.0","89.0"
"North America","hepbb","2018.0","60.0"
"North America","hib3","2018.0","92.0"
"North America","mcv1","2018.0","92.0"
"North America","mcv2","2018.0","93.0"
"North America","pcv3","2018.0","91.0"
"North America","pol3","2018.0","93.0"
"North America","rcv1","2018.0","92.0"
"North America","rotac","2018.0","74.0"
"South Asia","bcg","2018.0","91.0"
"South Asia","dtp1","2018.0","91.0"
"South Asia","dtp3","2018.0","87.0"
