"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"South Asia","AFG","Afghanistan","DTP3","66.0","66.0","66.0","65.0","62.0","64.0","67.0","68.0","66.0","63.0","64.0","63.0","58.0","58.0","50.0","41.0","36.0","33.0","24.0","27.0","27.0","28.0","31.0","20.0","12.0","18.0","21.0","23.0","25.0","33.0","35.0","25.0","11.0","15.0","16.0","5.0","5.0","3.0","4.0"
"Eastern Europe & Central Asia","ALB","Albania","DTP3","99.0","99.0","98.0","99.0","98.0","99.0","99.0","99.0","99.0","98.0","99.0","98.0","97.0","98.0","97.0","97.0","98.0","97.0","97.0","97.0","96.0","99.0","98.0","97.0","99.0","96.0","94.0","78.0","94.0","94.0","96.0","96.0","96.0","96.0","95.0","95.0","95.0","94.0","94.0"
"Middle East & North Africa","DZA","Algeria","DTP3","91.0","91.0","91.0","95.0","95.0","95.0","95.0","95.0","95.0","95.0","93.0","95.0","95.0","88.0","86.0","87.0","86.0","89.0","86.0","83.0","85.0","89.0","88.0","88.0","87.0","88.0","88.0","89.0","89.0","87.0","85.0","79.0","73.0","69.0","","","","",""
"Western Europe","AND","Andorra","DTP3","99.0","99.0","98.0","97.0","97.0","96.0","99.0","99.0","99.0","99.0","99.0","96.0","93.0","98.0","99.0","99.0","97.0","96.0","98.0","90.0","89.0","90.0","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","AGO","Angola","DTP3","59.0","52.0","55.0","55.0","55.0","54.0","52.0","46.0","52.0","34.0","41.0","43.0","8.0","15.0","19.0","22.0","27.0","26.0","19.0","13.0","43.0","41.0","28.0","24.0","27.0","30.0","21.0","26.0","24.0","18.0","12.0","10.0","10.0","8.0","8.0","6.0","","",""
"Latin America & Caribbean","ATG","Antigua and Barbuda","DTP3","95.0","95.0","92.0","99.0","99.0","99.0","98.0","99.0","98.0","99.0","99.0","99.0","99.0","99.0","97.0","99.0","98.0","97.0","95.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","94.0","99.0","99.0","98.0","97.0","96.0","99.0","94.0","99.0","79.0","79.0","54.0"
"Latin America & Caribbean","ARG","Argentina","DTP3","86.0","86.0","92.0","94.0","94.0","94.0","91.0","91.0","94.0","94.0","93.0","91.0","91.0","98.0","98.0","96.0","93.0","83.0","83.0","86.0","84.0","88.0","83.0","85.0","82.0","81.0","81.0","80.0","87.0","80.0","80.0","75.0","67.0","66.0","62.0","61.0","58.0","49.0","44.0"
"Eastern Europe & Central Asia","ARM","Armenia","DTP3","92.0","94.0","94.0","94.0","93.0","95.0","95.0","95.0","94.0","93.0","89.0","88.0","87.0","90.0","91.0","94.0","94.0","94.0","93.0","91.0","82.0","88.0","86.0","98.0","86.0","85.0","85.0","","","","","","","","","","","",""
"East Asia & Pacific","AUS","Australia","DTP3","95.0","95.0","94.0","93.0","92.0","91.0","92.0","92.0","92.0","92.0","92.0","92.0","92.0","92.0","92.0","93.0","92.0","92.0","90.0","88.0","82.0","77.0","86.0","86.0","88.0","90.0","91.0","93.0","95.0","93.0","88.0","81.0","75.0","68.0","62.0","55.0","48.0","40.0","33.0"
"Western Europe","AUT","Austria","DTP3","85.0","90.0","87.0","93.0","98.0","95.0","92.0","89.0","86.0","83.0","83.0","85.0","83.0","86.0","83.0","84.0","83.0","84.0","81.0","74.0","82.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0"
