"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"South Asia","AFG","Afghanistan","HEPB3","66.0","66.0","66.0","65.0","62.0","64.0","67.0","68.0","66.0","63.0","64.0","63.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ALB","Albania","HEPB3","99.0","99.0","98.0","99.0","98.0","99.0","99.0","99.0","99.0","98.0","99.0","98.0","98.0","98.0","99.0","97.0","96.0","96.0","96.0","96.0","94.0","97.0","96.0","88.0","99.0","","","","","","","","","","","","","",""
"Middle East & North Africa","DZA","Algeria","HEPB3","91.0","91.0","91.0","95.0","95.0","95.0","95.0","95.0","95.0","94.0","91.0","90.0","80.0","83.0","81.0","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","AND","Andorra","HEPB3","98.0","98.0","94.0","94.0","95.0","94.0","96.0","99.0","96.0","96.0","97.0","91.0","84.0","79.0","77.0","81.0","84.0","84.0","84.0","75.0","80.0","75.0","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","AGO","Angola","HEPB3","59.0","52.0","55.0","55.0","55.0","54.0","52.0","46.0","52.0","34.0","41.0","43.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ATG","Antigua and Barbuda","HEPB3","95.0","95.0","92.0","99.0","99.0","99.0","98.0","99.0","98.0","98.0","98.0","97.0","99.0","99.0","97.0","99.0","99.0","96.0","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ARG","Argentina","HEPB3","86.0","86.0","92.0","94.0","94.0","94.0","91.0","91.0","94.0","94.0","90.0","85.0","84.0","88.0","81.0","73.0","66.0","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ARM","Armenia","HEPB3","92.0","94.0","94.0","94.0","93.0","95.0","95.0","95.0","94.0","93.0","89.0","85.0","78.0","91.0","91.0","93.0","91.0","69.0","55.0","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","AUS","Australia","HEPB3","95.0","95.0","94.0","93.0","91.0","91.0","91.0","92.0","92.0","94.0","94.0","94.0","95.0","95.0","95.0","95.0","95.0","94.0","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","AUT","Austria","HEPB3","85.0","90.0","87.0","93.0","98.0","95.0","92.0","89.0","86.0","83.0","83.0","85.0","83.0","86.0","83.0","83.0","81.0","44.0","33.0","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","AZE","Azerbaijan","HEPB3","95.0","95.0","97.0","96.0","94.0","93.0","88.0","84.0","80.0","74.0","68.0","62.0","52.0","49.0","50.0","51.0","50.0","","","","","","","","","","","","","","","","","","","","","",""
