"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"South Asia","AFG","Afghanistan","IPV1","66.0","66.0","66.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ALB","Albania","IPV1","99.0","99.0","98.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","DZA","Algeria","IPV1","94.0","92.0","94.0","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","AGO","Angola","IPV1","40.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ATG","Antigua and Barbuda","IPV1","99.0","95.0","86.0","21.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ARG","Argentina","IPV1","90.0","91.0","56.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ARM","Armenia","IPV1","93.0","92.0","34.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","AZE","Azerbaijan","IPV1","95.0","96.0","88.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BHS","Bahamas","IPV1","94.0","98.0","95.0","31.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","BHR","Bahrain","IPV1","99.0","98.0","99.0","98.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","BGD","Bangladesh","IPV1","75.0","17.0","11.0","51.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BRB","Barbados","IPV1","95.0","89.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BLZ","Belize","IPV1","97.0","89.0","93.0","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","BEN","Benin","IPV1","60.0","48.0","62.0","31.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","BTN","Bhutan","IPV1","97.0","35.0","90.0","43.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BOL","Bolivia (Plurinational State of)","IPV1","89.0","91.0","92.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","BIH","Bosnia and Herzegovina","IPV1","89.0","91.0","58.0","56.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","BWA","Botswana","IPV1","95.0","95.0","49.0","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BRA","Brazil","IPV1","89.0","99.0","80.0","97.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","BFA","Burkina Faso","IPV1","45.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","BDI","Burundi","IPV1","50.0","","60.0","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CPV","Cabo Verde","IPV1","96.0","60.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","KHM","Cambodia","IPV1","84.0","68.0","82.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CMR","Cameroon","IPV1","78.0","76.0","79.0","31.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CAF","Central African Republic","IPV1","47.0","47.0","47.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","TCD","Chad","IPV1","41.0","41.0","41.0","28.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CHL","Chile","IPV1","98.0","98.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","CHN","China","IPV1","99.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","COL","Colombia","IPV1","93.0","94.0","92.0","92.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","COM","Comoros","IPV1","84.0","57.0","91.0","91.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","COG","Congo","IPV1","68.0","28.0","33.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","COK","Cook Islands","IPV1","99.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CIV","Cote d'Ivoire","IPV1","67.0","","50.0","27.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CUB","Cuba","IPV1","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","PRK","Democratic People's Republic of Korea","IPV1","65.0","","52.0","80.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","COD","Democratic Republic of the Congo","IPV1","79.0","69.0","57.0","35.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","DJI","Djibouti","IPV1","44.0","46.0","46.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","DMA","Dominica","IPV1","99.0","98.0","99.0","36.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","DOM","Dominican Republic","IPV1","98.0","98.0","96.0","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ECU","Ecuador","IPV1","69.0","83.0","79.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","EGY","Egypt","IPV1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","SLV","El Salvador","IPV1","81.0","82.0","90.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GNQ","Equatorial Guinea","IPV1","25.0","25.0","12.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","ERI","Eritrea","IPV1","29.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","SWZ","Eswatini","IPV1","90.0","82.0","45.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","ETH","Ethiopia","IPV1","52.0","52.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","FJI","Fiji","IPV1","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GAB","Gabon","IPV1","70.0","75.0","74.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GMB","Gambia","IPV1","61.0","20.0","95.0","71.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","GEO","Georgia","IPV1","99.0","98.0","97.0","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GHA","Ghana","IPV1","55.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","GRD","Grenada","IPV1","96.0","91.0","90.0","54.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","GTM","Guatemala","IPV1","94.0","88.0","91.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GIN","Guinea","IPV1","45.0","45.0","45.0","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GNB","Guinea-Bissau","IPV1","3.0","17.0","30.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","GUY","Guyana","IPV1","97.0","94.0","98.0","31.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","HTI","Haiti","IPV1","66.0","66.0","45.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","HND","Honduras","IPV1","94.0","93.0","94.0","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","IND","India","IPV1","75.0","50.0","47.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","IDN","Indonesia","IPV1","66.0","47.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","IRN","Iran (Islamic Republic of)","IPV1","43.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","IRQ","Iraq","IPV1","92.0","93.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","ISR","Israel","IPV1","99.0","99.0","94.0","95.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","JAM","Jamaica","IPV1","95.0","95.0","95.0","33.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","JOR","Jordan","IPV1","98.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","KAZ","Kazakhstan","IPV1","99.0","99.0","93.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","KEN","Kenya","IPV1","88.0","78.0","70.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","KIR","Kiribati","IPV1","92.0","87.0","81.0","52.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","KWT","Kuwait","IPV1","99.0","99.0","98.0","97.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
