"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"South Asia","AFG","Afghanistan","MCV2","39.0","39.0","39.0","39.0","39.0","35.0","33.0","31.0","29.0","24.0","23.0","4.0","18.0","9.0","2.0","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ALB","Albania","MCV2","96.0","98.0","98.0","98.0","98.0","99.0","99.0","99.0","98.0","98.0","98.0","95.0","94.0","97.0","96.0","93.0","93.0","90.0","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","DZA","Algeria","MCV2","77.0","92.0","96.0","99.0","99.0","93.0","95.0","96.0","95.0","98.0","96.0","95.0","98.0","94.0","94.0","96.0","93.0","73.0","78.0","","","","","","","","","","","","","","","","","","","",""
"Western Europe","AND","Andorra","MCV2","95.0","94.0","90.0","88.0","90.0","91.0","89.0","82.0","86.0","82.0","86.0","80.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","AGO","Angola","MCV2","35.0","30.0","26.0","26.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ATG","Antigua and Barbuda","MCV2","95.0","95.0","68.0","84.0","99.0","87.0","90.0","89.0","92.0","94.0","83.0","78.0","68.0","46.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ARG","Argentina","MCV2","89.0","89.0","88.0","87.0","96.0","83.0","89.0","91.0","94.0","96.0","88.0","84.0","91.0","88.0","93.0","80.0","83.0","56.0","56.0","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ARM","Armenia","MCV2","96.0","97.0","97.0","97.0","97.0","97.0","97.0","98.0","97.0","96.0","94.0","93.0","85.0","92.0","94.0","93.0","95.0","96.0","94.0","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","AUS","Australia","MCV2","93.0","93.0","94.0","93.0","93.0","92.0","91.0","90.0","88.0","82.0","80.0","89.0","87.0","85.0","85.0","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","AUT","Austria","MCV2","84.0","84.0","89.0","88.0","87.0","82.0","78.0","73.0","69.0","64.0","62.0","56.0","61.0","54.0","47.0","46.0","39.0","34.0","35.0","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","AZE","Azerbaijan","MCV2","96.0","97.0","98.0","98.0","98.0","98.0","95.0","92.0","89.0","83.0","79.0","75.0","68.0","67.0","67.0","66.0","67.0","65.0","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BHS","Bahamas","MCV2","69.0","76.0","74.0","76.0","72.0","69.0","73.0","79.0","78.0","76.0","80.0","84.0","88.0","88.0","95.0","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","BHR","Bahrain","MCV2","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","98.0","99.0","97.0","99.0","99.0","99.0","99.0","99.0","97.0","99.0","92.0","","","","","","","","","","","","","","","","","","","",""
