"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"South Asia","AFG","Afghanistan","RCV1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ALB","Albania","RCV1","94.0","96.0","96.0","97.0","98.0","99.0","98.0","99.0","99.0","97.0","98.0","97.0","95.0","97.0","96.0","93.0","96.0","95.0","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","DZA","Algeria","RCV1","80.0","88.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","AND","Andorra","RCV1","99.0","99.0","97.0","96.0","96.0","95.0","98.0","99.0","99.0","98.0","98.0","94.0","91.0","94.0","98.0","96.0","98.0","97.0","97.0","97.0","90.0","90.0","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","AGO","Angola","RCV1","50.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ATG","Antigua and Barbuda","RCV1","96.0","99.0","88.0","91.0","93.0","96.0","98.0","99.0","98.0","99.0","99.0","99.0","99.0","99.0","97.0","99.0","99.0","97.0","95.0","99.0","99.0","93.0","99.0","93.0","91.0","99.0","99.0","87.0","89.0","95.0","95.0","","","","","","","",""
"Latin America & Caribbean","ARG","Argentina","RCV1","94.0","89.0","90.0","89.0","95.0","94.0","94.0","95.0","95.0","96.0","96.0","94.0","97.0","98.0","99.0","97.0","95.0","89.0","91.0","97.0","95.0","93.0","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ARM","Armenia","RCV1","95.0","96.0","97.0","97.0","97.0","97.0","97.0","97.0","97.0","96.0","94.0","92.0","92.0","94.0","92.0","94.0","91.0","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","AUS","Australia","RCV1","95.0","95.0","95.0","95.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","92.0","91.0","88.0","82.0","85.0","87.0","87.0","86.0","86.0","86.0","86.0","86.0","85.0","77.0","68.0","68.0","68.0","68.0","68.0","","",""
"Western Europe","AUT","Austria","RCV1","94.0","96.0","95.0","96.0","96.0","92.0","88.0","84.0","80.0","76.0","83.0","79.0","80.0","75.0","74.0","79.0","78.0","79.0","75.0","65.0","78.0","90.0","87.0","60.0","60.0","60.0","60.0","60.0","60.0","60.0","60.0","60.0","60.0","40.0","30.0","25.0","25.0","25.0",""
"Eastern Europe & Central Asia","AZE","Azerbaijan","RCV1","96.0","98.0","98.0","98.0","98.0","98.0","94.0","92.0","89.0","85.0","79.0","75.0","69.0","67.0","67.0","67.0","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BHS","Bahamas","RCV1","89.0","90.0","89.0","94.0","92.0","92.0","91.0","90.0","94.0","98.0","90.0","96.0","88.0","85.0","89.0","90.0","94.0","94.0","93.0","86.0","92.0","93.0","92.0","90.0","88.0","88.0","94.0","93.0","","","","","","","","","","",""
"Middle East & North Africa","BHR","Bahrain","RCV1","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","98.0","94.0","99.0","94.0","95.0","95.0","93.0","90.0","87.0","88.0","87.0","85.0","78.0","78.0","78.0","78.0","65.0","59.0","54.0","50.0","45.0"
"South Asia","BGD","Bangladesh","RCV1","97.0","97.0","97.0","97.0","94.0","91.0","17.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BRB","Barbados","RCV1","85.0","92.0","92.0","96.0","95.0","87.0","90.0","93.0","85.0","94.0","94.0","75.0","92.0","93.0","98.0","90.0","91.0","93.0","94.0","86.0","97.0","92.0","99.0","92.0","97.0","92.0","90.0","92.0","87.0","85.0","84.0","85.0","84.0","88.0","84.0","55.0","53.0","",""
"Eastern Europe & Central Asia","BLR","Belarus","RCV1","97.0","97.0","98.0","99.0","99.0","99.0","98.0","99.0","99.0","99.0","99.0","99.0","97.0","99.0","99.0","99.0","99.0","99.0","98.0","98.0","98.0","97.0","96.0","","","","","","","","","","","","","","","",""
"Western Europe","BEL","Belgium","RCV1","96.0","96.0","96.0","96.0","96.0","96.0","96.0","95.0","95.0","95.0","93.0","92.0","92.0","88.0","82.0","82.0","82.0","82.0","82.0","82.0","80.0","76.0","73.0","85.0","78.0","70.0","87.0","67.0","85.0","75.0","75.0","50.0","90.0","82.0","","","","",""
"Latin America & Caribbean","BLZ","Belize","RCV1","97.0","90.0","95.0","96.0","95.0","99.0","96.0","98.0","98.0","97.0","96.0","96.0","99.0","95.0","97.0","96.0","88.0","94.0","96.0","82.0","84.0","85.0","81.0","","","","","","","","","","","","","","","",""
"West & Central Africa","BEN","Benin","RCV1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","BTN","Bhutan","RCV1","97.0","97.0","97.0","97.0","97.0","94.0","95.0","95.0","95.0","94.0","99.0","95.0","90.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BOL","Bolivia (Plurinational State of)","RCV1","89.0","83.0","94.0","95.0","89.0","87.0","92.0","96.0","88.0","93.0","92.0","86.0","88.0","89.0","90.0","96.0","91.0","88.0","84.0","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","BIH","Bosnia and Herzegovina","RCV1","68.0","69.0","68.0","83.0","89.0","92.0","94.0","89.0","91.0","93.0","84.0","96.0","85.0","90.0","88.0","84.0","89.0","92.0","80.0","83.0","84.0","86.0","70.0","53.0","57.0","48.0","52.0","","","","","","","","","","","",""
"Eastern & Southern Africa","BWA","Botswana","RCV1","97.0","97.0","97.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BRA","Brazil","RCV1","84.0","91.0","95.0","96.0","97.0","98.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","97.0","97.0","96.0","99.0","99.0","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","BRN","Brunei Darussalam","RCV1","99.0","97.0","98.0","96.0","97.0","96.0","95.0","91.0","94.0","99.0","99.0","97.0","97.0","98.0","99.0","98.0","99.0","99.0","99.0","94.0","99.0","98.0","99.0","99.0","99.0","99.0","92.0","96.0","99.0","99.0","99.0","99.0","99.0","98.0","90.0","","","",""
"Eastern Europe & Central Asia","BGR","Bulgaria","RCV1","93.0","94.0","92.0","92.0","93.0","95.0","94.0","95.0","97.0","96.0","96.0","96.0","96.0","96.0","95.0","96.0","92.0","90.0","89.0","96.0","95.0","93.0","95.0","94.0","93.0","88.0","","","","","","","","","","","","",""
"West & Central Africa","BFA","Burkina Faso","RCV1","88.0","88.0","88.0","68.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","BDI","Burundi","RCV1","88.0","90.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CPV","Cabo Verde","RCV1","99.0","96.0","92.0","95.0","79.0","89.0","94.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","KHM","Cambodia","RCV1","84.0","84.0","84.0","84.0","83.0","79.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CMR","Cameroon","RCV1","71.0","77.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North America","CAN","Canada","RCV1","90.0","90.0","89.0","89.0","90.0","90.0","89.0","88.0","90.0","91.0","93.0","94.0","93.0","94.0","94.0","95.0","95.0","95.0","96.0","96.0","96.0","96.0","97.0","96.0","97.0","96.0","94.0","92.0","89.0","87.0","85.0","70.0","","","","","","",""
"West & Central Africa","CAF","Central African Republic","RCV1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
